Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023",,
Revenue,-,-,-,-,"-25,000","25,000",Financials in USD,Fiscal year is January - December
Cost of Revenue,-,"913,500","913,500",-,"-1,207,000","1,207,000",Financials in USD,Fiscal year is January - December
Gross Profit,-,"-913,500","-913,500",-,"1,182,000","-1,182,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","391,686","1,696,000","1,696,000","315,247","-591,601","1,549,500",Financials in USD,Fiscal year is January - December
Operating Expenses,"391,686","1,696,000","1,696,000","315,247","-591,601","1,549,500",Financials in USD,Fiscal year is January - December
Operating Income,"-391,686","-2,609,500","-2,609,500","-315,247","1,773,601","-2,731,500",Financials in USD,Fiscal year is January - December
Interest Expense,-,"-71,500","-71,500",-,-,"-4,500",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"84,240","1,000","1,000","494,268","4,808,871","24,500",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"1,778,000","1,778,000","-127,646",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-307,446","-902,000","-902,000","51,375","6,582,472","-2,711,500",Financials in USD,Fiscal year is January - December
Income Tax Expense,"27,654",-,-,"96,005","997,641",-,Financials in USD,Fiscal year is January - December
Net Income,"-335,100","-902,000","-902,000","-44,630","5,584,831","-2,711,500",Financials in USD,Fiscal year is January - December
Net Income to Common,"-335,100","-902,000","-902,000","-44,630","5,584,831","-2,711,500",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"8,150,940","9,384,688","9,384,688",-,"9,347,206","9,347,206",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"8,150,940","9,384,688","9,384,688",-,"9,347,206","9,347,206",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-12.798%,0.401%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.041,-0.096,-0.096,-,0.597,-0.290,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.041,-0.096,-0.096,-,0.597,-0.290,Financials in USD,Fiscal year is January - December
Free Cash Flow,"3,442,008","-2,109,000","-2,109,000","1,848,438","-1,677,500","-1,677,500",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.422,-0.225,-0.225,-,-0.179,-0.179,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-10926.000%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-10846.000%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-6710.000%,Financials in USD,Fiscal year is January - December
EBITDA,"-362,186","-2,580,000","-2,580,000","-243,747","1,845,101","-2,660,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"29,500","29,500","29,500","71,500","71,500","71,500",Financials in USD,Fiscal year is January - December
EBIT,"-391,686","-2,609,500","-2,609,500","-315,247","1,773,601","-2,731,500",Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,186.871%,15.156%,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,"25,000",Financials in USD,Fiscal year is January - December
