Fiscal Year,TTM,FY 2020,FY 2019,FY 2016,FY 2015,FY 2014,2013,Currency,Fiscal_Year_period
Period Ending,"Sep '21 Sep 30, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '16 Dec 31, 2016","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014",2013,,
Revenue,"5,618,000","4,752,000","5,319,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-10.660%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"981,000","1,064,000","4,969,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"4,637,000","3,688,000","350,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,539,000","7,224,000","3,925,000","67,977","46,402","22,007",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,539,000","7,224,000","3,925,000","67,977","46,402","22,007",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,902,000","-3,536,000","-3,575,000","-67,977","-46,402","-22,007",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-344,000","-354,000","-376,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"610,459","1,268,000","-143,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"307,000","-2,622,000","-4,094,000","-67,977","-46,402","-22,007",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"307,000","-2,622,000","-4,094,000","-67,977","-46,402","-22,007",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"307,000","-2,622,000","-4,094,000","-67,977","-46,402","-22,007",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"37,401,040","1,300,507","1,202,959","725,000","725,000","695,945",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"37,401,040","1,300,507","1,202,959","725,000","725,000","695,945",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),5050.701%,8.109%,65.925%,-,4.175%,15.991%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.008,-2.016,-3.403,-0.094,-0.064,-0.032,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.008,-2.016,-3.403,-0.094,-0.064,-0.032,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,193,000","-72,000","-3,339,000","-63,470","-44,873","-22,007",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.032,-0.055,-2.776,-0.088,-0.062,-0.032,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,82.538%,77.609%,6.580%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-69.455%,-74.411%,-67.212%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,5.465%,-55.177%,-76.969%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-21.235%,-1.515%,-62.775%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-3,749,000","-3,388,000","-3,434,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-66.732%,-71.296%,-64.561%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"153,000","148,000","141,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-3,902,000","-3,536,000","-3,575,000","-67,977","-46,402","-22,007",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-69.455%,-74.411%,-67.212%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
