Fiscal Quarter,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017",+20 Quarters,,
Revenue,"36,000","270,000","613,000","644,000","718,000","410,000","1,351,000","1,091,000","1,220,000","1,324,000","46,000","67,000","63,000","73,000","76,000","198,000","74,000","83,000","92,000","2,717,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-94.986%,-34.146%,-54.626%,-40.972%,-41.148%,-69.033%,2836.957%,1528.358%,1836.508%,1713.699%,-39.474%,-66.162%,-14.865%,-12.048%,-17.391%,-92.713%,-98.035%,-61.927%,-64.202%,1112.946%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"344,000","385,000","390,000","405,000","430,000","519,000","445,000","387,000","465,000","465,000","262,000","313,000","83,000","549,000","477,000","650,000","913,000","1,077,000","1,020,000","839,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-308,000","-115,000","223,000","239,000","288,000","-109,000","906,000","704,000","755,000","859,000","-216,000","-246,000","-20,000","-476,000","-401,000","-452,000","-839,000","-994,000","-928,000","1,878,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","-71,000","416,000","523,000","385,000","419,000","456,000","485,000","519,000","486,000","548,000","406,000","437,000","234,000","543,000","846,000","943,000","915,000","1,068,000","1,063,000","1,296,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"-71,000","416,000","523,000","385,000","419,000","456,000","485,000","519,000","486,000","548,000","406,000","437,000","234,000","543,000","846,000","943,000","915,000","1,068,000","1,063,000","1,296,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-237,000","-531,000","-300,000","-146,000","-131,000","-565,000","421,000","185,000","269,000","311,000","-622,000","-683,000","-254,000","-1,019,000","-1,247,000","-1,395,000","-1,754,000","-2,062,000","-1,991,000","582,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-87,000","-113,000","-112,000","-113,000","-113,000","-112,000","-114,000","-111,000","-123,000","-114,000","-103,000","-105,000","-88,000","-99,000","-120,000","-139,000","-159,000","-178,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,"4,000","9,000","69,000","29,000","74,000",-,"1,000","1,000","1,000","1,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-237,000","-531,000","-387,000","-259,000","-243,000","-678,000","308,000","73,000","155,000","200,000","-741,000","-788,000","-288,000","-1,095,000","-1,261,000","-1,494,000","-1,873,000","-2,200,000","-2,149,000","405,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,"-668,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"266,000","269,000",-,-,-,-,-,-,-,-,"-2,600,000",-,"296,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"29,000","-262,000","-387,000","-259,000","-243,000","-678,000","308,000","-595,000","155,000","200,000","-3,341,000","-788,000","8,000","-1,095,000","-1,261,000","-1,494,000","-1,873,000","-2,200,000","-2,149,000","405,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-135,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"29,000","-262,000","-387,000","-259,000","-243,000","-678,000","308,000","-595,000","155,000","200,000","-3,341,000","-788,000","8,000","-1,095,000","-1,261,000","-1,494,000","-1,738,000","-2,200,000","-2,149,000","405,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"29,000","-262,000","-387,000","-259,000","-243,000","-678,000","308,000","-595,000","155,000","200,000","-3,341,000","-788,000","8,000","-1,095,000","-1,261,000","-1,494,000","-1,738,000","-2,200,000","-2,149,000","405,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-,-,-,1837.500%,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"75,604,000","75,561,000","42,889,000","32,464,000","32,368,000","32,336,000","32,304,000","32,270,000","31,755,000","31,593,000","21,872,000","21,493,000","21,280,000","21,168,000","21,101,000","21,034,000","20,998,000","16,686,000","11,966,000","11,907,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"75,604,000","75,561,000","42,889,000","32,464,000","32,368,000","32,336,000","32,482,000","32,270,000","31,755,000","31,593,000","21,872,000","21,493,000","21,280,000","21,168,000","21,101,000","21,034,000","20,998,000","16,686,000","11,966,000","12,083,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),133.576%,133.675%,32.039%,0.601%,1.930%,2.352%,48.510%,50.142%,49.225%,49.249%,3.654%,2.182%,1.343%,26.861%,76.341%,74.079%,76.424%,40.455%,0.911%,2.078%,Upgrade,Financials in USD,Fiscal year is January - December
