Fiscal Quarter,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+20 Quarters,,
"Selling, General & Admin","973,000","1,071,000","1,216,000","3,819,000","1,962,000","2,975,000","3,245,000","3,283,000","4,491,000","1,257,000","1,400,000","1,523,000","1,766,000","1,647,000","1,482,000","1,767,000","1,653,000","1,745,000","1,445,000","1,112,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,242,000","329,000","344,000","524,000","739,000","2,747,000","1,743,000","3,687,000","4,737,000","2,594,000","2,273,000","2,296,000","2,145,000","1,655,000","1,118,000","4,254,000","5,493,000","3,428,000","2,136,000","1,564,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,215,000","1,400,000","1,560,000","4,343,000","2,701,000","5,722,000","4,988,000","6,970,000","9,228,000","3,851,000","3,673,000","3,819,000","3,911,000","3,302,000","2,600,000","6,021,000","7,146,000","5,173,000","3,581,000","2,676,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-2,215,000","-1,400,000","-1,560,000","-4,343,000","-2,701,000","-5,722,000","-4,988,000","-6,970,000","-9,228,000","-3,851,000","-3,673,000","-3,819,000","-3,911,000","-3,302,000","-2,600,000","-6,021,000","-7,146,000","-5,173,000","-3,581,000","-2,676,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"68,000","79,000","98,000","103,000","104,000","80,000","32,000","3,000","1,000","1,000","1,000","1,000",-,-,-,"11,000","24,000","8,000","21,000","24,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"92,000","92,000","91,000","30,000","377,000","1,167,000","2,886,000","1,331,000","3,003,000","222,000","116,000","151,000","-706,000","7,000","-675,000","831,000","6,102,000","-2,054,000","3,981,000","-3,160,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,055,000","-1,229,000","-1,371,000","-4,210,000","-2,220,000","-4,475,000","-2,070,000","-5,636,000","-6,224,000","-3,628,000","-3,556,000","-3,667,000","-4,617,000","-3,295,000","-3,275,000","-5,179,000","-1,020,000","-7,219,000","421,000","-5,812,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-56,000",-,-,-,-,-,-,-,-,-,"-73,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,"-1,936,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"1,000",-,-,"288,000",-,-,-,-,-,-,-,-,-,-,"544,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,054,000","-1,229,000","-1,371,000","-3,978,000","-2,220,000","-6,411,000","-2,070,000","-5,636,000","-6,224,000","-3,628,000","-3,556,000","-3,667,000","-4,617,000","-3,368,000","-2,731,000","-5,179,000","-1,020,000","-7,219,000","421,000","-5,812,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-2,054,000","-1,229,000","-1,371,000","-3,978,000","-2,220,000","-6,411,000","-2,070,000","-5,636,000","-6,224,000","-3,628,000","-3,556,000","-3,667,000","-4,617,000","-3,368,000","-2,731,000","-5,179,000","-1,020,000","-7,219,000","421,000","-5,812,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-2,054,000","-1,229,000","-1,371,000","-3,978,000","-2,220,000","-6,411,000","-2,070,000","-5,636,000","-6,224,000","-3,628,000","-3,556,000","-3,667,000","-4,617,000","-3,368,000","-2,731,000","-5,179,000","-1,020,000","-7,219,000","421,000","-5,812,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-2,054,000","-1,229,000","-1,371,000","-3,978,000","-2,220,000","-6,411,000","-2,070,000","-5,636,000","-6,224,000","-3,628,000","-3,556,000","-3,667,000","-4,617,000","-3,368,000","-2,731,000","-5,179,000","-1,020,000","-7,219,000","421,000","-5,812,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,054,000","-1,229,000","-1,371,000","-3,978,000","-2,220,000","-6,411,000","-2,070,000","-5,636,000","-6,224,000","-3,628,000","-3,556,000","-3,667,000","-4,617,000","-3,368,000","-2,731,000","-5,179,000","-1,020,000","-7,219,000","421,000","-5,812,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-90.888%,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"827,978","804,158","754,697","754,695","753,612","753,620","753,620","753,611","683,851","668,065","653,932","651,290","624,006","595,408","554,643","530,179","512,406","474,027","383,437","370,347",Upgrade,Financials in USD,Fiscal year is January - December
