Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"19,870","28,565","17,176","19,776","16,327","9,934",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-21.611%,66.308%,-13.147%,21.125%,64.355%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"94,491","17,746","10,050","9,671","10,232","5,049",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-74,621","10,819","7,126","10,105","6,095","4,885",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","242,788","211,566","366,878","348,495","120,778","146,500",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"233,914","239,740","429,026","646,186","260,421","239,292",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-308,535","-228,921","-421,900","-636,081","-254,326","-234,407",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-121,231","-162,891","-289,121","-272,394","-230,328","-199,319",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-496,397","-307,412","-184,401","-90,219","-362,262","198,014",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-926,163","-699,224","-895,422","-998,694","-846,916","-235,712",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-11,-42,-148,-254,-328,"-3,215",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"148,500","-13,200",-,"-51,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-795,674","-712,466","-895,570","-1,049,948","-847,244","-238,927",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-795,674","-712,466","-895,570","-1,049,948","-847,244","-238,927",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-795,674","-712,466","-895,570","-1,049,948","-847,244","-238,927",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-795,674","-712,466","-895,570","-1,049,948","-847,244","-238,927",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"3,525,423","1,863,545","353,368","112,475","67,959","62,167",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"3,525,423","1,863,545","353,368","112,475","67,959","62,167",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),158.023%,427.367%,214.175%,65.504%,9.317%,9.878%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.226,-0.382,-2.534,-9.335,-12.467,-3.843,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.226,-0.382,-2.534,-9.335,-12.467,-3.843,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-240,275","-223,773","-227,259","-158,651","-106,889","-168,120",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.068,-0.120,-0.643,-1.411,-1.573,-2.704,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,37.875%,41.488%,51.097%,37.331%,49.175%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1552.768%,-801.404%,-2456.334%,-3216.429%,-1557.702%,-2359.644%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-4004.399%,-2494.192%,-5214.078%,-5309.203%,-5189.220%,-2405.144%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1209.235%,-783.382%,-1323.119%,-802.240%,-654.676%,-1692.370%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-317,409","-200,747","-359,752","-502,290",-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"-8,874","28,174","62,148","133,791",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-308,535","-228,921","-421,900","-636,081","-254,326","-234,407",Upgrade,Financials in USD,Fiscal year is January - December
