Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",2017,,
Revenue,"1,269,000","1,269,000","1,080,000","493,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),217.250%,17.500%,119.067%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"7,009,000","7,009,000","2,445,000","1,732,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-5,740,000","-5,740,000","-1,365,000","-1,239,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","18,998,000","24,119,000","45,310,000","43,335,000","22,612,000","29,453,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"8,288,000","3,887,000","3,125,000","9,087,000","17,261,000","35,583,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"29,283,000","30,003,000","51,011,000","54,568,000","39,873,000","65,036,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-35,023,000","-35,743,000","-52,376,000","-55,807,000","-39,873,000","-65,036,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-1,359,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,682,000","-1,975,000","-2,305,000","-16,689,000","-38,000","-132,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-37,705,000","-37,718,000","-54,681,000","-73,855,000","-39,911,000","-65,168,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,"-7,200,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-23,838,000","-23,838,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"2,796,000","2,761,000","34,912,000","-2,245,000","14,554,000","-8,499,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-58,747,000","-58,795,000","-19,769,000","-76,100,000","-32,557,000","-73,667,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-7,154,000","-58,795,000","-19,769,000","-76,100,000","-32,557,000","-73,667,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-7,609,000","-58,795,000","-19,769,000","-76,100,000","-32,557,000","-73,667,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"3,986,833","331,615","54,738","13,316",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"3,986,833","331,615","54,738","13,316",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2403.742%,505.822%,311.069%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.909,-177.299,-361.157,-5714.929,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.909,-177.299,-361.157,-5714.929,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-14,347,000","-27,813,000","-49,473,000","-44,697,000","-51,363,000","-63,121,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.599,-83.871,-903.815,-3356.639,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-126.389%,-251.318%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-2759.890%,-2816.627%,-4849.630%,-11319.878%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-599.606%,-4633.176%,-1830.463%,-15436.105%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1130.575%,-2191.726%,-4580.833%,-9066.329%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-34,761,000","-35,578,000","-52,136,000","-55,399,000","-39,393,000","-64,640,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"262,000","165,000","240,000","408,000","480,000","396,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-35,023,000","-35,743,000","-52,376,000","-55,807,000","-39,873,000","-65,036,000",Upgrade,Financials in USD,Fiscal year is January - December
