Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020",,
"Selling, General & Admin","146,831","213,595","201,455","225,629","226,944","229,868","281,878","290,532","306,124","581,032","401,377","431,681","521,131","533,935","558,300","682,125","162,344",511,Financials in USD,Fiscal year is January - December
Research & Development,"39,599","60,707","67,311","49,989","84,927","122,638","177,895","207,022","211,082","302,694","327,659","393,278","439,926","376,767","246,148","367,449","220,083",-,Financials in USD,Fiscal year is January - December
Operating Expenses,"186,430","274,302","268,766","275,618","311,871","352,506","459,773","497,554","517,206","883,726","729,036","824,959","961,057","910,702","804,448","1,049,574","382,427",511,Financials in USD,Fiscal year is January - December
Operating Income,"-186,430","-274,302","-268,766","-275,618","-311,871","-352,506","-459,773","-497,554","-517,206","-883,726","-729,036","-824,959","-961,057","-910,702","-804,448","-1,049,574","-382,427",-511,Financials in USD,Fiscal year is January - December
Interest Expense,"-21,300","-19,416","-18,283","-18,484","-18,484","-18,283","-18,082","-18,484","-18,484","-18,282","-14,488","-11,595","-11,595","-6,931",-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,1,3,6,16,"3,378",8,8,11,7,7,8,12,11,5,101,55,-,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-4,593","-4,153",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"21,000",-,-,-,-,"33,900","12,800",-400,"56,700",800,500,-,-,"-20,800",-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-186,730","-293,717","-287,046","-294,096","-330,339","-333,511","-465,047","-516,430","-478,979","-901,201","-743,017","-836,546","-972,640","-938,422","-804,443","-1,054,067","-386,525",-511,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,"356,000","77,000",-,"343,000",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-1,446","-1,462","-2,907","-2,877","-8,596","-17,672","-17,673","-26,031","-20,467","-13,722","-75,303","-41,002",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-186,730","-293,717","-288,492","-295,558","-333,246","19,612","-396,643","-534,102","-153,652","-927,232","-763,484","-850,268","-1,047,943","-979,424","-804,443","-1,054,067","-386,525",-511,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,"2,400",-,-,"2,400",-,-,-,-,"2,400","2,743",-,-,Financials in USD,Fiscal year is January - December
Net Income,"-186,730","-293,717","-288,492","-295,558","-333,246","19,612","-399,043","-534,102","-153,652","-929,632","-763,484","-850,268","-1,047,943","-979,424","-806,843","-1,056,809","-386,525",-511,Financials in USD,Fiscal year is January - December
Net Income to Common,"-186,730","-293,717","-288,492","-295,558","-333,246","19,612","-399,043","-534,102","-153,652","-929,632","-763,484","-850,268","-1,047,943","-979,424","-806,843","-1,056,809","-386,525",-511,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"7,236,447","7,236,447","7,236,447","7,236,447","7,236,447","7,236,447","7,236,447","7,236,095","7,235,447","7,235,447","7,235,447","7,230,154","7,222,403","7,222,403","5,224,357","1,900,747","743,271",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"7,236,447","7,236,447","7,236,447","7,236,447","7,236,447","8,569,113","7,236,447","7,236,095","7,235,447","7,235,447","7,235,447","7,230,154","7,222,403","7,222,403","5,224,357","1,900,747","743,271",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-,-15.552%,-,0.005%,0.014%,18.432%,0.014%,0.082%,0.181%,0.181%,38.494%,280.385%,871.705%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.026,-0.041,-0.040,-0.041,-0.046,0.003,-0.055,-0.074,-0.021,-0.128,-0.106,-0.118,-0.145,-0.136,-0.154,-0.556,-0.520,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.030,-0.041,-0.040,-0.042,-0.050,0.002,-0.055,-0.075,-0.021,-0.130,-0.106,-0.122,-0.150,-0.140,-0.154,-0.556,-0.520,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-12,998","-116,305","-91,139","-96,720","-110,072","-118,807","-171,868","-163,492","-164,857","-172,061","-189,719","-166,979","-189,183","-152,699","-170,375","-365,795",-,500,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.002,-0.016,-0.013,-0.013,-0.015,-0.014,-0.024,-0.023,-0.023,-0.024,-0.026,-0.023,-0.026,-0.021,-0.033,-0.192,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-186,430","-274,302","-268,766","-275,618","-311,871","-352,506","-459,773","-497,554","-517,206","-883,726","-729,036","-824,959","-961,057","-910,702","-804,448","-1,049,574","-382,427",-511,Financials in USD,Fiscal year is January - December
