Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017 - 2013,Currency,Fiscal_Year_period
Period Ending,"Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",2017 - 2013,,
Revenue,"257,551,000","316,610,000","171,546,000","187,802,000","195,892,000","213,312,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-5.376%,84.563%,-8.656%,-4.130%,-8.166%,-9.884%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"77,675,000","94,936,000","42,180,000","45,465,000","60,897,000","61,916,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"179,876,000","221,674,000","129,366,000","142,337,000","134,995,000","151,396,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","102,523,000","87,126,000","75,322,000","78,598,000","76,370,000","60,509,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"35,648,000","34,088,000","51,275,000","30,785,000","36,810,000","44,419,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"138,171,000","121,214,000","126,597,000","109,383,000","113,180,000","104,928,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"41,705,000","100,460,000","2,769,000","32,954,000","21,815,000","46,468,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-6,091,000","-4,045,000","-1,635,000","-2,577,000","-2,686,000","-2,736,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"280,000","271,000","560,000","562,000","2,169,000","158,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-3,605,000","-10,334,000","-758,000",-,"700,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"32,289,000","86,352,000","936,000","30,939,000","21,998,000","43,890,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-1,300,000","-12,600,000",-,-,-,"-10,615,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-2,419,000","-5,419,000","-5,484,000","-8,262,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"600,000","-6,900,000",-,-,-,"763,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"29,170,000","61,433,000","-4,548,000","22,677,000","21,998,000","34,038,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"17,222,000","25,791,000","4,079,000","10,688,000","7,685,000","2,135,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"11,948,000","35,642,000","-8,627,000","11,989,000","14,313,000","31,903,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"11,948,000","35,642,000","-8,627,000","11,989,000","14,313,000","31,903,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-47.573%,-,-,-16.237%,-55.136%,-38.581%,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"13,084,578","12,933,896","13,051,095","13,481,525","13,754,516","14,768,625",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"13,165,154","13,065,494","13,051,095","13,771,393","14,138,733","15,278,651",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.214%,0.110%,-5.230%,-2.598%,-7.461%,-3.957%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.913,2.756,-0.661,0.889,1.041,2.160,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.912,2.730,-0.661,0.870,1.010,2.090,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-48.444%,-,-,-13.861%,-51.675%,-36.086%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-9,392,000","50,523,000","27,896,000","48,750,000","55,209,000","52,251,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.713,3.867,2.137,3.540,3.905,3.420,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,69.841%,70.015%,75.412%,75.791%,68.913%,70.974%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,16.193%,31.730%,1.614%,17.547%,11.136%,21.784%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,4.639%,11.257%,-5.029%,6.384%,7.307%,14.956%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-3.647%,15.957%,16.262%,25.958%,28.183%,24.495%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"62,327,000","112,484,000","6,529,000","36,492,000","25,307,000","50,138,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,24.200%,35.528%,3.806%,19.431%,12.919%,23.505%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"20,622,000","12,024,000","3,760,000","3,538,000","3,492,000","3,670,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"41,705,000","100,460,000","2,769,000","32,954,000","21,815,000","46,468,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,16.193%,31.730%,1.614%,17.547%,11.136%,21.784%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,59.040%,41.982%,-,47.131%,34.935%,6.272%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"257,551,000","316,610,000","171,546,000","187,802,000","195,892,000","213,312,000",Upgrade,Financials in USD,Fiscal year is January - December
