Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,+9 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",+9 Quarters,,
"Selling, General & Admin","2,387,000","1,802,000","1,995,000","3,431,000","2,262,000","2,645,000","3,054,000","4,818,000","5,035,000","7,355,000","4,341,000","3,742,000","2,851,000","3,848,000","5,006,000","5,799,000","5,978,000","6,971,000","5,958,000","7,584,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,250,000","2,338,000","3,488,000","2,597,000","4,880,000","7,651,000","7,899,000","6,812,000","5,210,000","5,704,000","4,073,000","2,040,000","3,445,000","3,738,000","4,767,000","5,689,000","6,801,000","7,340,000","6,019,000","6,530,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,637,000","4,140,000","5,483,000","6,028,000","7,142,000","10,296,000","10,953,000","11,630,000","10,245,000","13,059,000","8,414,000","5,782,000","6,296,000","7,586,000","9,773,000","11,488,000","12,779,000","14,311,000","11,977,000","14,114,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,637,000","-4,140,000","-5,483,000","-6,028,000","-7,142,000","-10,296,000","-10,953,000","-11,630,000","-10,245,000","-13,059,000","-8,414,000","-5,782,000","-6,296,000","-7,586,000","-9,773,000","-11,488,000","-12,779,000","-14,311,000","-11,977,000","-14,114,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-235,000","-230,000","-485,000","-581,000","-489,000","-454,000","-404,000","-484,000","-224,000","-319,000","-260,000","-319,000","-327,000","-347,000","-412,000","-433,000","-446,000","-482,000","-221,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"20,000","57,000","168,000","141,000","108,000","23,000","14,000",-,"36,000",-,-,"1,000","23,000","69,000","247,000","306,000","272,000","206,000","288,000","301,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-3,000","-19,000","-11,000","1,000","-35,000","8,000","-7,000","24,000","8,000","-10,000","-20,000","-3,000","-11,000","-12,000","-14,000","-79,000","-28,000","8,000","-10,000","-92,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"8,000","-9,000","-13,000","148,000","50,000","101,000","-270,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,847,000","-4,341,000","-5,824,000","-6,319,000","-7,508,000","-10,618,000","-11,620,000","-12,090,000","-10,425,000","-13,388,000","-8,694,000","-6,103,000","-6,611,000","-7,876,000","-9,952,000","-11,694,000","-12,981,000","-14,579,000","-11,920,000","-13,905,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,"-24,000",-,-,"-3,994,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,"-6,000","-11,000",-,"61,000","106,000","130,000","3,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"255,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-406,000",-,-,-,-,-,"540,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,592,000","-4,341,000","-6,230,000","-6,319,000","-7,508,000","-10,618,000","-11,620,000","-12,090,000","-9,885,000","-36,058,000","-8,694,000","-6,127,000","-6,617,000","-7,887,000","-13,946,000","-11,633,000","-12,875,000","-14,449,000","-11,917,000","-13,905,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"122,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-3,592,000","-4,341,000","-6,230,000","-6,319,000","-7,508,000","-10,618,000","-11,620,000","-12,090,000","-9,885,000","-36,058,000","-8,694,000","-6,127,000","-6,617,000","-7,887,000","-13,946,000","-11,633,000","-12,875,000","-14,449,000","-11,917,000","-14,027,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,592,000","-4,341,000","-6,230,000","-6,319,000","-7,508,000","-10,618,000","-11,620,000","-12,090,000","-9,885,000","-36,058,000","-8,694,000","-6,127,000","-6,617,000","-7,887,000","-13,946,000","-11,633,000","-12,875,000","-14,449,000","-11,917,000","-14,027,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,747,687","2,212,364","2,166,356","2,166,209","2,166,404","2,166,352","2,166,275","2,164,169","2,155,219","1,659,747","1,004,503","1,003,839","1,003,554","1,003,233","1,001,857","999,533","998,608","906,964","897,757","882,271",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,747,687","2,212,364","2,166,356","2,166,209","2,166,404","2,166,352","2,166,275","2,164,169","2,155,219","1,659,747","1,004,503","1,003,839","1,003,554","1,003,233","1,001,857","999,533","998,608","906,964","897,757","882,271",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),26.832%,2.124%,0.004%,0.094%,0.519%,30.523%,115.656%,115.589%,114.759%,65.440%,0.264%,0.431%,0.495%,10.614%,11.596%,13.291%,14.107%,13.943%,30.451%,384.317%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.307,-1.962,-2.876,-2.917,-3.466,-4.901,-5.364,-5.586,-4.587,-21.725,-8.655,-6.104,-6.594,-7.862,-13.920,-11.638,-12.893,-15.931,-13.274,-15.899,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.310,-1.962,-2.876,-2.919,-3.470,-4.901,-5.364,-5.586,-4.587,-21.725,-8.655,-6.104,-6.594,-7.862,-13.920,-11.638,-12.893,-15.931,-13.274,-15.899,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,450,000","-2,066,000","-6,814,000","-5,661,000","-6,994,000","-9,754,000","-9,502,000","-9,951,000","-7,657,000","-9,797,000","-7,685,000","-4,668,000","-5,258,000","-6,316,000","-11,924,000","-9,257,000","-11,346,000","-9,624,000","-9,204,000","-9,162,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.256,-0.934,-3.145,-2.613,-3.228,-4.503,-4.386,-4.598,-3.553,-5.903,-7.651,-4.650,-5.239,-6.296,-11.902,-9.261,-11.362,-10.611,-10.252,-10.385,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-3,624,000","-4,128,000","-5,468,000","-6,018,000","-7,119,000","-10,273,000","-10,932,000","-11,602,000","-10,215,000","-13,019,000","-8,398,000","-5,766,000","-6,280,000","-7,569,000","-9,754,000","-11,469,000","-12,761,000","-14,294,000","-11,944,000","-14,019,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"13,000","12,000","15,000","10,000","23,000","23,000","21,000","28,000","30,000","40,000","16,000","16,000","16,000","17,000","19,000","19,000","18,000","17,000","33,000","95,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-3,637,000","-4,140,000","-5,483,000","-6,028,000","-7,142,000","-10,296,000","-10,953,000","-11,630,000","-10,245,000","-13,059,000","-8,414,000","-5,782,000","-6,296,000","-7,586,000","-9,773,000","-11,488,000","-12,779,000","-14,311,000","-11,977,000","-14,114,000",Upgrade,Financials in USD,Fiscal year is January - December
