Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022",,
Revenue,"2,234,549","2,509,781","2,378,281","1,886,702","518,192","3,632,544","1,808,319","1,669,382","1,669,382","1,813,406","1,957,941",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),331.220%,-30.908%,31.519%,13.018%,-68.959%,100.316%,-7.642%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,725,979","2,077,594","2,468,914",-,"101,859","2,929,277","1,465,329","1,719,326","1,719,326","1,689,703","1,688,596",Financials in USD,Fiscal year is January - December
Gross Profit,"508,570","432,187","-90,633","391,330","416,333","703,267","342,990","-49,944","-49,944","123,703","269,345",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","241,948","147,590","318,376",-,"281,216","323,554","273,364","-236,293","-236,293","688,945","526,688",Financials in USD,Fiscal year is January - December
Research & Development,"144,582","128,696","131,088",-,"152,839","174,263","130,204","506,833","506,833",-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"386,530","276,286","449,464",-,"434,055","497,817","403,568","270,539","270,539","688,945","526,688",Financials in USD,Fiscal year is January - December
Operating Income,"122,040","155,901","-540,097",-,"-17,722","205,450","-60,578","-320,483","-320,483","-565,242","-257,343",Financials in USD,Fiscal year is January - December
Interest Expense,"-125,380","-132,118","-149,487","-40,518",-,"-199,973","-149,714","-146,898","-146,898","-135,514","-161,137",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,"62,553",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-181,"80,540","-95,904",-,"29,652","75,684","27,844","135,985","135,985","374,319","238,313",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,521","104,323","-785,488","-148,173","74,483","81,161","-182,448","-331,395","-331,395","-326,437","-180,168",Financials in USD,Fiscal year is January - December
Pretax Income,"-3,521","104,323","-785,488",-,"74,483","81,161","-182,448","-331,395","-331,395","-326,437","-180,168",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,"45,907","45,907","-83,176","-45,907",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-3,521","104,323","-785,488","-160,390","74,483","81,161","-182,448","-377,302","-377,302","-243,261","-134,261",Financials in USD,Fiscal year is January - December
Net Income to Company,"-3,521","104,323","-785,488",-,"74,483","81,161","-182,448","-377,302","-377,302","-243,261","-134,261",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"26,218","-22,976","197,821",-,"-28,829","-24,608","40,100","125,117","125,117",-,-,Financials in USD,Fiscal year is January - December
Net Income,"22,697","81,347","-587,667","-126,625","45,654","56,553","-142,348","-252,185","-252,185","-243,261","-134,261",Financials in USD,Fiscal year is January - December
Net Income to Common,"22,697","81,347","-587,667",-,"45,654","56,553","-142,348","-252,185","-252,185","-243,261","-134,261",Financials in USD,Fiscal year is January - December
Net Income Growth,-50.285%,43.842%,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"25,899,468","25,899,468","25,899,468","25,899,468","25,899,468","25,899,468","25,899,468","41,366,136","41,366,136","10,432,800","10,432,800",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"25,899,468","25,899,468","25,899,468","25,899,468","25,899,468","25,899,468","25,899,468","41,366,136","41,366,136","10,432,800","10,432,800",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-,-,-,-37.390%,-37.390%,148.250%,148.250%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),0.001,0.003,-0.023,-,0.002,0.002,-0.005,-0.006,-0.006,-0.023,-0.013,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.001,0.003,-0.023,-0.003,0.002,0.002,-0.005,-0.006,-0.006,-0.023,-0.013,Financials in USD,Fiscal year is January - December
EPS Growth,-50.284%,43.839%,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"813,301","-342,606","94,973","-202,769","547,735","-71,279","498,460","397,550","397,550","-369,898","-369,898",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.031,-0.013,0.004,-0.008,0.021,-0.003,0.019,0.010,0.010,-0.035,-0.035,Financials in USD,Fiscal year is January - December
Gross Margin,22.759%,17.220%,-3.811%,20.741%,80.343%,19.360%,18.967%,-2.992%,-2.992%,6.821%,13.757%,Financials in USD,Fiscal year is January - December
Operating Margin,5.462%,6.212%,-22.710%,-,-3.420%,5.656%,-3.350%,-19.198%,-19.198%,-31.170%,-13.144%,Financials in USD,Fiscal year is January - December
Profit Margin,1.016%,3.241%,-24.710%,-,8.810%,1.557%,-7.872%,-15.106%,-15.106%,-13.415%,-6.857%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,36.397%,-13.651%,3.993%,-10.747%,105.701%,-1.962%,27.565%,23.814%,23.814%,-20.398%,-18.892%,Financials in USD,Fiscal year is January - December
EBITDA,"583,510","603,895","-86,802","200,056","334,358","474,554","410,981","100,100","100,100","-142,556","165,343",Financials in USD,Fiscal year is January - December
EBITDA Margin,26.113%,24.062%,-3.650%,10.603%,64.524%,13.064%,22.727%,5.996%,5.996%,-7.861%,8.445%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"461,470","447,994","453,295","364,248","352,080","269,104","471,559","420,583","420,583","422,686","422,686",Financials in USD,Fiscal year is January - December
EBIT,"122,040","155,901","-540,097","-164,192","-17,722","205,450","-60,578","-320,483","-320,483","-565,242","-257,343",Financials in USD,Fiscal year is January - December
EBIT Margin,5.462%,6.212%,-22.709%,-8.703%,-3.420%,5.656%,-3.350%,-19.198%,-19.198%,-31.170%,-13.143%,Financials in USD,Fiscal year is January - December
