Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,"107,000","861,000","18,532,000","7,719,000","10,154,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-87.573%,-95.354%,140.083%,-23.981%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,"7,199,000","52,863,000","57,279,000","33,144,000","23,857,000",Financials in USD,Fiscal year is January - December
Gross Profit,-,"-7,092,000","-52,002,000","-38,747,000","-25,425,000","-13,703,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","19,689,000","26,910,000","36,192,000","21,238,000","14,011,000","7,439,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"19,689,000","26,910,000","36,192,000","21,238,000","14,011,000","7,439,000",Financials in USD,Fiscal year is January - December
Operating Income,"-19,689,000","-34,002,000","-88,194,000","-59,985,000","-39,436,000","-21,142,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,232,000","1,570,000","252,000","22,000","106,000","488,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,"2,000",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"3,333,000","4,053,000","702,000","-52,000",-,"40,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-15,124,000","-28,379,000","-87,240,000","-60,015,000","-39,328,000","-20,614,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"185,000","-3,818,000","-2,416,000",-,-,-,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,"-18,057,000",-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"20,000","637,000","-7,000","28,000","-13,000","-140,000",Financials in USD,Fiscal year is January - December
Asset Writedown,"32,900,000","-13,141,000","-6,926,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"752,000","-614,000",-,"1,827,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-14,167,000","-78,215,000","-114,646,000","-58,160,000","-39,341,000","-20,754,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,"-3,461,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-14,167,000","-74,754,000","-114,646,000","-58,160,000","-39,341,000","-20,754,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-14,167,000","-74,754,000","-114,646,000","-58,160,000","-39,341,000","-20,754,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,605,525","1,604,549","1,589,584","1,306,735","271,495","243,192",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,605,525","1,604,549","1,589,584","1,306,735","271,495","243,192",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.412%,0.941%,21.645%,381.311%,11.638%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-8.824,-46.589,-72.123,-44.508,-144.905,-85.340,Financials in USD,Fiscal year is January - December
EPS (Diluted),-8.824,-46.589,-72.123,-44.508,-144.905,-85.340,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-18,041,000","-31,505,000","-77,033,000","-83,116,000","-33,962,000","-18,325,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-11.237,-19.635,-48.461,-63.606,-125.093,-75.352,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-209.082%,-,-134.952%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-31777.570%,-10243.206%,-323.683%,-510.895%,-208.214%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-69863.551%,-13315.447%,-313.836%,-509.664%,-204.392%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-29443.925%,-8946.922%,-448.500%,-439.979%,-180.471%,Financials in USD,Fiscal year is January - December
EBITDA,"-19,506,000","-32,482,000","-82,687,000","-57,684,000","-38,646,000","-20,660,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-203.467%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"183,000","1,520,000","5,507,000","2,301,000","790,000","482,000",Financials in USD,Fiscal year is January - December
EBIT,"-19,689,000","-34,002,000","-88,194,000","-59,985,000","-39,436,000","-21,142,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-208.214%,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,"107,000","861,000","18,532,000","7,719,000","10,154,000",Financials in USD,Fiscal year is January - December
