Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2015,2014 - 2010,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '15 Dec 31, 2015",2014 - 2010,,
Revenue,-,-,"1,525",197,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,674.112%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,"72,686",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,"-71,161",197,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,600,854","504,997","1,168,513","5,777,596","87,815","441,794",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,603,456","507,600","1,170,561","5,777,596","87,815","441,794",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,603,456","-507,600","-1,241,722","-5,777,399","-87,815","-441,794",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-40,811","-60,412","-46,964","-58,896","-53,745","-8,197",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,464",183,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,"412,211",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,"-20,343",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,641,803","-567,829","-1,288,686","-5,836,295","-161,903","-37,780",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,"-5,881",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-60,932","4,219",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-75,000",-,-,-,"-12,707,500",-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-60,700",-,"-1,644,960",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-2,218,382",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,716,803","-567,829","-3,512,949","-5,957,927","-12,865,184","-1,682,740",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,"37,922",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-1,716,803","-567,829","-3,512,949","-5,957,927","-12,865,184","-1,720,662",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,-,"-11,619",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-1,716,803","-567,829","-3,512,949","-5,957,927","-12,876,803","-1,720,662",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"12,560","26,246","93,328",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-1,704,243","-541,583","-3,419,621","-5,957,927","-12,876,803","-1,720,662",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,704,243","-541,583","-3,419,621","-5,957,927","-12,876,803","-1,720,662",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"478,731,248","447,592,863","430,066,213","154,877,610","143,686,230","112,644,062",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"478,731,248","447,592,863","430,066,213","154,877,610","143,686,230","112,644,062",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),7.459%,4.075%,177.681%,7.789%,27.558%,1.461%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.004,-0.001,-0.008,-0.038,-0.090,-0.015,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.004,-0.001,-0.010,-0.038,-0.090,-0.015,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-181,616","-260,152","-732,649","-348,125","-289,591","-1,945,956",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-0.001,-0.002,-0.002,-0.002,-0.017,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,100.000%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-81424.393%,-2932689.848%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-224237.443%,-3024328.426%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-48042.557%,-176713.198%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-1,601,472","-505,616","-1,239,674",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,984","1,984","2,048",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-1,603,456","-507,600","-1,241,722","-5,777,399","-87,815","-441,794",Upgrade,Financials in USD,Fiscal year is January - December
