Fiscal Quarter,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Currency,Fiscal_Year_period
Period Ending,"Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017",,
Revenue,"492,000","104,000","211,000","297,000","243,000","482,000","250,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),102.469%,-78.423%,-15.600%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"15,574,000","17,411,000","17,633,000","17,185,000","14,338,000","15,659,000","12,833,000","13,137,000","64,232,000",-,"18,775,000",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"-15,082,000","-17,307,000","-17,422,000","-16,888,000","-14,095,000","-15,177,000","-12,583,000","-13,137,000","-64,232,000",-,"-18,775,000",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,617,000","5,106,000","5,785,000","5,460,000","5,205,000","7,201,000","5,559,000","5,917,000","4,884,000","5,930,000","6,181,000","5,433,000","5,597,000","7,144,000","3,210,000","2,670,000","2,460,000","1,776,000","901,000","901,000",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,"-50,145,000","16,188,000",-,"15,182,000","15,208,000","10,168,000","9,140,000","7,546,000","7,479,000","5,012,000","4,250,500","4,250,500",Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-145,000",-,-,-,"193,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,472,000","5,106,000","5,785,000","5,460,000","5,398,000","7,201,000","5,559,000","5,917,000","-45,261,000","22,118,000","6,181,000","20,615,000","20,805,000","17,312,000","12,350,000","10,216,000","9,939,000","6,788,000","5,151,500","5,151,500",Financials in USD,Fiscal year is January - December
Operating Income,"-19,554,000","-22,413,000","-23,207,000","-22,348,000","-19,493,000","-22,378,000","-18,142,000","-19,054,000","-18,971,000","-22,118,000","-24,956,000","-20,615,000","-20,805,000","-17,312,000","-12,350,000","-10,216,000","-9,939,000","-6,788,000","-5,151,500","-5,151,500",Financials in USD,Fiscal year is January - December
Interest Expense,"-715,000","-709,000","-705,000","-709,000","-718,000","-713,000","-683,000","-688,000","-201,000","-258,000","-260,000","-258,000","-260,000","-243,000","-253,000","-249,000","-239,000","-79,000","-58,500","-58,500",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"10,000","17,000","24,000","21,000","5,000","21,000","30,000","193,000","274,000","429,000","584,000","407,000","402,000","375,000","271,000","70,000","32,000",-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-,-,"-170,000","-17,000",-,"10,000","-7,000","-1,500","-1,500",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-13,000","20,000","-1,000","-6,000","190,000","-61,000","-127,000","-2,000","-34,000","-14,000","-7,000","247,000","-567,000","-56,000","1,000","-365,000","-16,000","5,000","-57,500","-57,500",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-20,272,000","-23,085,000","-23,889,000","-23,042,000","-20,016,000","-23,131,000","-18,922,000","-19,551,000","-18,932,000","-21,961,000","-24,639,000","-20,219,000","-21,230,000","-17,406,000","-12,348,000","-10,760,000","-10,152,000","-6,869,000","-5,269,000","-5,269,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,"-580,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-20,272,000","-23,085,000","-23,889,000","-23,042,000","-20,016,000","-23,131,000","-18,922,000","-19,551,000","-19,512,000","-21,961,000","-24,639,000","-20,219,000","-21,230,000","-17,406,000","-12,348,000","-10,760,000","-10,152,000","-6,869,000","-5,269,000","-5,269,000",Financials in USD,Fiscal year is January - December
Net Income,"-20,272,000","-23,085,000","-23,889,000","-23,042,000","-20,016,000","-23,131,000","-18,922,000","-19,551,000","-19,512,000","-21,961,000","-24,639,000","-20,219,000","-21,230,000","-17,406,000","-12,348,000","-10,760,000","-10,152,000","-6,869,000","-5,269,000","-5,269,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-20,272,000","-23,085,000","-23,889,000","-23,042,000","-20,016,000","-23,131,000","-18,922,000","-19,551,000","-19,512,000","-21,961,000","-24,639,000","-20,219,000","-21,230,000","-17,406,000","-12,348,000","-10,760,000","-10,152,000","-6,869,000","-5,269,000","-5,269,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"42,599,553","42,577,570","42,538,563","39,692,582","35,981,830","35,554,128","31,880,672","30,333,283","30,091,773","29,856,233","29,667,221","12,963,994","5,639,039","5,146,301","4,811,902","4,743,824","4,594,231","4,448,039","4,418,093","4,418,093",Financials in USD,Fiscal year is January - December
