Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2016,,
Revenue,"157,861,000","148,598,000","134,010,000","121,464,000","50,895,151","45,604,644",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),8.474%,10.886%,10.329%,138.655%,11.601%,284.787%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"90,385,000","82,679,000","70,053,000","55,201,000","19,570,257","26,902,916",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"67,476,000","65,919,000","63,957,000","66,263,000","31,324,894","18,701,728",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","59,781,000","50,721,000","38,875,000","37,538,000","15,811,749","13,030,231",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"59,895,000","50,839,000","42,627,000","39,400,000","16,794,237","46,370,051",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"7,581,000","15,080,000","21,330,000","26,863,000","14,530,657","-27,668,323",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-6,616,000","-9,185,000","-1,693,000","-2,356,000","-9,810,475","-12,718,952",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"103,000","270,000","959,000","109,000","255,158","467,798",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-773,000","-653,000","-45,000","-2,000",-,-83,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"295,000","5,512,000","20,551,000","24,614,000","4,975,340","-39,919,560",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-853,000","-695,000","-961,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,"-2,662,669",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-76,000","-76,000","-82,000","-798,000","-349,638","-30,975,359",Upgrade,Financials in USD,Fiscal year is January - December
