Fiscal Year,TTM,FY 2021,FY 2020,FY 2019,FY 2018,FY 2017,2016 - 2012,Currency,Fiscal_Year_period
Period Ending,"Sep '22 Sep 30, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Dec '17 Dec 31, 2017",2016 - 2012,,
Revenue,"247,767","97,735","51,897","104,393","130,596","120,979",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),185.062%,88.325%,-50.287%,-20.064%,7.949%,-28.141%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"181,238","89,268","36,981","69,678","116,534","26,903",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"66,529","8,467","14,916","34,715","14,062","94,076",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,418,450","1,928,582","1,101,363","1,202,819","1,387,454","1,476,016",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,448,780","1,996,912","939,863","1,264,608","1,892,924","1,476,016",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,382,251","-1,988,445","-924,947","-1,229,893","-1,878,862","-1,381,940",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-727,821","-495,679","-336,174","-262,025","-590,106","-358,651",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"9,375,553","-10,125,561","-1,095,356","-5,192,145","-2,321,485","-2,273,968",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"7,265,481","-12,609,685","-2,356,477","-6,684,063","-4,790,453","-4,014,559",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-151,559","-485,836","1,587,293","92,621","905,758","-14,189",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"7,113,922","-13,095,521","-769,184","-6,591,442","-3,884,695","-4,028,748",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"7,113,922","-13,095,521","-769,184","-6,591,442","-3,884,695","-4,028,748",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"7,113,922","-13,095,521","-769,184","-6,591,442","-3,884,695","-4,028,748",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"7,435,082,752","7,232,591,111","6,607,482,758","4,710,306,385","3,187,272,679","1,048,283,386",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"13,160,301,832","7,232,591,111","6,607,482,758","4,710,306,385","3,187,272,679","1,048,283,386",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),84.731%,9.461%,40.277%,47.785%,204.047%,522.292%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.001,-0.002,-0.000,-0.001,-0.001,-0.004,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.000,-0.002,-0.000,-0.001,-0.001,-0.004,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,004,348","-1,783,512","-883,991","-743,659","-999,949","-1,147,460",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,26.851%,8.663%,28.741%,33.254%,10.768%,77.762%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-557.883%,-2034.527%,-1782.275%,-1178.137%,-1438.683%,-1142.297%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,2871.214%,-13399.009%,-1482.136%,-6314.065%,-2974.590%,-3330.122%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-405.360%,-1824.845%,-1703.357%,-712.365%,-765.681%,-948.479%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-1,362,257","-1,979,361","-921,116","-1,226,156","-1,872,899","-1,375,654",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"19,994","9,084","3,831","3,737","5,963","6,286",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-1,382,251","-1,988,445","-924,947","-1,229,893","-1,878,862","-1,381,940",Upgrade,Financials in USD,Fiscal year is January - December
