Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019 - 2017,,
"Selling, General & Admin","109,378","155,663","282,608","563,992","1,843,767","2,636,584",Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"109,378","155,663","282,608","563,992","1,843,767","2,636,584",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"-109,378","-155,663","-282,608","-563,992","-1,843,767","-2,636,584",Upgrade,Financials in USD,Fiscal year is July - June
Interest Expense,"-86,821","-83,450","-79,294","-62,365","-16,175",-33,Upgrade,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-196,199","-239,113","-361,902","-626,357","-1,859,942","-2,636,617",Upgrade,Financials in USD,Fiscal year is July - June
Asset Writedown,-,-,-,-,-,"-35,000",Upgrade,Financials in USD,Fiscal year is July - June
Pretax Income,"-196,199","-239,113","-361,902","-626,357","-1,859,942","-2,671,617",Upgrade,Financials in USD,Fiscal year is July - June
Net Income,"-196,199","-239,113","-361,902","-626,357","-1,859,942","-2,671,617",Upgrade,Financials in USD,Fiscal year is July - June
Net Income to Common,"-196,199","-239,113","-361,902","-626,357","-1,859,942","-2,671,617",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"67,668,291","66,193,840","62,333,322","57,860,108","55,399,643","53,912,852",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"67,668,291","66,193,840","62,333,322","57,860,108","55,399,643","53,912,852",Upgrade,Financials in USD,Fiscal year is July - June
Shares Change (YoY),7.056%,6.193%,7.731%,4.441%,2.758%,5.641%,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Basic),-0.003,-0.004,-0.006,-0.011,-0.034,-0.050,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Diluted),-0.003,-0.004,-0.006,-0.011,-0.034,-0.050,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-56,511","-64,364","-81,751","-75,143","-90,745","-147,570",Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-0.001,-0.001,-0.001,-0.001,-0.002,-0.003,Upgrade,Financials in USD,Fiscal year is July - June
EBIT,"-109,378","-155,663","-282,608","-563,992","-1,843,767","-2,636,584",Upgrade,Financials in USD,Fiscal year is July - June
