Fiscal Year,TTM,FY 2016,FY 2015,FY 2014,FY 2013,FY 2012,2011,Currency,Fiscal_Year_period
Period Ending,"Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Jun '15 Jun 30, 2015","Jun '14 Jun 30, 2014","Jun '13 Jun 30, 2013","Jun '12 Jun 30, 2012",2011,,
Operating Revenue,"234,721","194,732","7,458","265,735","359,143","74,452",Upgrade,Financials in USD,Fiscal year is July - June
Other Revenue,"103,762","103,762","85,440",-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Revenue,"338,483","298,494","92,898","265,735","359,143","74,452",Upgrade,Financials in USD,Fiscal year is July - June
Revenue Growth (YoY),215.331%,221.314%,-65.041%,-26.009%,382.382%,-,Upgrade,Financials in USD,Fiscal year is July - June
Cost of Revenue,"907,478","943,188","785,429","951,189","963,209",-,Upgrade,Financials in USD,Fiscal year is July - June
Gross Profit,"-568,995","-644,694","-692,531","-685,454","-604,066","74,452",Upgrade,Financials in USD,Fiscal year is July - June
"Selling, General & Admin","1,871,542","1,944,654","7,742,617","3,870,099","1,918,659","3,884,227",Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"2,379,844","2,464,115","8,157,036","4,058,624","2,053,698","3,884,227",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"-2,948,839","-3,108,809","-8,849,567","-4,744,078","-2,657,764","-3,809,775",Upgrade,Financials in USD,Fiscal year is July - June
Interest Expense,"-1,965,593","-1,786,347","-928,751","-1,028,481","-310,472","-28,586",Upgrade,Financials in USD,Fiscal year is July - June
Other Non Operating Income (Expenses),"-18,581","-116,450","-2,332","-4,240,093",-,1,Upgrade,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-4,933,013","-5,011,606","-9,780,650","-10,012,652","-2,968,236","-3,838,360",Upgrade,Financials in USD,Fiscal year is July - June
Asset Writedown,-,-,-,"-5,749,985",-,-,Upgrade,Financials in USD,Fiscal year is July - June
Other Unusual Items,"270,786","270,786","-295,000","-284,475",-,-,Upgrade,Financials in USD,Fiscal year is July - June
Pretax Income,"-4,662,227","-4,740,820","-10,072,344","-16,047,112","-2,968,236","-3,838,360",Upgrade,Financials in USD,Fiscal year is July - June
Earnings From Continuing Operations,"-4,662,227","-4,740,820","-10,072,344","-16,047,112","-2,968,236","-3,838,360",Upgrade,Financials in USD,Fiscal year is July - June
Minority Interest in Earnings,"343,573","361,694","489,887","440,132","780,231","61,188",Upgrade,Financials in USD,Fiscal year is July - June
Net Income,"-4,318,654","-4,379,126","-9,582,457","-15,606,980","-2,188,005","-3,777,172",Upgrade,Financials in USD,Fiscal year is July - June
Net Income to Common,"-4,318,654","-4,379,126","-9,582,457","-15,606,980","-2,188,005","-3,777,172",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"196,050,274","174,091,251","136,892,242","114,715,116","110,895,300","96,323,533",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"196,050,274","174,091,251","136,892,242","114,715,116","110,895,300","96,323,533",Upgrade,Financials in USD,Fiscal year is July - June
Shares Change (YoY),35.330%,27.174%,19.332%,3.445%,15.128%,26.741%,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Basic),-0.022,-0.025,-0.070,-0.136,-0.020,-0.039,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Diluted),-0.022,-0.025,-0.070,-0.136,-0.020,-0.039,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-999,541","-1,083,305","-3,560,792","-3,321,633","-3,806,857","-6,826,123",Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-0.005,-0.006,-0.026,-0.029,-0.034,-0.071,Upgrade,Financials in USD,Fiscal year is July - June
Gross Margin,-168.101%,-215.982%,-,-257.946%,-168.196%,100.000%,Upgrade,Financials in USD,Fiscal year is July - June
Operating Margin,-871.193%,-1041.498%,-9526.111%,-1785.267%,-740.029%,-5117.089%,Upgrade,Financials in USD,Fiscal year is July - June
Profit Margin,-1275.885%,-1467.073%,-10315.030%,-5873.137%,-609.229%,-5073.298%,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Margin,-295.300%,-362.924%,-3833.013%,-1249.979%,-1059.984%,-9168.488%,Upgrade,Financials in USD,Fiscal year is July - June
EBITDA,"-2,440,905","-2,589,716","-8,435,148","-4,555,553","-2,522,725","-3,809,470",Upgrade,Financials in USD,Fiscal year is July - June
D&A For EBITDA,"507,934","519,093","414,419","188,525","135,039",305,Upgrade,Financials in USD,Fiscal year is July - June
EBIT,"-2,948,839","-3,108,809","-8,849,567","-4,744,078","-2,657,764","-3,809,775",Upgrade,Financials in USD,Fiscal year is July - June
Revenue as Reported,"298,494","298,494","92,898",-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
