Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q2 2019,Q1 2019,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",,
"Selling, General & Admin","1,489,027","3,297,350","3,221,349","2,425,849","2,768,910","3,814,184","4,739,449","2,367,711","775,963","933,817","1,322,027","1,277,287","1,086,939","1,286,992","1,796,147","1,300,706","1,452,806","79,411","29,168","7,747",Financials in USD,Fiscal year is January - December
Research & Development,"1,509,481","392,813","1,164,787","1,938,672","589,029","222,491","238,091","327,268","151,425","1,070,704","469,127","437,559","889,914","427,955","326,271","340,558","74,135","195,812","108,725","106,632",Financials in USD,Fiscal year is January - December
Operating Expenses,"2,998,508","3,690,163","4,386,136","4,364,521","3,357,939","4,036,675","4,977,540","2,694,979","927,388","2,004,521","1,791,154","1,714,846","1,976,853","1,714,947","2,122,418","1,641,264","1,526,941","275,223","137,893","114,379",Financials in USD,Fiscal year is January - December
Operating Income,"-2,998,508","-3,690,163","-4,386,136","-4,364,521","-3,357,939","-4,036,675","-4,977,540","-2,694,979","-927,388","-2,004,521","-1,791,154","-1,714,846","-1,976,853","-1,714,947","-2,122,418","-1,641,264","-1,526,941","-275,223","-137,893","-114,379",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-1,309","-3,928","-3,928","-3,928","-1,309",-,-,-,-,-,"-2,805,856","-607,737","-1,721",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),729,"-3,022","-1,883,009","-325,981","-124,420","243,706","-81,557","-8,675,151","1,249,432","3,867,983","8,024,410","-1,395,796","-4,154,481","-2,699,448","-1,573,879",-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,997,779","-3,693,185","-6,269,145","-4,691,811","-3,486,287","-3,796,897","-5,063,025","-11,371,439","322,044","1,863,462","6,233,256","-3,110,642","-6,131,334","-7,220,251","-4,304,034","-1,642,985","-1,526,941","-275,223","-137,893","-114,379",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"348,672","-357,407",-,"-36,850","-157,623","-92,174","-303,012",-,-,-,-,-,"-76,825",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,997,779","-3,693,185","-5,920,473","-5,049,218","-3,486,287","-3,833,747","-5,220,648","-11,463,613","19,032","1,863,462","6,233,256","-3,110,642","-6,131,334","-7,220,251","-4,380,859","-1,642,985","-1,526,941","-275,223","-137,893","-114,379",Financials in USD,Fiscal year is January - December
Net Income,"-2,997,779","-3,693,185","-5,920,473","-5,049,218","-3,486,287","-3,833,747","-5,220,648","-11,463,613","19,032","1,863,462","6,233,256","-3,110,642","-6,131,334","-7,220,251","-4,380,859","-1,642,985","-1,526,941","-275,223","-137,893","-114,379",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,"5,831","603,927",-,-,-,-,-,"1,471,864",-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,997,779","-3,693,185","-5,920,473","-5,049,218","-3,486,287","-3,833,747","-5,220,648","-11,463,613","13,201","1,259,535","6,233,256","-3,110,642","-6,131,334","-7,220,251","-4,380,859","-3,114,849","-1,526,941","-275,223","-137,893","-114,379",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"7,655,549","7,418,281","4,072,863","971,738","860,715","743,373","702,184","539,864","406,676","406,676","406,836","406,676","406,676","347,635","339,759","339,759","339,759","339,759","339,759","339,759",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"7,655,549","7,418,281","4,072,863","971,738","860,715","743,373","702,184","539,864","406,676","444,881","406,836","406,676","406,676","347,635","339,759","339,759","339,759","339,759","339,759","339,759",Financials in USD,Fiscal year is January - December
Shares Change (YoY),789.441%,897.922%,480.028%,79.997%,111.646%,67.095%,72.596%,32.750%,-,27.974%,19.743%,19.695%,19.695%,2.318%,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.392,-0.498,-1.454,-5.196,-4.050,-5.157,-7.435,-21.234,0.032,3.097,15.321,-7.649,-15.077,-20.770,-12.894,-9.168,-4.494,-0.810,-0.406,-0.337,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.392,-0.500,-1.454,-5.200,-4.050,-5.160,-7.437,-21.234,0.032,-0.832,15.321,-7.649,-15.130,-20.770,-12.898,-9.168,-4.494,-0.810,-0.406,-0.337,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,302,406","-3,068,471","-2,617,274","-2,331,800","-2,836,085","-2,983,345","-3,067,008","-1,571,894","-1,037,577","-394,704","-1,248,389","-1,506,345","-1,973,587","-784,318","-1,705,273","-125,467","-372,939","-145,143","-90,983","-102,880",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.170,-0.414,-0.643,-2.400,-3.295,-4.013,-4.368,-2.912,-2.551,-0.887,-3.069,-3.704,-4.853,-2.256,-5.019,-0.369,-1.098,-0.427,-0.268,-0.303,Financials in USD,Fiscal year is January - December
EBIT,"-2,998,508","-3,690,163","-4,386,136","-4,364,521","-3,357,939","-4,036,675","-4,977,540","-2,694,979","-927,388","-2,004,521","-1,791,154","-1,714,846","-1,976,853","-1,714,947","-2,122,418","-1,641,264","-1,526,941","-275,223","-137,893","-114,379",Financials in USD,Fiscal year is January - December
