Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",+20 Quarters,,
"Selling, General & Admin","245,129","367,644","291,949","191,737","250,916","211,376","495,793","361,982","423,558","426,169","645,376","707,637","1,140,204","463,739","365,280","262,341","279,930","270,391","324,513","349,902",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"87,380","98,215","98,425","29,225","138,050","141,099","121,159","151,700","157,751","237,828","154,764","158,033","171,776","153,176","155,290","151,452","150,527","148,000","149,350","230,024",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"332,509","465,859","390,374","220,962","388,966","352,475","616,952","513,682","581,309","663,997","800,140","865,670","1,311,980","616,915","520,570","413,793","430,457","418,391","473,863","579,926",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-332,509","-465,859","-390,374","-220,962","-388,966","-352,475","-616,952","-513,682","-581,309","-663,997","-800,140","-865,670","-1,311,980","-616,915","-520,570","-413,793","-430,457","-418,391","-473,863","-579,926",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-73,408","-225,049","-67,272","-70,006","-94,643","-179,521","-259,647","-265,203","-228,253","-151,842","-79,470","-135,681","-78,678","-190,606","-140,710","-182,848","-70,168","-70,533","-81,112","-40,013",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"10,415","9,878","27,583","-98,723","82,192","51,708","16,436","5,190","38,332","2,526","29,361","-57,650","-22,791","-8,616","38,558","-31,003","30,781","11,711","14,643","-4,059",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,"1,099",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-395,502","-681,030","-430,063","-389,691","-401,417","-480,288","-860,163","-773,695","-771,230","-812,214","-850,249","-1,059,001","-1,413,449","-816,137","-622,722","-627,644","-469,844","-477,213","-540,332","-623,998",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"100,000","-71,161",-,-,-,"62,548",-,-,-,"-65,906",-,"-323,996",-,-,-,-,"-49,975",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-395,502","-681,030","-430,063","-289,691","-472,578","-480,288","-860,163","-773,695","-708,682","-812,214","-850,249","-1,059,001","-1,479,355","-816,137","-946,718","-627,644","-469,844","-477,213","-540,332","-673,973",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-395,502","-681,030","-430,063","-289,691","-472,578","-480,288","-860,163","-773,695","-708,682","-812,214","-850,249","-1,059,001","-1,479,355","-816,137","-946,718","-627,644","-469,844","-477,213","-540,332","-673,973",Upgrade,Financials in USD,Fiscal year is January - December
