Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+9 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+9 Quarters,,
Revenue,"376,000","579,000","653,000","406,000","336,000","808,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"375,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),11.905%,-28.342%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"755,000","3,525,000","30,117,000",-,"8,241,000","5,668,000","58,620,000",-,"18,356,000","10,009,000",-,-,-,-,"-7,152,000","2,015,000","1,444,000","3,693,000","11,469,000","2,604,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-379,000","-2,946,000","-29,464,000","406,000","-7,905,000","-4,860,000","-58,620,000",-,"-18,356,000","-10,009,000",-,-,-,-,"7,152,000","-2,015,000","-1,444,000","-3,693,000","-11,469,000","-2,229,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,549,000","3,109,000","2,746,000","2,987,000","2,780,000","4,072,000","2,752,000","2,660,000","2,883,000","4,001,000","7,828,000","2,227,000","2,465,000","2,500,000","2,013,000","2,070,000","1,876,000","1,816,000","1,132,000","1,415,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"211,000",-,"-24,199,000","10,022,000","268,000",-,"-43,115,000","14,750,000",-,-,"19,546,000","8,683,000","4,308,000","14,112,000","10,984,000",-,-,-,"-71,000","37,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,760,000","3,109,000","-21,453,000","13,009,000","3,048,000","4,072,000","-40,363,000","17,410,000","2,883,000","4,001,000","27,374,000","10,910,000","6,773,000","16,612,000","12,997,000","2,070,000","1,876,000","1,816,000","1,061,000","1,452,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,139,000","-6,055,000","-8,011,000","-12,603,000","-10,953,000","-8,932,000","-18,257,000","-17,410,000","-21,239,000","-14,010,000","-27,374,000","-10,910,000","-6,773,000","-16,612,000","-5,845,000","-4,085,000","-3,320,000","-5,509,000","-12,530,000","-3,681,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-23,000","-23,000","-19,000","-42,000","-7,000","-7,000",-,"-2,000","-5,000","-7,000","-5,000","-20,000","-583,000","-990,000","-151,000","-6,000","-3,000","-4,000","-1,000","-1,000",Upgrade,Financials in USD,Fiscal year is January - December
