Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"20,000","20,000","279,296","663,426","275,556","43,166",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),0%,-92.839%,-57.901%,140.759%,538.364%,-37.754%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,"4,808","3,300",-,"17,551",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"20,000","20,000","274,488","660,126","275,556","25,615",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","527,249","491,604","494,182","454,107","497,199","525,776",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"547,384","510,375","512,920","472,046","529,221","565,392",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-527,384","-490,375","-238,432","188,080","-253,665","-539,777",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-668,532","-1,887,150","-1,162,869","-1,213,043","-1,193,947","-1,004,756",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"11,700","-4,915","32,035","-157,478",-,"15,400",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,184,216","-2,382,440","-1,369,266","-1,182,441","-1,447,612","-1,529,133",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,"75,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"144,379","109,688",-,"-247,998",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,184,216","-2,382,440","-1,224,887","-1,072,753","-1,447,612","-1,702,131",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-1,184,216","-2,382,440","-1,224,887","-1,072,753","-1,447,612","-1,702,131",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,184,216","-2,382,440","-1,224,887","-1,072,753","-1,447,612","-1,702,131",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,539,843","4,539,843","4,539,843","4,539,843","4,492,398","2,896,689",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,539,843","4,539,843","4,539,843","4,539,843","4,492,398","2,896,689",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-,-,-,1.056%,55.087%,-90.374%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.261,-0.525,-0.270,-0.236,-0.322,-0.588,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.261,-0.525,-0.270,-0.240,-0.322,-0.590,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-56,765","-77,157","45,170","374,605","45,765","-128,212",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.013,-0.017,0.010,0.083,0.010,-0.044,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,98.278%,99.502%,100.000%,59.341%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-2636.920%,-2451.875%,-85.369%,28.350%,-92.056%,-1250.468%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-5921.080%,-11912.200%,-438.562%,-161.699%,-525.342%,-3943.222%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-283.825%,-385.785%,16.173%,56.465%,16.608%,-297.021%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-507,249","-471,604","-219,694","206,019","-221,643","-500,161",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-78.660%,31.054%,-80.435%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"20,135","18,771","18,738","17,939","32,022","39,616",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-527,384","-490,375","-238,432","188,080","-253,665","-539,777",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-85.369%,28.350%,-92.056%,-,Upgrade,Financials in USD,Fiscal year is January - December
