Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
Revenue,"284,284,000","303,442,000","297,619,000","286,974,000","275,210,000","281,795,000","285,214,000","298,476,000","295,353,000","313,839,000","310,561,000",-,"224,092,000","215,122,000","193,823,000","168,437,000","136,274,000","120,765,000","96,057,000","79,692,564",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),3.297%,7.682%,4.349%,-3.854%,-6.820%,-10.210%,-8.162%,-,31.800%,45.889%,60.229%,-,64.442%,78.133%,101.779%,111.358%,92.667%,108.503%,115.975%,121.704%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"111,006,000","121,794,000","123,817,000","133,121,000","132,264,000","140,158,000","135,022,000","140,318,000","126,641,000","130,466,000","130,706,000",-,"70,147,000","70,639,000","58,559,000","47,604,000","34,097,000","30,233,000","22,226,000","141,890,616",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"173,278,000","181,648,000","173,802,000","153,853,000","142,946,000","141,637,000","150,192,000","158,158,000","168,712,000","183,373,000","179,855,000",-,"153,945,000","144,483,000","135,264,000","120,833,000","102,177,000","90,532,000","73,831,000","-62,198,052",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","148,624,000","102,585,000","101,307,000","112,433,000","93,853,000","95,976,000","100,045,000","132,301,000","98,297,000","95,379,000","96,299,000",-,"67,995,000","59,949,000","57,267,000","47,267,000","39,392,000","34,945,000","29,125,000","28,769,761",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"176,956,000","130,661,000","129,062,000","139,634,000","120,811,000","122,028,000","129,659,000","162,061,000","127,768,000","124,746,000","124,083,000",-,"75,723,000","66,616,000","62,701,000","51,255,000","42,706,000","38,049,000","31,319,000","27,882,765",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,678,000","50,987,000","44,740,000","14,219,000","22,135,000","19,609,000","20,533,000","-3,903,000","40,944,000","58,627,000","55,772,000",-,"78,222,000","77,867,000","72,563,000","69,578,000","59,471,000","52,483,000","42,512,000","-90,080,817",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-17,459,000","-15,449,000","-14,669,000","-20,644,000","-20,834,000","-18,931,000","-21,160,000","-21,193,000","-17,731,000","-18,144,000","-16,353,000",-,"-6,145,000","-6,649,000","-7,899,000","-3,671,000","-5,352,000","-5,302,000","-5,912,000","-2,026,433",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,202,000","4,039,000","3,258,000","2,764,000","1,927,000","1,334,000","1,062,000","631,000","300,000","300,000","400,000",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
