Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters,,
Other Revenue,"6,786,000","2,245,000","2,248,000","2,248,000","2,228,000",-,-,"14,000",-,"-47,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue,"6,786,000","2,245,000","2,248,000","2,248,000","2,228,000",-,-,"14,000",-,"-47,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),201.868%,-0.133%,0.898%,-,-,-,-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,"-22,738,000","22,738,000","20,624,000","13,159,000","13,565,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"6,786,000","2,245,000","2,248,000","2,248,000","2,228,000","22,738,000","-22,738,000","-20,610,000","-13,159,000","-13,612,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","22,161,000","21,908,000","6,913,000","5,269,000","2,223,000","2,014,000","3,566,000","2,634,000","2,966,000","2,388,000",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,"64,650,000","70,554,000","32,622,000","33,188,000","15,107,000","47,781,000",-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Other Operating Expenses,"-29,000","-40,000","-7,000","-22,000","-56,000","-4,391,000","152,000","107,000","54,000","32,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"86,782,000","92,422,000","39,528,000","38,435,000","17,274,000","45,339,000","3,783,000","2,774,000","3,053,000","2,455,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-79,996,000","-90,177,000","-37,280,000","-36,187,000","-15,046,000","-22,601,000","-26,521,000","-23,384,000","-16,212,000","-16,067,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,"-6,252,000","-4,501,000","-9,325,000","-4,614,000","-2,326,000","-2,211,000","-1,348,000","-1,355,000","-963,000","-980,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"4,811,000","2,061,000",-,-,-,-,"1,000",-,-,"4,000",Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"2,222,000","-5,573,000",-,-,-,-,-,-,-,"-34,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,423,000","-876,000","-5,348,000","3,682,000","5,908,000","2,506,000",-,"1,000",-,"-1,000",Upgrade,Financials in EUR,Fiscal year is January - December
