Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"929,236,000","726,437,000","517,235,000","484,145,000","441,755,000","339,076,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),47.058%,40.446%,6.835%,9.596%,30.282%,51.504%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"347,188,000","393,257,000","371,741,000","258,556,000","286,880,000","259,983,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"582,048,000","333,180,000","145,494,000","225,589,000","154,875,000","79,093,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","469,813,000","406,559,000","369,090,000","396,028,000","388,661,000","325,638,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"469,813,000","406,559,000","369,090,000","396,028,000","388,661,000","325,638,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"112,235,000","-73,379,000","-223,596,000","-170,439,000","-233,786,000","-246,545,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"23,210,000","17,234,000","6,610,000","591,000","6,610,000","11,165,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"131,584,000","-56,145,000","-216,986,000","-169,848,000","-227,176,000","-235,380,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,"-52,800,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"5,109,000","5,109,000","3,542,000","2,329,000","-997,000","997,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"136,693,000","-51,036,000","-213,444,000","-167,519,000","-280,973,000","-234,383,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"8,187,000","10,250,000","2,531,000","351,000","611,000","876,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"128,506,000","-61,286,000","-215,975,000","-167,870,000","-281,584,000","-235,259,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"128,506,000","-61,286,000","-215,975,000","-167,870,000","-281,584,000","-235,259,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"165,285,250","163,819,000","161,683,000","160,493,000","157,331,000","147,199,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"165,805,000","163,819,000","161,683,000","160,493,000","157,331,000","147,199,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.650%,1.321%,0.741%,2.010%,6.883%,16.287%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.777,-0.374,-1.336,-1.046,-1.790,-1.598,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.776,-0.374,-1.340,-1.046,-1.790,-1.598,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"202,657,000","16,652,000","-114,035,000","-126,782,000","-143,753,000","-152,259,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,1.222,0.102,-0.705,-0.790,-0.914,-1.034,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,62.637%,45.865%,28.129%,46.595%,35.059%,23.326%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,12.078%,-10.101%,-43.229%,-35.204%,-52.922%,-72.711%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,13.829%,-8.437%,-41.756%,-34.673%,-63.742%,-69.382%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,21.809%,2.292%,-22.047%,-26.187%,-32.541%,-44.904%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"124,541,000","-67,827,000","-221,570,000","-167,095,000","-230,854,000","-243,779,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,13.402%,-9.337%,-42.837%,-34.513%,-52.258%,-71.895%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"12,306,000","5,552,000","2,026,000","3,344,000","2,932,000","2,766,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"112,235,000","-73,379,000","-223,596,000","-170,439,000","-233,786,000","-246,545,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,12.078%,-10.101%,-43.229%,-35.204%,-52.922%,-72.711%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"929,236,000","726,437,000","517,235,000","484,145,000","441,755,000","339,076,000",Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"9,400,000","5,500,000","41,800,000","51,100,000","38,300,000",Upgrade,Financials in USD,Fiscal year is January - December
