Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"40,973,000","14,801,000","3,935,000",-,"15,431,000","110,456,000",Upgrade,Financials in CHF,Fiscal year is January - December
Revenue Growth (YoY),4097200.000%,276.137%,-,-,-86.030%,1498.032%,Upgrade,Financials in CHF,Fiscal year is January - December
Cost of Revenue,"61,429,000","54,606,000","60,336,000","62,282,000","59,487,000","50,432,000",Upgrade,Financials in CHF,Fiscal year is January - December
Gross Profit,"-20,456,000","-39,805,000","-56,401,000","-62,282,000","-44,056,000","60,024,000",Upgrade,Financials in CHF,Fiscal year is January - December
"Selling, General & Admin","17,328,000","15,305,000","15,789,000","17,910,000","18,557,000","16,058,000",Upgrade,Financials in CHF,Fiscal year is January - December
Other Operating Expenses,"-483,000","-1,486,000","-1,343,000","-1,182,000","-1,353,000","-570,000",Upgrade,Financials in CHF,Fiscal year is January - December
Operating Expenses,"16,845,000","13,819,000","14,446,000","16,728,000","17,204,000","15,488,000",Upgrade,Financials in CHF,Fiscal year is January - December
Operating Income,"-37,301,000","-53,624,000","-70,847,000","-79,010,000","-61,260,000","44,536,000",Upgrade,Financials in CHF,Fiscal year is January - December
Interest Expense,"-129,000","-176,000","-355,000","-581,000","-184,000","-1,926,000",Upgrade,Financials in CHF,Fiscal year is January - December
Interest & Investment Income,"2,598,000","1,044,000","69,000","6,485,000","78,000","303,000",Upgrade,Financials in CHF,Fiscal year is January - December
Currency Exchange Gain (Loss),"-5,030,000","-1,467,000","393,000","113,000","-555,000","-2,013,000",Upgrade,Financials in CHF,Fiscal year is January - December
EBT Excluding Unusual Items,"-39,862,000","-54,223,000","-70,740,000","-72,993,000","-61,921,000","40,900,000",Upgrade,Financials in CHF,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"4,542,000",Upgrade,Financials in CHF,Fiscal year is January - December
Pretax Income,"-39,862,000","-54,223,000","-70,740,000","-72,993,000","-61,921,000","45,442,000",Upgrade,Financials in CHF,Fiscal year is January - December
Income Tax Expense,"1,000","10,000","13,000","3,000",-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Net Income,"-39,863,000","-54,233,000","-70,753,000","-72,996,000","-61,921,000","45,442,000",Upgrade,Financials in CHF,Fiscal year is January - December
Net Income to Common,"-39,863,000","-54,233,000","-70,753,000","-72,996,000","-61,921,000","45,442,000",Upgrade,Financials in CHF,Fiscal year is January - December
Shares Outstanding (Basic),"96,380,191","84,694,616","83,554,412","74,951,833","71,900,212","70,603,611",Upgrade,Financials in CHF,Fiscal year is January - December
Shares Outstanding (Diluted),"96,380,191","84,694,616","83,554,412","74,951,833","71,900,212","71,103,341",Upgrade,Financials in CHF,Fiscal year is January - December
Shares Change (YoY),14.861%,1.365%,11.477%,4.244%,1.121%,14.983%,Upgrade,Financials in CHF,Fiscal year is January - December
EPS (Basic),-0.414,-0.640,-0.847,-0.974,-0.861,0.644,Upgrade,Financials in CHF,Fiscal year is January - December
EPS (Diluted),-0.414,-0.640,-0.847,-0.974,-0.861,0.640,Upgrade,Financials in CHF,Fiscal year is January - December
Free Cash Flow,"43,065,000","-61,209,000","-74,807,000","-68,324,000","-61,223,000","53,335,000",Upgrade,Financials in CHF,Fiscal year is January - December
Free Cash Flow Per Share,0.447,-0.723,-0.895,-0.912,-0.851,0.750,Upgrade,Financials in CHF,Fiscal year is January - December
Gross Margin,-49.925%,-268.935%,-,-,-285.503%,54.342%,Upgrade,Financials in CHF,Fiscal year is January - December
Operating Margin,-91.038%,-362.300%,-1800.432%,-,-396.993%,40.320%,Upgrade,Financials in CHF,Fiscal year is January - December
Profit Margin,-97.291%,-366.414%,-1798.043%,-,-401.277%,41.140%,Upgrade,Financials in CHF,Fiscal year is January - December
Free Cash Flow Margin,105.106%,-413.546%,-1901.067%,-,-396.753%,48.286%,Upgrade,Financials in CHF,Fiscal year is January - December
EBITDA,"-35,758,000","-51,952,000","-69,054,000","-77,113,000","-59,725,000","45,810,000",Upgrade,Financials in CHF,Fiscal year is January - December
EBITDA Margin,-87.272%,-,-,-,-,41.474%,Upgrade,Financials in CHF,Fiscal year is January - December
D&A For EBITDA,"1,543,000","1,672,000","1,793,000","1,897,000","1,535,000","1,274,000",Upgrade,Financials in CHF,Fiscal year is January - December
EBIT,"-37,301,000","-53,624,000","-70,847,000","-79,010,000","-61,260,000","44,536,000",Upgrade,Financials in CHF,Fiscal year is January - December
EBIT Margin,-91.038%,-,-,-,-,40.320%,Upgrade,Financials in CHF,Fiscal year is January - December
Revenue as Reported,"40,973,000","14,801,000","3,935,000",-,"15,431,000","110,456,000",Upgrade,Financials in CHF,Fiscal year is January - December
