Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021",,
"Selling, General & Admin","6,276,000","6,412,000","6,195,000","5,575,000","5,870,000","4,999,000","4,635,000","4,083,000","1,633,000","1,848,000","1,144,000","1,217,000","455,000","397,500","397,500",Financials in USD,Fiscal year is January - December
Research & Development,"18,864,000","15,025,000","11,473,000","15,478,000","10,267,000","10,521,000","9,758,000","5,862,000","7,942,000","4,077,000","6,068,000","3,053,000","2,216,000","4,224,000","4,224,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"25,140,000","21,437,000","17,668,000","21,053,000","16,137,000","15,520,000","14,393,000","9,945,000","9,575,000","5,925,000","7,212,000","4,270,000","2,671,000","4,621,500","4,621,500",Financials in USD,Fiscal year is January - December
Operating Income,"-25,140,000","-21,437,000","-17,668,000","-21,053,000","-16,137,000","-15,520,000","-14,393,000","-9,945,000","-9,575,000","-5,925,000","-7,212,000","-4,270,000","-2,671,000","-4,621,500","-4,621,500",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,698,000","2,694,000","1,446,000",-,"1,768,000","1,770,000","1,807,000",-,-,"105,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,000","-55,000","-264,000","1,121,000","-97,000","-164,000","-170,000","500,000","377,000",-,"-8,000","-73,000","231,000","-108,500","-108,500",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-22,441,000","-18,798,000","-16,486,000","-19,932,000","-14,466,000","-13,914,000","-12,756,000","-9,445,000","-9,198,000","-5,820,000","-7,220,000","-4,343,000","-2,440,000","-4,730,000","-4,730,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"680,000",-,-,-,"516,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-22,441,000","-18,798,000","-16,486,000","-19,252,000","-14,466,000","-13,914,000","-12,756,000","-8,929,000","-9,198,000","-5,820,000","-7,220,000","-4,343,000","-2,440,000","-4,730,000","-4,730,000",Financials in USD,Fiscal year is January - December
Net Income,"-22,441,000","-18,798,000","-16,486,000","-19,252,000","-14,466,000","-13,914,000","-12,756,000","-8,929,000","-9,198,000","-5,820,000","-7,220,000","-4,343,000","-2,440,000","-4,730,000","-4,730,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-22,441,000","-18,798,000","-16,486,000","-19,252,000","-14,466,000","-13,914,000","-12,756,000","-8,929,000","-9,198,000","-5,820,000","-7,220,000","-4,343,000","-2,440,000","-4,730,000","-4,730,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"38,105,131","36,132,616","22,590,804","22,335,407","22,081,162","21,971,032","21,920,570","11,093,563","1,778,255","1,769,561","1,769,561","1,769,848","1,769,132","1,718,571","1,718,571",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"38,105,131","36,132,616","22,590,804","22,335,407","22,081,162","21,971,032","21,920,570","11,093,563","1,778,255","1,769,561","1,769,561","1,769,848","1,769,132","1,718,571","1,718,571",Financials in USD,Fiscal year is January - December
Shares Change (YoY),72.569%,64.456%,3.058%,101.337%,1141.732%,1141.609%,1138.758%,526.809%,0.516%,2.967%,2.967%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.589,-0.520,-0.730,-0.862,-0.655,-0.633,-0.582,-0.805,-5.172,-3.289,-4.080,-2.454,-1.379,-2.752,-2.752,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.589,-0.520,-0.730,-0.862,-0.655,-0.633,-0.582,-0.805,-5.172,-3.289,-4.080,-2.454,-1.379,-2.752,-2.752,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-18,312,000","-14,040,000","-17,898,000","-13,517,000","-9,806,000","-9,224,000","-11,382,000","-9,605,000","-6,947,000","-6,898,000","-8,833,000","-3,764,000","-2,314,000","-4,071,000","-4,071,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.481,-0.389,-0.792,-0.605,-0.444,-0.420,-0.519,-0.866,-3.907,-3.898,-4.992,-2.127,-1.308,-2.369,-2.369,Financials in USD,Fiscal year is January - December
EBITDA,"-24,889,000","-21,209,000","-17,444,000","-20,904,000","-16,004,000","-15,391,000","-14,268,000","-9,820,000","-9,459,000","-5,847,000","-7,167,000","-4,257,000","-2,662,000","-4,614,000","-4,614,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"251,000","228,000","224,000","149,000","133,000","129,000","125,000","125,000","116,000","78,000","45,000","13,000","9,000","7,500","7,500",Financials in USD,Fiscal year is January - December
EBIT,"-25,140,000","-21,437,000","-17,668,000","-21,053,000","-16,137,000","-15,520,000","-14,393,000","-9,945,000","-9,575,000","-5,925,000","-7,212,000","-4,270,000","-2,671,000","-4,621,500","-4,621,500",Financials in USD,Fiscal year is January - December
