Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","9,914,482","8,534,171","7,338,505","10,784,023","2,397,059","2,421,165",Financials in USD,Fiscal year is January - December
Research & Development,"6,521,420","6,043,597","4,754,271","2,030,177","2,202,979","3,510,088",Financials in USD,Fiscal year is January - December
Operating Expenses,"16,435,902","14,577,768","12,092,776","12,814,200","4,600,038","5,931,253",Financials in USD,Fiscal year is January - December
Operating Income,"-16,435,902","-14,577,768","-12,092,776","-12,814,200","-4,600,038","-5,931,253",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-16,435,902","-14,577,768","-12,092,776","-12,814,200","-4,600,038","-5,931,253",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"66,503",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-16,435,902","-14,577,768","-12,092,776","-12,747,697","-4,600,038","-5,931,253",Financials in USD,Fiscal year is January - December
Net Income,"-16,435,902","-14,577,768","-12,092,776","-12,747,697","-4,600,038","-5,931,253",Financials in USD,Fiscal year is January - December
Net Income to Common,"-16,435,902","-14,577,768","-12,092,776","-12,747,697","-4,600,038","-5,931,253",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"15,390,903","12,671,572","10,816,412","8,535,873","6,190,875","4,751,536",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"15,390,903","12,671,572","10,816,412","8,535,873","6,190,875","4,751,536",Financials in USD,Fiscal year is January - December
Shares Change (YoY),27.048%,17.151%,26.717%,37.878%,30.292%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.068,-1.150,-1.118,-1.493,-0.743,-1.248,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.068,-1.150,-1.118,-1.493,-0.743,-1.248,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-12,330,811","-9,800,885","-7,542,290","-5,013,697","-3,351,558","-3,985,266",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.801,-0.773,-0.697,-0.587,-0.541,-0.839,Financials in USD,Fiscal year is January - December
EBIT,"-16,435,902","-14,577,768","-12,092,776","-12,814,200","-4,600,038","-5,931,253",Financials in USD,Fiscal year is January - December
