Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,"155,000","154,000","155,000","413,000","1,962,000","1,390,000","4,510,000","11,158,000","14,888,000","7,301,000","8,006,000","10,338,000","8,662,000","9,707,000","11,659,000","9,746,000","10,545,000","2,934,000","5,135,000","3,927,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Revenue,"9,000","56,000","177,000","4,518,000","-6,000","717,000","410,000","676,000","118,000","240,000","284,000","475,000","231,000","332,000","147,000","367,000","102,000","85,000","-57,000","-293,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue,"164,000","210,000","332,000","4,931,000","1,956,000","2,107,000","4,920,000","11,834,000","15,006,000","7,541,000","8,290,000","10,813,000","8,893,000","10,039,000","11,806,000","10,113,000","10,647,000","3,019,000","5,078,000","3,634,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),-91.616%,-90.033%,-93.252%,-58.332%,-86.965%,-72.059%,-40.651%,9.442%,68.739%,-24.883%,-29.781%,6.922%,-16.474%,232.527%,132.493%,178.288%,394.749%,-28.205%,-55.608%,-84.038%,Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"164,000","210,000","332,000","4,931,000","1,956,000","2,107,000","4,920,000","11,834,000","15,006,000","7,541,000","8,290,000","10,813,000","8,893,000","10,039,000","11,806,000","10,113,000","10,647,000","3,019,000","5,078,000","3,634,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","4,311,000","4,036,000","4,376,000","7,268,000","5,381,000","6,276,000","6,850,000","8,566,000","8,089,000","8,374,000","7,045,000","7,452,000","6,841,000","5,439,000","4,486,000","4,129,000","3,455,000","2,606,000","3,525,000","2,700,000",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,"10,136,000","11,727,000","11,835,000","16,522,000","21,498,000","25,273,000","29,531,000","32,005,000","26,126,000","20,829,000","18,379,000","27,662,000","20,621,000","21,800,000","11,405,000","16,742,000","10,101,000","11,697,000","11,449,000","12,538,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"14,447,000","15,763,000","16,211,000","23,790,000","26,879,000","31,549,000","36,381,000","40,571,000","34,215,000","29,203,000","25,424,000","35,114,000","27,462,000","27,239,000","15,891,000","20,871,000","13,556,000","14,303,000","14,974,000","15,238,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-14,283,000","-15,553,000","-15,879,000","-18,859,000","-24,923,000","-29,442,000","-31,461,000","-28,737,000","-19,209,000","-21,662,000","-17,134,000","-24,301,000","-18,569,000","-17,200,000","-4,085,000","-10,758,000","-2,909,000","-11,284,000","-9,896,000","-11,604,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,"-267,000","-316,000","-363,000","-412,000","-447,000","-470,000","-477,000","-463,000","-408,000","-381,000","-378,000","-183,000","-223,000","-221,000","-73,000",-,"-45,000","-65,000","-64,000","-76,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"228,000","306,000","367,000","371,000","138,000",-,-,-,-,-,-,-,-,-,-,"265,000",-,-,-,"602,000",Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"-758,000","163,000","343,000","-376,000","353,000","121,000","-552,000","-3,092,000","3,009,000","2,653,000","915,000","1,539,000","1,809,000","-1,209,000","5,622,000","-4,086,000","-3,033,000","-1,022,000","1,576,000","-1,377,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"-58,000","-48,000","13,000","105,000","524,000","396,000","510,000","328,000","118,000","-19,000","-66,000","-143,000","-112,000","-122,000","-50,000","-231,000","21,000","71,000","95,000","-538,000",Upgrade,Financials in EUR,Fiscal year is January - December
