Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"8,964,000","8,615,000","8,189,000","7,103,000","7,399,000","6,712,000","5,609,000","4,310,000","3,516,000","5,582,000","832,000",-,-,-,-,-,-,-,-,"35,440,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),21.152%,28.352%,45.998%,64.803%,110.438%,20.244%,574.159%,-,-,-,-,-,-,-,-,-,-,-,-,18.082%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"73,238,000","78,896,000","69,247,000","78,075,000","82,474,000","70,003,000","67,855,000","70,711,000","65,483,000","74,958,000","70,462,000","73,299,000","64,000,000","62,007,000","57,667,000","-161,388,000","51,943,000","54,086,000","55,358,000","106,535,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-64,274,000","-70,281,000","-61,058,000","-70,972,000","-75,075,000","-63,291,000","-62,246,000","-66,401,000","-61,967,000","-69,376,000","-69,630,000","-73,299,000","-64,000,000","-62,007,000","-57,667,000","161,388,000","-51,943,000","-54,086,000","-55,358,000","-71,095,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","38,537,000","35,536,000","31,014,000","35,305,000","25,822,000","30,409,000","28,367,000","32,771,000","29,123,000","28,264,000","31,515,000","31,528,000","27,152,000","29,215,000","33,550,000","25,909,000","28,347,000","29,178,000","31,672,000","34,834,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"220,811,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"38,537,000","35,536,000","31,014,000","35,305,000","25,822,000","30,409,000","28,367,000","32,771,000","29,123,000","28,264,000","31,515,000","31,528,000","27,152,000","29,215,000","33,550,000","246,720,000","28,347,000","29,178,000","31,672,000","34,834,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-102,811,000","-105,817,000","-92,072,000","-106,277,000","-100,897,000","-93,700,000","-90,613,000","-99,172,000","-91,090,000","-97,640,000","-101,145,000","-104,827,000","-91,152,000","-91,222,000","-91,217,000","-85,332,000","-80,290,000","-83,264,000","-87,030,000","-105,929,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,"-92,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"13,059,000","8,120,000","8,889,000","8,624,000","8,375,000","8,254,000","8,091,000","6,488,000","3,818,000","1,793,000","694,000","332,000","256,000",-,"340,000","791,000","1,115,000","1,769,000","2,936,000","3,579,000",Upgrade,Financials in USD,Fiscal year is January - December
