Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"2,508,317","2,160,052","2,619,682","41,431","2,062",-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-6.243%,-17.545%,6223.000%,1909.263%,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,248,761","2,048,603","-649,877","43,022","61,729",-,Financials in USD,Fiscal year is January - December
Gross Profit,"259,556","111,449","3,269,559","-1,591","-59,667",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","5,462,560","5,629,091","19,847,625","2,568,082","1,357,295","702,411",Financials in USD,Fiscal year is January - December
Operating Expenses,"9,745,553","9,912,822","23,445,948","2,568,560","1,606,038","901,235",Financials in USD,Fiscal year is January - December
Operating Income,"-9,485,997","-9,801,373","-20,176,389","-2,570,151","-1,665,705","-901,235",Financials in USD,Fiscal year is January - December
Interest Expense,"-287,835","-255,656","-115,324","-10,509","-645,162","-493,807",Financials in USD,Fiscal year is January - December
Interest & Investment Income,44,39,886,90,"10,188",401,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-29,547","148,823","-256,431","106,813",-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"174,086","7,055",659,54,108,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-9,629,249","-9,901,112","-20,546,599","-2,473,703","-2,300,571","-1,394,641",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-250,000","-250,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-265,119","-264,655","-516,281",-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-170,120","-4,495",-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,"-24,665,564","-24,665,564",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"3,139,885","2,810,756","12,827,431",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-31,840,167","-32,275,070","-8,235,449","-2,473,703","-2,300,571","-1,394,641",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-31,840,167","-32,275,070","-8,235,449","-2,473,703","-2,300,571","-1,394,641",Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"2,760,089",-,"-3,422,225","-5,657,494",-,-,Financials in USD,Fiscal year is January - December
Net Income,"-29,080,078","-32,275,070","-11,657,674","-8,131,197","-2,300,571","-1,394,641",Financials in USD,Fiscal year is January - December
Net Income to Common,"-29,080,078","-32,275,070","-11,657,674","-8,131,197","-2,300,571","-1,394,641",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"267,175","56,316","37,413","20,280","16,412","16,412",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"267,175","56,316","37,413","20,280","16,412","16,412",Financials in USD,Fiscal year is January - December
Shares Change (YoY),483.046%,50.525%,84.482%,23.568%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-108.843,-573.107,-311.594,-400.947,-140.176,-84.977,Financials in USD,Fiscal year is January - December
EPS (Diluted),-108.843,-573.107,-311.594,-400.947,-144.000,-88.000,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-4,524,530","-1,502,076","-11,780,342","-7,133,534","-1,791,605","-1,312,625",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-16.935,-26.672,-314.873,-351.752,-109.164,-79.980,Financials in USD,Fiscal year is January - December
Gross Margin,10.348%,5.160%,124.807%,-3.840%,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-378.182%,-453.756%,-770.185%,-6203.449%,-80781.038%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-1159.346%,-1494.180%,-445.003%,-19625.877%,-111569.884%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-180.381%,-69.539%,-449.686%,-17217.866%,-86886.760%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-7,460,471","-5,730,591","-16,674,382","-2,530,907","-1,416,962","-702,411",Financials in USD,Fiscal year is January - December
EBITDA Margin,-297.429%,-265.299%,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,025,526","4,070,782","3,502,007","39,244","248,743","198,824",Financials in USD,Fiscal year is January - December
EBIT,"-9,485,997","-9,801,373","-20,176,389","-2,570,151","-1,665,705","-901,235",Financials in USD,Fiscal year is January - December
