Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
"Selling, General & Admin","9,197,000","11,356,000","13,527,000","8,080,681","9,160,770","8,223,700",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"8,245,000","5,450,000","9,561,000","9,133,455","8,820,204","8,739,420",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"17,442,000","16,806,000","23,088,000","17,214,136","17,980,974","16,963,120",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-17,442,000","-16,806,000","-23,088,000","-17,214,136","-17,980,974","-16,963,120",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-120,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"14,000","82,000","46,000","10,600","13,615","5,531",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"141,000","136,000","453,000","-193,219","350,939","-67,256",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,263,000","6,580,000","4,841,000","-27,482","534,803","178,642",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-16,144,000","-10,008,000","-17,748,000","-17,424,237","-17,081,617","-16,846,203",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-20,157,000","-10,008,000","-17,748,000","-17,424,237","-17,081,617","-16,846,203",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-20,157,000","-10,008,000","-17,748,000","-17,424,237","-17,081,617","-16,846,203",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-20,157,000","-10,008,000","-17,748,000","-17,424,237","-17,081,617","-16,846,203",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"8,191,680","4,894,490","3,121,731","2,146,056","1,579,519","915,499",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"8,191,680","4,894,490","3,121,731","2,146,056","1,579,519","915,499",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),76.179%,56.788%,45.464%,35.868%,72.531%,18.872%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.461,-2.045,-5.685,-8.119,-10.814,-18.401,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.461,-2.045,-5.685,-8.119,-20.000,-18.401,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-14,837,000","-16,432,000","-21,504,000","-18,846,528","-16,950,408","-12,918,313",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.811,-3.357,-6.888,-8.782,-10.731,-14.111,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-17,428,000","-16,802,000","-23,084,000","-17,210,010","-17,972,067","-16,943,915",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"14,000","4,000","4,000","4,126","8,907","19,205",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-17,442,000","-16,806,000","-23,088,000","-17,214,136","-17,980,974","-16,963,120",Upgrade,Financials in USD,Fiscal year is January - December
