Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2016,,
"Selling, General & Admin","40,167,000","45,148,000","57,348,000","75,147,000","51,524,000","29,560,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"118,921,000","150,908,000","265,081,000","196,328,000","105,533,000","61,858,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"159,088,000","196,056,000","322,429,000","271,475,000","157,057,000","91,418,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-159,088,000","-196,056,000","-322,429,000","-271,475,000","-157,057,000","-91,418,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"7,728,000","10,347,000","3,673,000","377,000","4,313,000","6,201,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-46,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"11,000","11,000","-1,168,000","-589,000","-736,000","-155,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-151,395,000","-185,698,000","-319,924,000","-271,687,000","-153,480,000","-85,372,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-3,000","-3,000","-28,000","-46,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"1,873,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-178,745,000","-185,701,000","-319,952,000","-269,860,000","-153,480,000","-85,372,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-178,745,000","-185,701,000","-319,952,000","-269,860,000","-153,480,000","-85,372,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-178,745,000","-185,701,000","-319,952,000","-269,860,000","-153,480,000","-85,372,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"88,322,000","86,798,000","63,284,000","53,832,000","49,492,000","45,191,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"88,322,000","86,798,000","63,284,000","53,832,000","49,492,000","45,191,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.391%,37.156%,17.558%,8.769%,9.517%,127.858%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.024,-2.139,-5.056,-5.013,-3.101,-1.889,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.024,-2.140,-5.060,-5.013,-3.101,-1.889,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-105,473,000","-117,072,000","-288,304,000","-241,074,000","-114,554,000","-63,782,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.194,-1.349,-4.556,-4.478,-2.315,-1.411,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-154,723,000","-189,915,000","-315,358,000","-269,165,000","-155,512,000","-89,910,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,365,000","6,141,000","7,071,000","2,310,000","1,545,000","1,508,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-159,088,000","-196,056,000","-322,429,000","-271,475,000","-157,057,000","-91,418,000",Upgrade,Financials in USD,Fiscal year is January - December
