Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+19 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+19 Quarters,,
Operating Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"282,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,166,664",-,"7,099,000",-,"2,100,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,166,664",-,"7,099,000",-,"2,382,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3186.574%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,170,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,166,664",-,"7,099,000",-,"-9,788,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,589,000","2,313,000","2,070,000","2,256,000","2,478,000","3,051,000","2,241,000","2,245,000","1,558,000","3,146,000","3,013,000","6,220,000","2,619,000","2,097,000","1,211,000","-2,701,773","11,767,000","11,328,000","15,966,000","10,803,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,021,000","1,063,000","2,170,000","2,623,000","1,948,000","1,105,000","1,427,000","929,000","3,137,000","1,832,000","1,289,000","9,522,000","1,355,000","2,279,000","1,251,000","4,218,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,"-5,000",-,-,-,-,-,"12,000","-133,000","-136,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
