Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023",,
"Selling, General & Admin","10,575,000","7,575,000","5,632,000","5,971,000","4,775,000","4,225,000",Financials in USD,Fiscal year is January - December
Research & Development,"87,824,000","48,565,000","41,961,000","37,788,000","32,848,000","32,435,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"98,399,000","56,140,000","47,593,000","43,759,000","37,623,000","36,660,000",Financials in USD,Fiscal year is January - December
Operating Income,"-98,399,000","-56,140,000","-47,593,000","-43,759,000","-37,623,000","-36,660,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,322,000","1,977,000","854,000","951,000","913,000","645,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-40,000","-2,345,000","-3,110,000","-569,000","421,000","-12,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-93,117,000","-56,508,000","-49,849,000","-43,377,000","-36,289,000","-36,027,000",Financials in USD,Fiscal year is January - December
Net Income,"-93,117,000","-56,508,000","-49,849,000","-43,377,000","-36,289,000","-36,027,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-93,117,000","-56,508,000","-49,849,000","-43,377,000","-36,289,000","-36,027,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"53,752,223","2,446,022","2,370,075","2,194,988","2,117,861","1,997,843",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"53,752,223","2,446,022","2,370,075","2,194,988","2,117,861","1,997,843",Financials in USD,Fiscal year is January - December
Shares Change (YoY),2438.043%,22.433%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.732,-23.102,-21.033,-19.762,-17.135,-18.033,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.732,-23.102,-21.033,-19.762,-17.135,-18.033,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-84,545,000","-52,718,000","-44,417,000","-35,415,000","-29,159,000","-34,963,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.573,-21.553,-18.741,-16.134,-13.768,-17.500,Financials in USD,Fiscal year is January - December
EBITDA,"-97,585,000","-55,380,000","-46,835,000","-43,441,000","-37,503,000","-36,540,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"814,000","760,000","758,000","318,000","120,000","120,000",Financials in USD,Fiscal year is January - December
EBIT,"-98,399,000","-56,140,000","-47,593,000","-43,759,000","-37,623,000","-36,660,000",Financials in USD,Fiscal year is January - December
