Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Cost of Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,853,000",-,-,-,-,-,"4,710,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,-,-,-,-,-,-,-,"-3,853,000",-,-,-,-,-,"-4,710,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,349,000","5,298,000","3,742,000","5,330,000","1,955,000","1,893,000","2,179,000","2,301,000","2,243,000","2,608,000","2,528,000","2,255,000","2,513,000","2,156,000","2,673,000","2,267,000","2,344,000","1,912,000","2,807,000","2,639,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"3,722,000","3,741,000","3,463,000","1,972,000","22,000","187,000","1,810,000","2,402,000","4,239,000","5,433,000","5,893,000","4,561,000","4,278,000",-,"4,316,000","1,925,000","2,684,000","2,488,000","4,069,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,071,000","9,039,000","7,205,000","7,302,000","1,977,000","2,080,000","3,989,000","4,703,000","6,482,000","8,041,000","8,421,000","6,816,000","6,791,000","2,156,000","6,989,000","4,192,000","5,028,000","4,400,000","6,876,000","2,639,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,071,000","-9,039,000","-7,205,000","-7,302,000","-1,977,000","-2,080,000","-3,989,000","-4,703,000","-6,482,000","-8,041,000","-8,421,000","-6,816,000","-6,791,000","-6,009,000","-6,989,000","-4,192,000","-5,028,000","-4,400,000","-6,876,000","-7,349,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,"-180,000",-,-,-,"-54,000",-,-,-,"-77,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,"278,000",-,-,-,-,"110,000","49,000","21,000",-,"21,000","19,000","14,000",-,"5,000","10,000","62,000","114,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"224,000","97,000","92,000","-379,000","156,000","205,000","232,000","336,000","4,000",-,"-22,000","71,000","66,000",-,-,"76,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,847,000","-8,942,000","-7,113,000","-7,403,000","-1,821,000","-1,875,000","-3,757,000","-4,547,000","-6,368,000","-7,992,000","-8,422,000","-6,799,000","-6,704,000","-5,990,000","-6,975,000","-4,193,000","-5,023,000","-4,390,000","-6,814,000","-7,235,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"12,000","-6,000","88,000","-1,022,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"52,000",-,-,-,-,-,-,-,-,-,-,-,"20,000",-,-,"66,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,"304,000",-,"-823,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,847,000","-8,942,000","-7,113,000","-7,339,000","-1,827,000","-1,787,000","-4,779,000","-4,547,000","-6,368,000","-7,992,000","-8,422,000","-6,799,000","-6,704,000","-5,686,000","-6,975,000","-4,996,000","-5,023,000","-4,390,000","-6,748,000","-7,235,000",Upgrade,Financials in USD,Fiscal year is January - December
