Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"527,000","655,000","1,213,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-59.305%,-36.531%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"479,000","596,000","1,103,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"48,000","59,000","110,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","6,096,000","6,872,000","6,045,000","6,239,000","7,509,000","7,295,000","7,440,000","7,022,000","7,299,000","7,041,000","7,674,000","7,578,000","6,362,000","5,086,000","4,359,000","5,683,000","4,481,000","3,172,000","1,473,000","1,108,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"26,471,000","34,653,000","31,717,000","41,784,000","45,766,000","29,482,000","24,763,000","25,197,000","29,382,000","26,748,000","17,073,000","20,894,000","18,214,000","11,213,000","9,849,000","12,142,000","5,328,000","7,663,000","3,828,000","6,735,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"32,567,000","41,525,000","37,762,000","48,023,000","53,275,000","36,777,000","32,203,000","32,219,000","36,681,000","33,789,000","24,747,000","28,472,000","24,576,000","16,299,000","14,208,000","17,825,000","9,809,000","10,835,000","5,301,000","7,843,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-32,567,000","-41,525,000","-37,762,000","-48,023,000","-53,275,000","-36,777,000","-32,203,000","-32,219,000","-36,681,000","-33,789,000","-24,747,000","-28,472,000","-24,576,000","-16,299,000","-14,208,000","-17,825,000","-9,809,000","-10,787,000","-5,242,000","-7,733,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-446,000","-429,000","-427,000","-415,000","-391,000","-372,000","-387,000","-231,000","-2,000","-2,000","-3,000",-,"-3,000","-3,000","-1,000","-151,000","-226,000","-219,000","-215,000","-21,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,303,000","2,563,000","2,622,000","2,995,000","2,677,000","2,666,000","2,311,000","1,807,000","1,370,000","876,000","225,000","31,000","22,000","23,000","25,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"3,000","-8,000","-14,000","-29,000","-1,000","324,000","95,000","-2,000","-7,000","-5,000","-8,000","-18,000","-9,000","5,000","-1,000","5,000","-111,000","-305,000","7,000","-1,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-30,707,000","-39,399,000","-35,581,000","-45,472,000","-50,990,000","-34,159,000","-30,184,000","-30,645,000","-35,320,000","-32,920,000","-24,533,000","-28,459,000","-24,566,000","-16,274,000","-14,185,000","-17,971,000","-10,146,000","-11,311,000","-5,450,000","-7,755,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-621,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-30,707,000","-39,399,000","-35,581,000","-45,472,000","-50,990,000","-34,159,000","-30,184,000","-30,645,000","-35,320,000","-32,920,000","-24,533,000","-28,459,000","-24,566,000","-16,274,000","-14,185,000","-18,592,000","-10,146,000","-11,311,000","-5,450,000","-7,755,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,"64,000",-,-,-,"-21,000",-,-,-,"182,000","35,000","20,000","4,000","9,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-30,707,000","-39,399,000","-35,581,000","-45,472,000","-50,990,000","-34,159,000","-30,184,000","-30,709,000","-35,320,000","-32,920,000","-24,533,000","-28,438,000","-24,566,000","-16,274,000","-14,185,000","-18,774,000","-10,181,000","-11,331,000","-5,454,000","-7,764,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"578,000","2,641,000","1,983,000","1,071,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-30,707,000","-39,399,000","-35,581,000","-45,472,000","-50,990,000","-34,159,000","-30,184,000","-30,709,000","-35,320,000","-32,920,000","-24,533,000","-28,438,000","-24,566,000","-16,274,000","-14,185,000","-18,774,000","-10,759,000","-13,972,000","-7,437,000","-8,835,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"52,693,878","51,831,157","50,120,758","48,995,998","41,147,938","40,875,457","40,862,513","40,755,520","40,747,026","40,687,751","40,616,302","40,527,314","40,396,188","40,247,110","40,055,435","37,782,744","29,664,122","3,164,707","3,143,159","3,122,598",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"52,693,878","51,831,157","50,120,758","48,995,998","41,147,938","40,875,457","40,862,513","40,755,520","40,747,026","40,687,751","40,616,302","40,527,314","40,396,188","40,247,110","40,055,435","37,782,744","29,664,122","3,164,707","3,143,159","3,122,598",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),28.060%,26.803%,22.657%,20.219%,0.984%,0.461%,0.606%,0.563%,0.868%,1.095%,1.400%,7.264%,36.179%,1171.748%,1174.369%,1109.978%,856.739%,2.505%,4.731%,-,Upgrade,Financials in USD,Fiscal year is January - December
