Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+14 Quarters,Currency,Fiscal_Year_period
Period Ending,"Oct '24 Oct 31, 2024","Jul '24 Jul 31, 2024","Apr '24 Apr 30, 2024","Jan '24 Jan 31, 2024","Oct '23 Oct 31, 2023","Jul '23 Jul 31, 2023","Apr '23 Apr 30, 2023","Jan '23 Jan 31, 2023","Oct '22 Oct 31, 2022","Jul '22 Jul 31, 2022","Apr '22 Apr 30, 2022","Jan '22 Jan 31, 2022","Oct '21 Oct 31, 2021","Jul '21 Jul 31, 2021","Apr '21 Apr 30, 2021","Jan '21 Jan 31, 2021","Oct '20 Oct 31, 2020","Jul '20 Jul 31, 2020","Apr '20 Apr 30, 2020","Jan '20 Jan 31, 2020",+14 Quarters,,
"Selling, General & Admin","1,046,980","755,834","666,634","751,173","904,939","1,159,794","1,656,941","2,534,665","1,573,418","1,659,589","2,211,593","1,682,913","1,833,884","1,389,831","927,281","881,397","823,033","1,009,461","1,016,503","846,415",Upgrade,Financials in USD,Fiscal year is May - April
Research & Development,"311,088","206,571","183,430","1,908,757","1,996,783","2,366,137","1,648,068","2,888,847","1,532,985","1,375,953","1,661,203","873,653","1,750,050","916,408","292,695","234,262","474,913","308,846","242,776","426,726",Upgrade,Financials in USD,Fiscal year is May - April
Operating Expenses,"1,358,068","962,405","850,064","2,659,930","2,901,722","3,525,931","3,305,009","5,423,512","3,106,403","3,035,542","3,872,796","2,556,566","3,583,934","2,306,239","1,219,976","1,115,659","1,297,946","1,318,307","1,259,279","1,273,141",Upgrade,Financials in USD,Fiscal year is May - April
Operating Income,"-1,358,068","-962,405","-850,064","-2,659,930","-2,901,722","-3,525,931","-3,305,009","-5,423,512","-3,106,403","-3,035,542","-3,872,796","-2,556,566","-3,583,934","-2,306,239","-1,219,976","-1,115,659","-1,297,946","-1,318,307","-1,259,279","-1,273,141",Upgrade,Financials in USD,Fiscal year is May - April
Interest Expense,"-3,495","-12,006","-1,465","-2,488","-4,311","-1,835",-519,"-2,062","-3,588","-1,532",-602,"-16,299","-15,995","-13,628","-36,857","-65,643","-56,151",-151,-,-,Upgrade,Financials in USD,Fiscal year is May - April
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,706","2,489","2,543",Upgrade,Financials in USD,Fiscal year is May - April
EBT Excluding Unusual Items,"-1,361,563","-974,411","-851,529","-2,662,418","-2,906,033","-3,527,766","-3,305,528","-5,425,574","-3,109,991","-3,037,074","-3,873,398","-2,572,865","-3,599,929","-2,319,867","-1,256,833","-1,181,302","-1,354,097","-1,316,752","-1,256,790","-1,270,598",Upgrade,Financials in USD,Fiscal year is May - April
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,"4,000",-,-,-,-,"62,418",-,-,-,-,Upgrade,Financials in USD,Fiscal year is May - April
Pretax Income,"-1,361,563","-974,411","-851,529","-2,662,418","-2,906,033","-3,527,766","-3,305,528","-5,425,574","-3,109,991","-3,037,074","-3,869,398","-2,572,865","-3,599,929","-2,319,867","-1,256,833","-1,118,884","-1,354,097","-1,316,752","-1,256,790","-1,270,598",Upgrade,Financials in USD,Fiscal year is May - April
Net Income,"-1,361,563","-974,411","-851,529","-2,662,418","-2,906,033","-3,527,766","-3,305,528","-5,425,574","-3,109,991","-3,037,074","-3,869,398","-2,572,865","-3,599,929","-2,319,867","-1,256,833","-1,118,884","-1,354,097","-1,316,752","-1,256,790","-1,270,598",Upgrade,Financials in USD,Fiscal year is May - April
Preferred Dividends & Other Adjustments,"53,651",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is May - April
