Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"2,680,420,000","2,393,607,000","2,212,304,000","2,093,669,000","1,992,523,000","1,626,373,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),12.321%,8.195%,5.666%,5.076%,22.513%,-2.202%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,701,367,000","1,529,738,000","1,420,843,000","1,309,720,000","1,340,206,000","1,161,452,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"979,053,000","863,869,000","791,461,000","783,949,000","652,317,000","464,921,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","456,752,000","429,675,000","399,700,000","365,504,000","326,727,000","289,598,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"182,535,000","163,950,000","195,688,000","201,847,000","179,930,000","188,049,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,"-1,138,000","-3,960,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"639,287,000","592,487,000","591,428,000","567,351,000","506,657,000","477,647,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"339,766,000","271,382,000","200,033,000","216,598,000","145,660,000","-12,726,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-256,481,000","-210,629,000","-158,377,000","-136,325,000","-145,998,000","-168,205,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"3,103,000","1,671,000","-12,364,000","-355,000","16,350,000","-4,962,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-12,938,000","5,119,000","17,833,000","15,330,000","2,590,000","194,349,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"73,450,000","67,543,000","47,125,000","95,248,000","18,602,000","8,456,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-1,976,000","-1,749,000","-2,130,000","-9,912,000","-11,386,000","-39,968,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-3,760,000",-,-,-,"123,000","7,258,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-36,132,000","-36,132,000","-11,111,000","-22,692,000","-34,579,000","-126,162,000",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,"-97,772,000","-1,824,000","-269,930,000","-25,000,000","-5,860,000","-12,442,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-26,165,000","-37,308,000","-1,022,000","-10,568,000",-,"-10,765,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-123,155,000","-40,270,000","-248,127,000","31,366,000","-35,780,000","-220,242,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"23,323,000","8,452,000","6,662,000","11,196,000","-104,358,000","383,331,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-146,478,000","-48,722,000","-254,789,000","20,170,000","68,578,000","-603,573,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-37,976,000","-35,271,000","124,803,000","-9,546,000","22,481,000","241,656,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-184,454,000","-83,993,000","-129,986,000","10,624,000","91,059,000","-361,917,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-184,454,000","-83,993,000","-129,986,000","10,624,000","91,059,000","-361,917,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-88.333%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"292,627,500","176,136,000","150,944,000","148,922,000","147,443,000","132,106,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"292,627,500","176,136,000","150,944,000","151,821,000","148,913,000","132,106,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),88.691%,16.690%,-0.578%,1.953%,12.722%,3.814%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.630,-0.477,-0.861,0.071,0.618,-2.740,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.632,-0.480,-0.861,0.070,0.610,-2.740,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-88.525%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"263,176,000","298,776,000","16,305,000","190,881,000","317,165,000","-45,476,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.899,1.696,0.108,1.257,2.130,-0.344,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,36.526%,36.091%,35.775%,37.444%,32.738%,28.586%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,12.676%,11.338%,9.042%,10.345%,7.310%,-0.782%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-6.882%,-3.509%,-5.876%,0.507%,4.570%,-22.253%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,9.818%,12.482%,0.737%,9.117%,15.918%,-2.796%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"566,760,000","500,782,000","440,208,000","450,004,000","381,047,000","230,902,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,21.144%,20.922%,19.898%,21.494%,19.124%,14.197%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"226,994,000","229,400,000","240,175,000","233,406,000","235,387,000","243,628,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"339,766,000","271,382,000","200,033,000","216,598,000","145,660,000","-12,726,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,12.676%,11.338%,9.042%,10.345%,7.310%,-0.782%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,35.695%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
