Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
"Selling, General & Admin","9,337,000","8,554,000","7,609,000","6,742,000","6,888,000","7,440,000","8,897,000","8,160,000","8,207,000","8,303,000","8,428,000","10,241,000","8,099,000","6,801,000","5,506,000","5,199,000","3,810,000","2,950,000","2,239,000","2,334,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"30,105,000","25,026,000","20,963,000","23,267,000","27,893,000","30,251,000","32,345,000","28,535,000","27,862,000","29,106,000","26,998,000","27,217,000","27,581,000","24,572,000","20,696,000","17,992,000","11,775,000","9,287,000","10,217,000","6,795,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"39,442,000","33,580,000","28,572,000","30,009,000","34,781,000","37,691,000","41,242,000","36,695,000","36,069,000","37,409,000","35,426,000","37,458,000","35,680,000","31,373,000","26,202,000","23,191,000","15,585,000","12,237,000","12,456,000","9,129,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-39,442,000","-33,580,000","-28,572,000","-30,009,000","-34,781,000","-37,691,000","-41,242,000","-36,695,000","-36,069,000","-37,409,000","-35,426,000","-37,458,000","-35,680,000","-31,373,000","-26,202,000","-23,191,000","-15,585,000","-12,237,000","-12,456,000","-9,129,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-7,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,618,000","3,970,000","3,396,000","2,118,000","2,299,000","2,503,000","2,566,000","2,312,000","1,015,000","272,000","53,000","87,000","82,000","79,000","142,000",-,-,"1,000","115,000","188,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-52,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-34,824,000","-29,610,000","-25,176,000","-27,891,000","-32,482,000","-35,188,000","-38,676,000","-34,383,000","-35,054,000","-37,137,000","-35,373,000","-37,371,000","-35,598,000","-31,294,000","-26,060,000","-23,198,000","-15,637,000","-12,236,000","-12,341,000","-8,941,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-34,824,000","-29,610,000","-25,176,000","-27,891,000","-32,482,000","-35,188,000","-38,676,000","-34,383,000","-35,054,000","-37,137,000","-35,373,000","-37,371,000","-35,598,000","-31,294,000","-26,060,000","-23,198,000","-15,637,000","-12,236,000","-12,341,000","-8,941,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-5,000","1,000","4,000",-,"1,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-34,824,000","-29,610,000","-25,176,000","-27,891,000","-32,482,000","-35,188,000","-38,676,000","-34,383,000","-35,054,000","-37,137,000","-35,373,000","-37,371,000","-35,598,000","-31,294,000","-26,060,000","-23,193,000","-15,638,000","-12,240,000","-12,341,000","-8,942,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,364,000","281,000","279,000","280,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-34,824,000","-29,610,000","-25,176,000","-27,891,000","-32,482,000","-35,188,000","-38,676,000","-34,383,000","-35,054,000","-37,137,000","-35,373,000","-37,371,000","-35,598,000","-31,294,000","-26,060,000","-23,193,000","-22,002,000","-12,521,000","-12,620,000","-9,222,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"139,933,019","130,132,960","122,673,202","78,217,945","75,342,495","75,230,003","73,855,642","72,368,539","68,652,859","38,584,400","38,563,384","38,479,221","38,341,110","38,277,950","38,163,062","38,157,618","28,465,156","433,749","433,749","433,754",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"139,933,019","130,132,960","122,673,202","78,217,945","75,342,495","75,230,003","73,855,642","72,368,539","68,652,859","38,584,400","38,563,384","38,479,221","38,341,110","38,277,950","38,163,062","38,157,618","28,465,156","433,749","433,749","433,754",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),85.729%,72.980%,66.099%,8.083%,9.744%,94.975%,91.518%,88.072%,79.058%,0.801%,1.049%,0.843%,34.695%,8724.908%,8698.421%,8697.064%,6462.587%,-,0.245%,0.264%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.249,-0.228,-0.205,-0.357,-0.431,-0.468,-0.524,-0.475,-0.511,-0.962,-0.917,-0.971,-0.928,-0.818,-0.683,-0.608,-0.773,-28.867,-29.095,-21.261,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.249,-0.228,-0.205,-0.357,-0.431,-0.468,-0.524,-0.475,-0.511,-0.962,-0.917,-0.971,-0.928,-0.820,-0.683,-0.608,-0.773,-28.867,-29.095,-21.261,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-32,024,000","-21,709,000","-28,267,000","-23,484,000","-28,310,000","-36,411,000","-33,130,000","-27,421,000","-30,887,000","-29,025,000","-35,502,000","-29,176,000","-30,482,000","-24,634,000","-23,472,000","-19,428,000","-13,860,000","-10,262,000","-10,001,000","-8,888,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.229,-0.167,-0.230,-0.300,-0.376,-0.484,-0.449,-0.379,-0.450,-0.752,-0.921,-0.758,-0.795,-0.644,-0.615,-0.509,-0.487,-23.659,-23.057,-20.491,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-38,904,000","-33,043,000","-28,034,000","-29,471,000","-34,243,000","-37,155,000","-40,706,000","-36,165,000","-35,551,000","-36,869,000","-34,908,000","-36,952,000","-35,121,000","-30,835,000","-25,664,000","-22,915,000","-15,456,000","-12,106,000","-12,325,000","-9,000,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"538,000","537,000","538,000","538,000","538,000","536,000","536,000","530,000","518,000","540,000","518,000","506,000","559,000","538,000","538,000","276,000","129,000","131,000","131,000","129,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-39,442,000","-33,580,000","-28,572,000","-30,009,000","-34,781,000","-37,691,000","-41,242,000","-36,695,000","-36,069,000","-37,409,000","-35,426,000","-37,458,000","-35,680,000","-31,373,000","-26,202,000","-23,191,000","-15,585,000","-12,237,000","-12,456,000","-9,129,000",Upgrade,Financials in USD,Fiscal year is January - December
