Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","14,752,000","14,764,000","12,751,000","4,668,000","1,265,000","1,734,000",Financials in USD,Fiscal year is January - December
Research & Development,"50,010,000","54,871,000","29,511,000","16,906,000","6,019,000","29,334,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"64,762,000","69,635,000","42,262,000","21,574,000","7,284,000","31,068,000",Financials in USD,Fiscal year is January - December
Operating Income,"-64,762,000","-69,635,000","-42,262,000","-21,574,000","-7,284,000","-31,068,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,"69,000","3,000",-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"-38,000",-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"6,308,000","4,903,000","1,306,000",-,"-6,322,000","-2,742,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-60,697,000","-64,732,000","-40,956,000","-21,543,000","-13,603,000","-33,810,000",Financials in USD,Fiscal year is January - December
Net Income,"-60,697,000","-64,732,000","-40,956,000","-21,543,000","-13,603,000","-33,810,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,"1,820,000","6,515,000","981,000","594,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-60,697,000","-64,732,000","-42,776,000","-28,058,000","-14,584,000","-34,404,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"29,808,084","23,600,107","15,340,134","2,638,197","2,568,648","2,552,936",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"29,808,084","23,600,107","15,340,134","2,638,197","2,568,648","2,552,936",Financials in USD,Fiscal year is January - December
Shares Change (YoY),41.952%,53.846%,481.463%,2.708%,0.615%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.036,-2.743,-2.789,-10.635,-5.678,-13.476,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.036,-2.743,-2.789,-10.635,-5.678,-13.476,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-61,052,000","-53,288,000","-33,462,000","-20,484,000","-5,364,000","-14,916,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.048,-2.258,-2.181,-7.764,-2.088,-5.843,Financials in USD,Fiscal year is January - December
EBIT,"-64,762,000","-69,635,000","-42,262,000","-21,574,000","-7,284,000","-31,068,000",Financials in USD,Fiscal year is January - December
