Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
"Selling, General & Admin","6,500,783","6,244,408","8,995,736","6,058,190","3,586,196","829,366",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"23,901,597","38,790,603","16,515,543","8,479,031","3,054,025","776,256",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"30,402,380","45,035,011","25,511,279","14,537,221","6,640,221","1,605,622",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-30,402,380","-45,035,011","-25,511,279","-14,537,221","-6,640,221","-1,605,622",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,"-40,933",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"271,706","667,898","182,712","13,335","47,225",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-10,808,436","-11,837,200",-,"36,754","1,130,949","655,575",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-40,939,110","-56,204,313","-25,328,567","-14,487,132","-5,462,047","-990,980",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-40,939,110","-56,204,313","-25,328,567","-14,487,132","-5,462,047","-990,980",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-40,939,110","-56,204,313","-25,328,567","-14,487,132","-5,462,047","-990,980",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"11,027,296","9,023,138","8,162,326","7,626,278","6,308,961","282,614",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"11,027,296","9,023,138","8,162,326","7,626,278","6,308,961","282,614",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),28.480%,10.546%,7.029%,20.880%,2132.360%,1.812%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.713,-6.229,-3.103,-1.900,-0.866,-3.506,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.973,-6.229,-3.103,-1.900,-0.870,-3.506,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-22,974,234","-39,967,304","-17,312,934","-9,132,159","-3,970,823","-476,542",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.083,-4.429,-2.121,-1.197,-0.629,-1.686,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-30,402,380","-45,035,011","-25,511,279","-14,537,221","-6,640,221","-1,605,622",Upgrade,Financials in USD,Fiscal year is January - December
