Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
"Selling, General & Admin","1,698,050","1,977,421","1,294,887","1,537,595","1,025,621","1,497,533","2,183,660","1,591,919","2,361,299","1,938,447","3,104,071","3,035,946","1,472,969","709,648","839,627","497,470","884,859","1,687,151","516,716","108,780",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,689,561","5,785,217","6,514,920","8,904,729","13,837,650","8,262,167","7,786,056","6,208,401","4,123,538","4,033,963","2,149,641","2,884,145","1,380,801","1,824,502","2,389,583","1,412,203","718,898","856,478","66,446","762,182",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,387,611","7,762,638","7,809,807","10,442,324","14,863,271","9,759,700","9,969,716","7,800,320","6,484,837","5,972,410","5,253,712","5,920,091","2,853,770","2,534,150","3,229,210","1,909,673","1,603,757","2,543,629","583,162","870,962",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-4,387,611","-7,762,638","-7,809,807","-10,442,324","-14,863,271","-9,759,700","-9,969,716","-7,800,320","-6,484,837","-5,972,410","-5,253,712","-5,920,091","-2,853,770","-2,534,150","-3,229,210","-1,909,673","-1,603,757","-2,543,629","-583,162","-870,962",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-12,369",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"135,430","25,978","44,168","66,130","146,655","222,578","232,535","74,153","52,886","36,024","19,649","5,450","5,554","2,134",197,213,"10,500","25,878","10,634",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-8,386,176","2,716,248","6,698,692","-11,837,200",-,-,-,-,-,-,-,-,-,"7,414","29,340","204,847","586,903","208,261","130,938","682,075",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-12,638,357","-5,020,412","-1,066,947","-22,213,394","-14,716,616","-9,537,122","-9,737,181","-7,726,167","-6,431,951","-5,936,386","-5,234,063","-5,914,641","-2,848,216","-2,524,602","-3,199,673","-1,704,613","-1,006,354","-2,309,490","-441,590","-201,256",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-12,638,357","-5,020,412","-1,066,947","-22,213,394","-14,716,616","-9,537,122","-9,737,181","-7,726,167","-6,431,951","-5,936,386","-5,234,063","-5,914,641","-2,848,216","-2,524,602","-3,199,673","-1,704,613","-1,006,354","-2,309,490","-441,590","-201,256",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-12,638,357","-5,020,412","-1,066,947","-22,213,394","-14,716,616","-9,537,122","-9,737,181","-7,726,167","-6,431,951","-5,936,386","-5,234,063","-5,914,641","-2,848,216","-2,524,602","-3,199,673","-1,704,613","-1,006,354","-2,309,490","-441,590","-201,256",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"12,975,808","11,307,759","10,625,065","9,924,998","9,012,273","8,951,309","8,194,990","8,163,943","8,163,923","8,163,923","8,157,445","8,105,783","8,099,103","7,366,654","6,920,622","6,895,644","6,871,554","6,860,847","4,599,469","282,614",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"12,975,808","11,307,759","10,824,771","9,924,998","9,012,273","8,951,309","8,194,990","8,163,943","8,163,923","8,163,923","8,157,445","8,105,783","8,099,103","7,366,654","6,920,622","6,895,644","6,871,554","6,860,847","4,599,469","282,614",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),43.979%,26.325%,32.090%,21.571%,10.391%,9.645%,0.460%,0.718%,0.800%,10.823%,17.872%,17.549%,17.864%,7.372%,50.466%,2339.951%,2331.427%,2327.639%,1527.474%,-0.020%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.974,-0.444,-0.100,-2.238,-1.633,-1.065,-1.188,-0.946,-0.788,-0.727,-0.642,-0.730,-0.352,-0.343,-0.462,-0.247,-0.146,-0.337,-0.096,-0.712,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.974,-0.444,-0.717,-2.238,-1.633,-1.070,-1.190,-0.946,-0.788,-0.727,-0.642,-0.730,-0.352,-0.343,-0.462,-0.251,-0.146,-0.337,-0.096,-0.712,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,201,321","-3,375,185","-7,032,752","-9,364,976","-9,369,687","-9,606,328","-11,626,313","-3,609,398","-3,987,160","-6,694,587","-3,021,789","-1,769,320","-1,743,408","-3,144,563","-2,474,868","-765,949","-922,663","-1,311,806","-970,405","-52,528",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.247,-0.298,-0.650,-0.944,-1.040,-1.073,-1.419,-0.442,-0.488,-0.820,-0.370,-0.218,-0.215,-0.427,-0.358,-0.111,-0.134,-0.191,-0.211,-0.186,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-4,387,611","-7,762,638","-7,809,807","-10,442,324","-14,863,271","-9,759,700","-9,969,716","-7,800,320","-6,484,837","-5,972,410","-5,253,712","-5,920,091","-2,853,770","-2,534,150","-3,229,210","-1,909,673","-1,603,757","-2,543,629","-583,162","-870,962",Upgrade,Financials in USD,Fiscal year is January - December
