Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021",,
Other Revenue,"1,768,000","333,000","488,000","-272,000","595,000","-53,000","55,000",Financials in USD,Fiscal year is January - December
Revenue,"1,768,000","333,000","488,000","-272,000","595,000","-53,000","55,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),262.295%,-,-17.983%,-,981.818%,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"1,768,000","333,000","488,000","-272,000","595,000","-53,000","55,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","10,153,000","10,989,000","9,652,000","4,850,000","5,097,000","8,239,000","7,052,000",Financials in USD,Fiscal year is January - December
Research & Development,"16,926,000","17,675,000","16,518,000","17,458,000","17,999,000","17,132,000","18,436,000",Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,"-464,000",-,"-1,016,000",-,"-587,000",-,Financials in USD,Fiscal year is January - December
Operating Expenses,"27,079,000","28,200,000","26,170,000","21,292,000","23,096,000","24,784,000","25,488,000",Financials in USD,Fiscal year is January - December
Operating Income,"-25,311,000","-27,867,000","-25,682,000","-21,564,000","-22,501,000","-24,837,000","-25,433,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-134,000","-90,000","-60,000","-49,000","-44,000","-44,000","-39,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"167,000","380,000","373,000","238,000","193,000","200,000","267,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-2,000","3,295,000","-2,104,000","-104,000","-725,000","103,000","-67,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-90,000","1,454,000","-123,887,000","-215,915,000","19,661,000","-735,000","-41,211,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-25,370,000","-22,828,000","-151,360,000","-237,394,000","-3,416,000","-25,313,000","-66,483,000",Financials in USD,Fiscal year is January - December
Asset Writedown,"-10,000,000",-,-,-,-,"-3,000,000",-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"164,000","921,000","676,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-35,206,000","-21,907,000","-150,684,000","-237,394,000","-3,416,000","-28,313,000","-66,483,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"10,000",-,"1,000","1,000",-,Financials in USD,Fiscal year is January - December
Net Income,"-35,206,000","-21,907,000","-150,694,000","-237,394,000","-3,417,000","-28,314,000","-66,483,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-35,206,000","-21,907,000","-150,694,000","-237,394,000","-3,417,000","-28,314,000","-66,483,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"937,400","898,220","590,000","290,740","279,820","281,070","3,781,900",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"937,400","898,220","590,000","290,740","463,640","281,070","3,781,900",Financials in USD,Fiscal year is January - December
Shares Change (YoY),58.881%,208.943%,27.254%,3.440%,-87.741%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-37.557,-24.389,-255.414,-816.516,-12.211,-100.736,-17.579,Financials in USD,Fiscal year is January - December
EPS (Diluted),-38.000,-24.661,-255.414,-816.516,-68.212,-100.736,-18.000,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-16,012,000","-18,812,000","-24,403,000","-23,128,000","-20,063,000","-19,766,000","-23,596,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-17.081,-20.944,-41.361,-79.549,-43.273,-70.324,-6.239,Financials in USD,Fiscal year is January - December
Operating Margin,-1431.618%,-8368.468%,-5262.705%,-,-3781.681%,-,-46241.818%,Financials in USD,Fiscal year is January - December
Profit Margin,-1991.290%,-6578.679%,-30879.918%,-,-574.286%,-,-120878.182%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-905.656%,-5649.249%,-5000.615%,-,-3371.933%,-,-42901.818%,Financials in USD,Fiscal year is January - December
EBITDA,"-25,276,000","-27,824,000","-25,622,000","-21,461,000","-22,422,000","-24,758,000","-25,359,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"35,000","43,000","60,000","103,000","79,000","79,000","74,000",Financials in USD,Fiscal year is January - December
EBIT,"-25,311,000","-27,867,000","-25,682,000","-21,564,000","-22,501,000","-24,837,000","-25,433,000",Financials in USD,Fiscal year is January - December
