Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"196,830,000","199,685,000","172,325,000","146,377,000","110,399,000","94,969,000","44,846,000","22,663,000","22,056,000","16,322,000","14,381,000","60,290,000","5,650,000","623,000",-,"250,000,000","646,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),78.290%,110.263%,284.259%,545.885%,400.540%,481.847%,211.842%,-62.410%,290.372%,2519.904%,-,-75.884%,774.613%,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"122,126,000","101,047,000","104,910,000","89,194,000","101,831,000","104,037,000","117,836,000","102,348,000","96,588,000","101,743,000","92,192,000","-237,637,000","87,882,000","95,943,000","84,012,000","75,387,000","93,207,000","87,094,000","69,282,000","220,969,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"74,704,000","98,638,000","67,415,000","57,183,000","8,568,000","-9,068,000","-72,990,000","-79,685,000","-74,532,000","-85,421,000","-77,811,000","297,927,000","-82,232,000","-95,320,000","-84,012,000","174,613,000","-92,561,000","-87,094,000","-69,282,000","-220,969,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","121,984,000","128,081,000","129,505,000","141,701,000","145,648,000","111,373,000","102,093,000","84,368,000","78,406,000","63,203,000","51,187,000","41,462,000","45,763,000","48,967,000","40,579,000","44,492,000","36,991,000","28,414,000","29,504,000","27,468,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,"345,869,000",-,"50,000,000",-,-,-,-,-,"-142,497,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"121,984,000","128,081,000","129,505,000","141,701,000","145,648,000","111,373,000","102,093,000","84,368,000","78,406,000","63,203,000","51,187,000","387,331,000","45,763,000","98,967,000","40,579,000","44,492,000","36,991,000","28,414,000","29,504,000","-115,029,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-47,280,000","-29,443,000","-62,090,000","-84,518,000","-137,080,000","-120,441,000","-175,083,000","-164,053,000","-152,938,000","-148,624,000","-128,998,000","-89,404,000","-127,995,000","-194,287,000","-124,591,000","130,121,000","-129,552,000","-115,508,000","-98,786,000","-105,940,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-12,532,000","-9,359,000","-6,967,000","-7,402,000","-7,310,000","-7,341,000","-7,529,000","-7,738,000","-7,903,000","-8,448,000","-8,538,000","-3,018,000","-2,282,000","-3,767,000","-4,175,000","-9,610,000","-9,499,000","-6,909,000","-3,919,000","-3,931,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,889,000","3,184,000","3,303,000","4,548,000","4,989,000","6,002,000","5,393,000","4,575,000","2,809,000","1,432,000","98,000","37,000","144,000","104,000","134,000","194,000","670,000","1,025,000","2,275,000","1,478,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"70,000","24,000","-499,000","219,000","-603,000","-63,000","-277,000","-246,000","99,000","149,000","-289,000","-55,196,000","-4,336,000","-21,241,000","-15,540,000","-40,595,000","2,681,000","2,775,000","-68,392,000","-4,825,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-56,853,000","-35,594,000","-66,253,000","-87,153,000","-140,004,000","-121,843,000","-177,496,000","-167,462,000","-157,933,000","-155,491,000","-137,727,000","-147,581,000","-134,469,000","-219,191,000","-144,172,000","80,110,000","-135,700,000","-118,617,000","-168,822,000","-113,218,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-1,949,000",-,-,-,-,-,-,"-32,890,000",-,-,-,"-61,102,000",-,"-39,487,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-56,853,000","-37,543,000","-66,253,000","-87,153,000","-140,004,000","-121,843,000","-177,496,000","-167,462,000","-190,823,000","-155,491,000","-137,727,000","-147,581,000","-195,571,000","-219,191,000","-183,659,000","80,110,000","-135,700,000","-118,617,000","-168,822,000","-113,218,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"592,000","114,000","170,000","1,423,000","233,000","194,000","282,000","-1,471,000","446,000","486,000","1,208,000","352,000",-,-,-,"1,845,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-57,445,000","-37,657,000","-66,423,000","-88,576,000","-140,237,000","-122,037,000","-177,778,000","-165,991,000","-191,269,000","-155,977,000","-138,935,000","-147,933,000","-195,571,000","-219,191,000","-183,659,000","78,265,000","-135,700,000","-118,617,000","-168,822,000","-113,218,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-57,445,000","-37,657,000","-66,423,000","-88,576,000","-140,237,000","-122,037,000","-177,778,000","-165,991,000","-191,269,000","-155,977,000","-138,935,000","-147,933,000","-195,571,000","-219,191,000","-183,659,000","78,265,000","-135,700,000","-118,617,000","-168,822,000","-113,218,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"124,234,000","123,904,000","122,957,000","121,232,000","120,292,000","119,316,000","113,872,000","110,629,000","109,126,000","106,630,000","98,069,000","92,149,000","85,661,000","80,654,000","79,219,000","75,875,000","75,628,000","75,550,000","73,720,000","63,901,355",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"124,234,000","123,904,000","122,957,000","121,232,000","120,292,000","119,316,000","113,872,000","110,629,000","109,126,000","106,630,000","98,069,000","92,149,000","85,661,000","80,654,000","79,219,000","94,321,000","75,628,000","75,550,000","73,720,000","63,901,355",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),3.277%,3.845%,7.978%,9.584%,10.232%,11.897%,16.114%,20.054%,27.393%,32.207%,23.795%,-2.303%,13.266%,6.756%,7.459%,47.604%,18.627%,19.420%,27.330%,13.594%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.462,-0.304,-0.540,-0.731,-1.166,-1.023,-1.561,-1.500,-1.753,-1.463,-1.417,-1.605,-2.283,-2.718,-2.318,1.031,-1.794,-1.570,-2.290,-1.772,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.462,-0.304,-0.540,-0.731,-1.166,-1.023,-1.561,-1.500,-1.753,-1.463,-1.417,-1.605,-2.283,-2.718,-2.318,0.830,-1.794,-1.570,-2.290,-1.772,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"34,096,000","-8,429,000","-133,276,000","-97,970,000","-169,132,000","-150,527,000","-177,879,000","-141,595,000","-154,613,000","-107,415,000","-111,646,000","-112,518,000","-168,977,000","-128,936,000","-153,798,000","141,268,000","-103,562,000","-94,832,000","-108,784,000","-82,226,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.274,-0.068,-1.084,-0.808,-1.406,-1.262,-1.562,-1.280,-1.417,-1.007,-1.138,-1.221,-1.973,-1.599,-1.941,1.498,-1.369,-1.255,-1.476,-1.287,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,37.953%,49.397%,39.121%,39.066%,7.761%,-9.548%,-162.757%,-,-,-,-,494.156%,-,-,-,69.845%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-24.021%,-14.745%,-36.031%,-57.740%,-124.168%,-126.821%,-390.409%,-723.880%,-693.408%,-910.575%,-897.003%,-148.290%,-2265.398%,-31185.714%,-,52.048%,-20054.489%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-29.185%,-18.858%,-38.545%,-60.512%,-127.027%,-128.502%,-396.419%,-732.432%,-867.197%,-955.624%,-966.101%,-245.369%,-3461.434%,-35183.146%,-,31.306%,-21006.192%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,17.323%,-4.221%,-77.340%,-66.930%,-153.201%,-158.501%,-396.644%,-624.785%,-701.002%,-658.099%,-776.344%,-186.628%,-2990.743%,-20695.987%,-,56.507%,-16031.269%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-46,823,000","-28,994,000","-61,646,000","-84,042,000","-136,618,000","-120,016,000","-174,662,000","-163,665,000","-152,537,000","-148,238,000","-128,621,000","-89,031,000","-127,713,000","-193,845,000","-124,309,000","130,388,000","-129,362,000","-115,413,000","-98,701,000","-105,853,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-23.788%,-14.520%,-35.773%,-57.415%,-123.749%,-126.374%,-,-,-,-,-,-147.671%,-,-,-,52.155%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"457,000","449,000","444,000","476,000","462,000","425,000","421,000","388,000","401,000","386,000","377,000","373,000","282,000","442,000","282,000","267,000","190,000","95,000","85,000","87,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-47,280,000","-29,443,000","-62,090,000","-84,518,000","-137,080,000","-120,441,000","-175,083,000","-164,053,000","-152,938,000","-148,624,000","-128,998,000","-89,404,000","-127,995,000","-194,287,000","-124,591,000","130,121,000","-129,552,000","-115,508,000","-98,786,000","-105,940,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-24.021%,-14.745%,-36.031%,-57.740%,-124.168%,-126.821%,-,-,-,-,-,-148.290%,-,-,-,52.048%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.303%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"196,830,000","199,685,000","172,325,000","146,377,000","110,399,000","94,969,000","44,846,000","22,663,000","22,056,000","16,322,000","14,381,000","60,290,000","5,650,000","623,000",-,"250,000,000","646,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
