Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,-,"431,378","768,427","527,462","903,994","637,784","584,236","327,273","295,374",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-18.216%,-14.996%,-17.298%,54.731%,94.878%,97.795%,36.482%,-17.213%,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,"-5,251","426,063","685,833","529,991","829,937","629,987","578,852","436,171","423,327",Financials in USD,Fiscal year is January - December
Gross Profit,-,"5,251","5,315","82,594","-2,529","74,057","7,797","5,384","-108,898","-127,953",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","692,351","1,467,213","3,001,585","4,351,963","3,756,582","4,222,507","3,804,629","4,090,775","3,616,938","5,537,440",Financials in USD,Fiscal year is January - December
Research & Development,"2,038,923","1,985,963","3,212,366","4,710,292","4,509,303","5,361,286","5,508,356","7,071,890","4,315,033","4,224,834",Financials in USD,Fiscal year is January - December
Other Operating Expenses,"137,233","737,478","330,212","77,934","183,104","202,994","189,125","248,442","248,307","100,103",Financials in USD,Fiscal year is January - December
Operating Expenses,"2,868,507","4,190,654","6,544,163","9,140,189","8,448,989","9,786,787","9,502,110","11,411,107","8,180,278","9,862,377",Financials in USD,Fiscal year is January - December
Operating Income,"-2,868,507","-4,185,403","-6,538,848","-9,057,595","-8,451,518","-9,712,730","-9,494,313","-11,405,723","-8,289,176","-9,990,330",Financials in USD,Fiscal year is January - December
Interest Expense,"-68,462","-27,667","-93,478","-3,146",-,-,"-126,102","-99,402","-144,226","-21,106",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,"149,734","32,501",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"282,353","122,996","36,803","316,878","66,628","63,695","87,570","285,413","111,398","155,267",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,654,616","-4,090,074","-6,595,523","-8,743,863","-8,235,156","-9,616,534","-9,532,845","-11,219,712","-8,322,004","-9,856,169",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,"6,353,888","-9,266","-51,451","5,505,368","-466,322","-7,569,562","23,315,685","1,726,840","-620,421",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-4,271",-,-,-,-,"70,970",-,"12,508","-62,705",-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,"-200,000","-330,445",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,658,887","2,263,814","-6,604,789","-8,795,314","-2,729,788","-10,011,886","-17,102,407","11,908,481","-6,988,314","-10,476,590",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-2,658,887","2,263,814","-6,604,789","-8,795,314","-2,729,788","-10,011,886","-17,102,407","11,908,481","-6,988,314","-10,476,590",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"15,091","398,643","1,117,685","881,006","844,536","1,044,921","1,020,983","1,362,938","783,749","878,299",Financials in USD,Fiscal year is January - December
Net Income,"-2,643,796","2,662,457","-5,487,104","-7,914,308","-1,885,252","-8,966,965","-16,081,424","13,271,419","-6,204,565","-9,598,291",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,"755,514",-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,643,796","2,662,457","-5,487,104","-7,914,308","-1,885,252","-8,966,965","-16,081,424","12,515,905","-6,204,565","-9,598,291",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,339,608","5,192,645","3,849,621","3,570,703","3,568,265","3,578,778","3,428,014","3,231,537","2,995,639","2,903,875",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,339,608","5,192,645","3,849,621","3,570,703","3,568,265","3,578,778","3,428,014","3,311,255","2,995,639","2,903,875",Financials in USD,Fiscal year is January - December
Shares Change (YoY),38.705%,45.424%,7.885%,-0.226%,4.091%,8.079%,14.433%,14.029%,3.376%,3.875%,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.495,0.513,-1.425,-2.216,-0.528,-2.506,-4.691,3.873,-2.071,-3.305,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.495,0.513,-1.425,-2.221,-0.528,-2.506,-4.691,3.778,-2.071,-3.305,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,280,887","-1,531,316","-6,196,063","-5,442,037","-7,063,844","-8,024,070","-6,759,313","-9,013,727","-7,079,500","-6,197,888",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.240,-0.295,-1.610,-1.524,-1.980,-2.242,-1.972,-2.722,-2.363,-2.134,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-1515.805%,-1178.719%,-1602.299%,-1074.424%,-1488.641%,-1952.246%,-2532.802%,-3382.265%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-1271.994%,-1029.936%,-357.419%,-991.927%,-2521.453%,2142.269%,-1895.838%,-3249.538%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-1436.342%,-708.205%,-1339.214%,-887.624%,-1059.812%,-1542.823%,-2163.179%,-2098.319%,Financials in USD,Fiscal year is January - December
