Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","2,263,000","2,932,000","3,315,000","3,011,000","3,425,000","3,870,000","5,285,000","3,627,000","3,448,000","3,332,000","4,107,000","4,140,000","3,641,000","3,657,000","8,024,000","5,790,000","5,775,000","9,015,000","5,900,000","2,631,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,702,000","4,413,000","6,445,000","9,116,000","8,256,000","10,582,000","8,811,000","6,776,000","6,578,000","7,341,000","7,393,000","20,208,000","7,718,000","9,831,000","8,228,000","8,969,000","7,519,000","6,866,000","5,934,000","5,253,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,965,000","7,345,000","9,760,000","12,127,000","11,681,000","14,452,000","14,096,000","10,403,000","10,026,000","10,673,000","11,500,000","24,348,000","11,359,000","13,488,000","16,252,000","14,759,000","13,294,000","15,881,000","11,834,000","7,884,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,965,000","-7,345,000","-9,760,000","-12,127,000","-11,681,000","-14,452,000","-14,096,000","-10,403,000","-10,026,000","-10,673,000","-11,500,000","-24,348,000","-11,359,000","-13,488,000","-16,252,000","-14,759,000","-13,294,000","-15,881,000","-11,834,000","-7,884,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"12,000","93,000","121,000","171,000","232,000","326,000","422,000","401,000","254,000","111,000","22,000","22,000","22,000","23,000","27,000","37,000","46,000","116,000","323,000","167,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,"-1,000","1,000","2,000","-3,000","-2,000","2,000","-5,000","-3,000","-3,000","2,000","4,000","-5,000","-2,000","9,000","-1,000","15,000","-15,000","8,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-6,953,000","-7,252,000","-9,640,000","-11,955,000","-11,447,000","-14,129,000","-13,676,000","-10,000,000","-9,777,000","-10,565,000","-11,481,000","-24,324,000","-11,333,000","-13,470,000","-16,227,000","-14,713,000","-13,249,000","-15,750,000","-11,526,000","-7,709,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-6,953,000","-7,252,000","-9,640,000","-11,955,000","-11,447,000","-14,129,000","-13,676,000","-10,000,000","-9,777,000","-10,565,000","-11,481,000","-24,324,000","-11,333,000","-13,470,000","-16,227,000","-14,713,000","-13,249,000","-15,750,000","-11,526,000","-7,709,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-6,953,000","-7,252,000","-9,640,000","-11,955,000","-11,447,000","-14,129,000","-13,676,000","-10,000,000","-9,777,000","-10,565,000","-11,481,000","-24,324,000","-11,333,000","-13,470,000","-16,227,000","-14,713,000","-13,249,000","-15,750,000","-11,526,000","-7,709,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-6,953,000","-7,252,000","-9,640,000","-11,955,000","-11,447,000","-14,129,000","-13,676,000","-10,000,000","-9,777,000","-10,565,000","-11,481,000","-24,324,000","-11,333,000","-13,470,000","-16,227,000","-14,713,000","-13,249,000","-15,750,000","-11,526,000","-7,709,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"18,560,000","16,755,000","13,133,000","7,847,000","6,495,000","6,234,000","6,171,000","6,154,000","6,153,000","6,150,000","6,148,400","5,970,867","5,929,934","5,929,734","5,925,600","5,927,799","5,724,000","5,085,000","5,081,800","3,913,001",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"18,560,000","16,755,000","13,133,000","7,847,000","6,495,000","6,234,000","6,171,000","6,154,000","6,153,000","6,150,000","6,148,400","5,970,867","5,929,934","5,929,734","5,925,600","5,927,799","5,724,000","5,085,000","5,081,800","3,913,001",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),185.758%,168.768%,112.818%,27.511%,5.558%,1.366%,0.368%,3.067%,3.762%,3.715%,3.760%,0.727%,3.598%,16.612%,16.604%,51.490%,54.831%,64.124%,91.304%,56.741%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.375,-0.433,-0.734,-1.524,-1.762,-2.266,-2.216,-1.625,-1.589,-1.718,-1.867,-4.074,-1.911,-2.272,-2.738,-2.482,-2.315,-3.097,-2.268,-1.970,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.375,-0.433,-0.734,-1.525,-1.762,-2.266,-2.216,-1.629,-1.590,-1.718,-1.867,-4.074,-1.950,-2.272,-2.738,-2.482,-2.315,-3.097,-2.268,-1.970,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-10,376,000","-5,778,000","-11,763,000","-9,259,000","-10,536,000","-13,532,000","-11,302,000","-8,651,000","-6,979,000","-7,071,000","-9,645,000","-16,058,000","-8,240,000","-8,825,000","-10,393,000","-10,377,000","-8,270,000","-7,201,000","-8,127,000","-6,241,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.559,-0.345,-0.896,-1.180,-1.622,-2.171,-1.831,-1.406,-1.134,-1.150,-1.569,-2.689,-1.390,-1.488,-1.754,-1.751,-1.445,-1.416,-1.599,-1.595,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-6,961,000","-7,337,000","-9,744,000","-12,109,000","-11,661,000","-14,430,000","-14,068,000","-10,375,000","-9,996,000","-10,643,000","-11,468,000","-24,304,000","-11,323,000","-13,453,000","-16,217,000","-14,722,000","-13,257,000","-15,844,000","-11,793,000","-7,847,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,000","8,000","16,000","18,000","20,000","22,000","28,000","28,000","30,000","30,000","32,000","44,000","36,000","35,000","35,000","37,000","37,000","37,000","41,000","37,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-6,965,000","-7,345,000","-9,760,000","-12,127,000","-11,681,000","-14,452,000","-14,096,000","-10,403,000","-10,026,000","-10,673,000","-11,500,000","-24,348,000","-11,359,000","-13,488,000","-16,252,000","-14,759,000","-13,294,000","-15,881,000","-11,834,000","-7,884,000",Upgrade,Financials in USD,Fiscal year is January - December
