Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
Revenue,"41,673,000","49,859,000","38,012,000","30,855,000","45,140,000","10,519,000","80,285,000","160,293,000","13,369,000","27,093,000","5,244,000","5,794,000","2,437,000","2,001,000","2,127,000","2,238,000","2,333,000","2,322,000","2,646,000","2,968,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-7.681%,373.990%,-52.654%,-80.751%,237.647%,-61.174%,1430.988%,2666.534%,448.584%,1253.973%,146.544%,158.892%,4.458%,-13.824%,-19.615%,-24.596%,-29.687%,-77.130%,-39.172%,-60.829%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"39,134,000","4,378,000","52,773,000","36,620,000","51,077,000","3,741,000","51,768,000","26,981,000","37,688,000","38,189,000","44,893,000","30,733,000","45,398,000","45,679,000","50,050,000","22,386,000","17,699,000","7,944,000","7,917,000","11,994,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"2,539,000","45,481,000","-14,761,000","-5,765,000","-5,937,000","6,778,000","28,517,000","133,312,000","-24,319,000","-11,096,000","-39,649,000","-24,939,000","-42,961,000","-43,678,000","-47,923,000","-20,148,000","-15,366,000","-5,622,000","-5,271,000","-9,026,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","13,276,000","12,316,000","14,851,000","12,507,000","13,377,000","13,225,000","13,762,000","11,860,000","12,488,000","10,993,000","10,730,000","12,706,000","10,860,000","10,042,000","9,743,000","10,934,000","5,572,000","4,420,000","4,191,000","4,191,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,"54,291,000",-,-,-,"48,927,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"13,276,000","66,607,000","14,851,000","12,507,000","13,377,000","62,152,000","13,762,000","11,860,000","12,488,000","10,993,000","10,730,000","12,706,000","10,860,000","10,042,000","9,743,000","10,934,000","5,572,000","4,420,000","4,191,000","4,191,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-10,737,000","-21,126,000","-29,612,000","-18,272,000","-19,314,000","-55,374,000","14,755,000","121,452,000","-36,807,000","-22,089,000","-50,379,000","-37,645,000","-53,821,000","-53,720,000","-57,666,000","-31,082,000","-20,938,000","-10,042,000","-9,462,000","-13,217,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-4,000","-20,000",-,"-743,000","-790,000","-765,000","-728,000","-718,000","-708,000","-711,000","-710,000","-546,000","-191,000","-190,000","-195,000","-254,000","-240,000",Upgrade,Financials in USD,Fiscal year is January - December
