Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Aug '21 Aug 31, 2021","Aug '20 Aug 31, 2020",2019 - 2015,,
"Selling, General & Admin","3,895,000","4,234,000","5,963,000","6,294,000","4,602,000","2,767,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"5,641,000","5,696,000","4,324,000","5,832,000","2,839,000","1,919,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"9,536,000","9,930,000","10,287,000","12,126,000","7,441,000","4,686,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-9,536,000","-9,930,000","-10,287,000","-12,126,000","-7,441,000","-4,686,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-5,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,"2,000","3,000","2,000","1,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,"30,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-9,536,000","-9,930,000","-10,290,000","-12,123,000","-7,439,000","-4,655,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"415,000","641,000","207,000","18,000","2,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-9,121,000","-9,289,000","-10,083,000","-12,105,000","-7,437,000","-4,655,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-9,121,000","-9,289,000","-10,083,000","-12,105,000","-7,437,000","-4,655,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-9,121,000","-9,289,000","-10,083,000","-12,105,000","-7,437,000","-4,655,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"3,204,500","2,960,000","2,833,000","2,230,000","1,245,000","247,177",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"3,204,500","2,960,000","2,833,000","2,230,000","1,245,000","247,177",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),11.519%,4.483%,27.040%,79.116%,403.688%,70.666%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.846,-3.138,-3.559,-5.428,-5.973,-18.833,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.846,-3.138,-3.559,-5.430,-5.973,-18.833,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-8,379,000","-8,207,000","-8,008,000","-8,001,000","-6,141,000","-4,347,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.615,-2.773,-2.827,-3.588,-4.933,-17.587,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,-,"-7,440,756","-4,685,500",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,-,244,500,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-9,536,000","-9,930,000","-10,287,000","-12,126,000","-7,441,000","-4,686,000",Upgrade,Financials in USD,Fiscal year is January - December
