Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"40,000","273,000",-,"18,000","87,000","172,000","37,000","38,000","24,000","170,000",-,"230,000","266,000",-,"19,880,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-54.023%,58.721%,-,-52.632%,262.500%,1.176%,-,-83.478%,-90.977%,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,854,000",-,Financials in USD,Fiscal year is January - December
Gross Profit,"40,000","273,000",-,"18,000","87,000","172,000","37,000","38,000","24,000","170,000",-,"230,000","266,000",-,"19,880,000",-,-,"-2,854,000",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","10,265,000","13,397,000","10,955,000","19,429,000","13,631,000","16,558,000","12,570,000","15,727,000","19,419,000","17,221,000","17,982,000","25,877,000","20,264,000","37,331,000","9,273,000","71,985,000","4,328,000","2,851,000","1,570,000",Financials in USD,Fiscal year is January - December
Research & Development,"12,377,000","12,605,000","11,230,000","14,156,000","13,290,000","15,476,000","17,481,000","21,876,000","19,028,000","17,949,000","15,460,000","12,982,000","13,363,000","16,026,000","5,585,000","3,352,000","3,058,000",-,"2,144,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"22,642,000","26,002,000","22,185,000","33,585,000","26,921,000","32,034,000","30,051,000","37,603,000","38,447,000","35,170,000","33,442,000","38,859,000","33,627,000","53,357,000","14,858,000","75,337,000","7,386,000","2,851,000","3,714,000",Financials in USD,Fiscal year is January - December
Operating Income,"-22,602,000","-25,729,000","-22,185,000","-33,567,000","-26,834,000","-31,862,000","-30,014,000","-37,565,000","-38,423,000","-35,000,000","-33,442,000","-38,629,000","-33,361,000","-53,357,000","5,022,000","-75,337,000","-7,386,000","-5,705,000","-3,714,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-783,000","-702,000","-687,000","-691,000","-686,000","-658,000","-622,000","-923,000",-,-,-,-,-,"-118,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"160,000","118,000","307,000","656,000","612,000","303,000","275,000","187,000","145,000","117,000","98,000","325,000","8,000","35,000","37,000","14,000","19,000","18,000","21,000",Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-26,000","-273,000","-1,701,000","-394,000","-238,000","-1,928,000","-1,033,000","-1,326,000","-2,432,000","-6,652,000","-5,596,000","-66,038,000","-4,800,000","13,986,000","-1,703,000","-2,814,000","-61,862,000","-9,811,000","-2,021,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"770,000","122,000","-216,000","-301,000","253,000","-9,000","-837,000","-4,613,000","4,470,000","4,882,000","2,163,000","3,035,000","6,462,000","-2,558,000","1,491,000","-3,000","-159,000",-,-,Financials in USD,Fiscal year is January - December
