Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
"Selling, General & Admin","7,572,000","5,874,000","6,451,000","6,962,000","7,840,000","10,025,000","8,477,000","7,691,000","7,168,000","8,766,000","8,927,000","6,160,000","7,119,000","4,613,000","3,336,000","3,892,000","1,567,000","575,000","675,000","459,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"17,922,000","22,154,000","21,236,000","23,680,000","27,202,000","21,615,000","21,293,000","15,236,000","16,965,000","14,803,000","14,460,000","12,618,000","10,707,000","12,024,000","7,445,000","5,187,000","5,830,000","1,677,000","592,000","658,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"25,494,000","28,028,000","27,687,000","30,642,000","35,042,000","31,640,000","29,770,000","22,927,000","24,133,000","23,569,000","23,387,000","18,778,000","17,826,000","16,637,000","10,781,000","9,079,000","7,397,000","2,252,000","1,267,000","1,117,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-25,494,000","-28,028,000","-27,687,000","-30,642,000","-35,042,000","-31,640,000","-29,770,000","-22,927,000","-24,133,000","-23,569,000","-23,387,000","-18,778,000","-17,826,000","-16,637,000","-10,781,000","-9,079,000","-7,397,000","-2,252,000","-1,267,000","-1,117,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,"-232,000","-1,000",-,-,"-1,000",-,"-148,000","-218,000","-110,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,"1,000","74,000","74,000","84,000","79,000","35,000","4,000","6,000","7,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"880,000","1,169,000","1,084,000","4,274,000","2,072,000","2,043,000","1,619,000","3,281,000","3,944,000","-766,000","2,407,000","2,670,000","2,079,000","2,589,000","1,831,000","1,299,000","-1,094,000","205,000","-326,000","246,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-24,614,000","-26,859,000","-26,603,000","-26,368,000","-32,970,000","-29,597,000","-28,151,000","-19,646,000","-20,189,000","-24,335,000","-20,980,000","-16,339,000","-15,674,000","-13,974,000","-8,866,000","-7,702,000","-8,456,000","-2,191,000","-1,805,000","-974,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"266,000","-2,545,000",-,-,"331,000","-489,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,"-4,127,000",-,-,-,-,-,-,"-10,000,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"199,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-28,741,000","-26,859,000","-26,337,000","-27,285,000","-32,970,000","-29,597,000","-27,820,000","-30,135,000","-20,189,000","-24,335,000","-20,980,000","-16,339,000","-15,674,000","-13,974,000","-8,866,000","-7,702,000","-8,456,000","-1,992,000","-1,805,000","-974,000",Upgrade,Financials in USD,Fiscal year is January - December
