Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"100,439,000","8,573,000","63,573,000","20,340,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),2111.339%,-86.515%,212.552%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"180,367,000","228,052,000","269,989,000","282,001,000","244,650,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-79,928,000","-219,479,000","-206,416,000","-261,661,000","-244,650,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","39,477,000","49,797,000","68,133,000","78,801,000","64,402,000","79,584,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,"216,097,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"39,477,000","49,797,000","68,133,000","78,801,000","64,402,000","295,681,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-119,405,000","-269,276,000","-274,549,000","-340,462,000","-309,052,000","-295,681,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-4,774,000","-5,285,000","-373,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,224,000","5,426,000","3,059,000","2,136,000","3,275,000","3,387,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"605,000","-246,000","-700,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-121,350,000","-269,381,000","-272,563,000","-338,326,000","-305,777,000","-292,294,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-11,792,000","-6,730,000","-5,964,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-1,769,000","-828,000","1,330,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"50,237,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-133,142,000","-276,111,000","-228,290,000","-340,095,000","-306,605,000","-290,964,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"18,000","15,000","12,000","46,000","15,000","12,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-133,160,000","-276,126,000","-228,302,000","-340,141,000","-306,620,000","-290,976,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-133,160,000","-276,126,000","-228,302,000","-340,141,000","-306,620,000","-290,976,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,891,730","4,236,480","4,079,600","3,746,800","2,958,920","2,052,320",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,891,730","4,236,480","4,079,600","3,746,800","2,958,920","2,052,320",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),40.710%,3.845%,8.882%,26.627%,44.174%,17.112%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-22.601,-65.178,-55.962,-90.782,-103.626,-141.779,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-22.601,-65.178,-55.962,-90.782,-103.626,-141.779,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-94,852,000","-194,200,000","-274,623,000","-231,102,000","-185,272,000","-241,359,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-16.099,-45.840,-67.316,-61.680,-62.615,-117.603,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-118.883%,-3140.977%,-431.864%,-1673.854%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-132.578%,-3220.880%,-359.118%,-1672.276%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-94.437%,-2265.251%,-431.981%,-1136.195%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-114,249,000","-264,447,000","-268,896,000","-331,117,000","-300,720,000","-288,540,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,156,000","4,829,000","5,653,000","9,345,000","8,332,000","7,141,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-119,405,000","-269,276,000","-274,549,000","-340,462,000","-309,052,000","-295,681,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"100,439,000","8,573,000","63,573,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
