Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","8,504,000","8,094,000","8,519,000","7,658,000","6,898,000","6,013,000","5,527,000","5,186,000","4,688,000","4,832,000","5,100,000","3,888,000","4,110,000","4,008,000","2,968,000","3,321,000","3,057,000","2,803,000","2,916,000","2,619,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"20,510,000","20,709,000","15,631,000","11,342,000","13,338,000","9,089,000","7,966,000","9,104,000","7,698,000","6,617,000","10,278,000","5,820,000","3,788,000","3,478,000","2,305,000","5,657,000","7,806,000","6,750,000","5,126,000","4,128,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"29,014,000","28,803,000","24,150,000","19,000,000","20,236,000","15,102,000","13,493,000","14,290,000","12,386,000","11,449,000","15,378,000","9,708,000","7,898,000","7,486,000","5,273,000","8,978,000","10,863,000","9,553,000","8,042,000","6,747,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-29,014,000","-28,803,000","-24,150,000","-19,000,000","-20,236,000","-15,102,000","-13,493,000","-14,290,000","-12,386,000","-11,449,000","-15,378,000","-9,708,000","-7,898,000","-7,486,000","-5,273,000","-8,978,000","-10,863,000","-9,553,000","-8,042,000","-6,747,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,517,000","4,647,000","4,241,000","2,797,000","2,527,000","2,556,000","2,321,000","1,018,000","437,000","214,000","56,000","33,000","35,000","40,000","14,000","5,000","4,000","60,000",-,"148,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-37,000","-16,000","-19,000","-8,000","-18,000","-20,000","-16,000","9,000","-48,000","-15,000","-1,000","-16,000","-8,000","-20,000","-13,000","-5,000","-3,000","-15,000","90,000","-11,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-24,534,000","-24,172,000","-19,928,000","-16,211,000","-17,727,000","-12,566,000","-11,188,000","-13,263,000","-11,997,000","-11,250,000","-15,323,000","-9,691,000","-7,871,000","-7,466,000","-5,272,000","-8,978,000","-10,862,000","-9,508,000","-7,952,000","-6,610,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,"200,000",-,-,"-200,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-24,534,000","-24,172,000","-19,928,000","-31,410,000","-17,727,000","-12,566,000","-11,188,000","-13,263,000","-11,997,000","-11,250,000","-15,323,000","-9,491,000","-7,871,000","-7,466,000","-170,084,000","-8,978,000","-10,862,000","-9,508,000","-7,952,000","-6,610,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-24,534,000","-24,172,000","-19,928,000","-31,410,000","-17,727,000","-12,566,000","-11,188,000","-13,263,000","-11,997,000","-11,250,000","-15,323,000","-9,491,000","-7,871,000","-7,466,000","-170,084,000","-8,978,000","-10,862,000","-9,508,000","-7,952,000","-6,610,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,"24,437,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-24,534,000","-24,172,000","-19,928,000","-31,410,000","-17,727,000","-12,566,000","-11,188,000","-13,263,000","-11,997,000","-11,250,000","-15,323,000","-9,491,000","-7,871,000","-31,903,000","-170,084,000","-8,978,000","-10,862,000","-9,508,000","-7,952,000","-6,610,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"57,820,458","56,485,962","52,294,765","36,485,275","28,040,173","28,022,306","27,944,458","18,417,203","13,742,385","13,016,955","13,016,955","13,059,785","12,830,782","5,980,097","3,730,029","3,349,443","3,237,477","2,994,583","2,649,777","1,993,158",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"57,820,458","56,485,962","52,294,765","36,485,275","28,040,173","28,022,306","27,944,458","18,417,203","13,742,385","13,016,955","13,016,955","13,059,785","12,830,782","5,980,097","3,730,029","3,349,443","3,237,477","2,994,583","2,649,777","1,993,158",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),106.206%,101.575%,87.138%,98.104%,104.042%,115.275%,114.677%,41.022%,7.105%,117.671%,248.977%,289.909%,296.320%,99.697%,40.768%,68.047%,67.107%,56.164%,64.137%,67.537%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.424,-0.428,-0.381,-0.861,-0.632,-0.448,-0.400,-0.720,-0.873,-0.864,-1.177,-0.727,-0.613,-5.335,-45.599,-2.680,-3.355,-3.175,-3.001,-3.316,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.424,-0.428,-0.381,-0.861,-0.632,-0.448,-0.400,-0.720,-0.873,-0.864,-1.177,-0.727,-0.613,-5.335,-45.599,-2.680,-3.355,-3.175,-3.001,-3.316,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-27,985,000","-17,096,000","-19,094,000","-30,254,000","-14,262,000","-10,696,000","-13,258,000","-10,695,000","-10,307,000","-10,063,000","-12,559,000","-6,286,000","-7,749,000","-7,400,000","-8,737,000","-8,071,000","-9,969,000","-7,489,000","-6,989,000","-7,782,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.484,-0.303,-0.365,-0.829,-0.509,-0.382,-0.474,-0.581,-0.750,-0.773,-0.965,-0.481,-0.604,-1.237,-2.342,-2.410,-3.079,-2.501,-2.638,-3.904,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-8,971,500","-10,856,500","-9,546,500","-8,035,500","-6,744,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,500","6,500","6,500","6,500","3,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-29,014,000","-28,803,000","-24,150,000","-19,000,000","-20,236,000","-15,102,000","-13,493,000","-14,290,000","-12,386,000","-11,449,000","-15,378,000","-9,708,000","-7,898,000","-7,486,000","-5,273,000","-8,978,000","-10,863,000","-9,553,000","-8,042,000","-6,747,000",Upgrade,Financials in USD,Fiscal year is January - December
