Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,-,-,"235,000",-,"353,000",-,-,"10,386,000",-,-,-,-,-,-,-,"2,053,000","148,000","189,000","8,065,000","144,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1325.694%,-19.565%,101.064%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"14,807,000","13,973,000","13,364,000","12,755,000","10,319,000","9,840,000","9,379,000","14,910,000","9,867,000","9,135,000","8,896,000","5,955,000","5,138,000","7,655,000","4,516,000","4,698,000","4,616,000","4,361,000","3,616,000","3,590,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-14,807,000","-13,973,000","-13,129,000","-12,755,000","-9,966,000","-9,840,000","-9,379,000","-4,524,000","-9,867,000","-9,135,000","-8,896,000","-5,955,000","-5,138,000","-7,655,000","-4,516,000","-2,645,000","-4,468,000","-4,172,000","4,449,000","-3,446,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,336,000","3,342,000","3,507,000","3,204,000","2,649,000","3,718,000","3,408,000","3,426,000","3,625,000","3,449,000","3,482,000","2,685,000","2,590,000","2,790,000","2,686,000","2,295,000","2,044,000","2,146,000","2,590,000","2,516,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,336,000","3,342,000","3,507,000","3,204,000","2,649,000","3,718,000","3,408,000","3,426,000","3,625,000","3,449,000","3,482,000","2,685,000","2,590,000","2,790,000","2,686,000","2,295,000","2,044,000","2,146,000","2,590,000","2,516,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-18,143,000","-17,315,000","-16,636,000","-15,959,000","-12,615,000","-13,558,000","-12,787,000","-7,950,000","-13,492,000","-12,584,000","-12,378,000","-8,640,000","-7,728,000","-10,445,000","-7,202,000","-4,940,000","-6,512,000","-6,318,000","1,859,000","-5,962,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"882,000","1,009,000","1,149,000","1,198,000","1,273,000","1,216,000","835,000","427,000","247,000","163,000","224,000","79,000","59,000","53,000","47,000","5,000","-88,000","-129,000","-107,000","-171,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-17,261,000","-16,306,000","-15,487,000","-14,761,000","-11,342,000","-12,342,000","-11,952,000","-7,523,000","-13,245,000","-12,421,000","-12,154,000","-8,561,000","-7,669,000","-10,392,000","-7,155,000","-4,935,000","-6,600,000","-6,447,000","1,752,000","-6,133,000",Upgrade,Financials in USD,Fiscal year is January - December
