Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","20,790,000","17,190,000","14,615,000","8,035,000","949,000","218,000",Financials in USD,Fiscal year is January - December
Research & Development,"69,469,000","64,219,000","38,622,000","14,987,000","7,940,000","3,112,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"90,259,000","81,409,000","53,237,000","23,022,000","8,889,000","3,330,000",Financials in USD,Fiscal year is January - December
Operating Income,"-90,259,000","-81,409,000","-53,237,000","-23,022,000","-8,889,000","-3,330,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-75,000",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,723,000","5,945,000","1,830,000","65,000",-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-19,000","-1,000","-79,000","-3,000","-3,000","1,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-84,555,000","-75,465,000","-51,486,000","-22,960,000","-8,967,000","-3,329,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"-644,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-84,555,000","-75,465,000","-51,486,000","-22,960,000","-9,611,000","-3,329,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"56,000","56,000","25,000","3,000",-,"1,000",Financials in USD,Fiscal year is January - December
Net Income,"-84,611,000","-75,521,000","-51,511,000","-22,963,000","-9,611,000","-3,330,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"22,000","153,000",-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-84,611,000","-75,521,000","-51,511,000","-22,985,000","-9,764,000","-3,330,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"28,356,795","26,331,630","24,472,104","12,293,629","242,232","241,467",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"28,356,795","26,331,630","24,472,104","12,293,629","242,232","241,467",Financials in USD,Fiscal year is January - December
Shares Change (YoY),10.954%,7.599%,99.063%,4975.147%,0.317%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.984,-2.868,-2.105,-1.870,-40.308,-13.791,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.984,-2.868,-2.105,-1.870,-40.308,-13.791,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-75,013,000","-56,920,000","-39,317,000","-27,580,000","-7,859,000","-2,781,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.645,-2.162,-1.607,-2.243,-32.444,-11.517,Financials in USD,Fiscal year is January - December
EBITDA,"-89,957,000","-81,313,000","-53,169,000","-23,007,000","-8,888,000",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"302,000","96,000","68,000","15,000","1,000",-,Financials in USD,Fiscal year is January - December
EBIT,"-90,259,000","-81,409,000","-53,237,000","-23,022,000","-8,889,000","-3,330,000",Financials in USD,Fiscal year is January - December
