Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"11,000,000",-,-,"250,000","429,000","5,200,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-41.725%,-91.750%,-51.068%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"74,119,000","103,731,000","79,347,000","58,274,000","19,933,000","25,919,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-63,119,000","-103,731,000","-79,347,000","-58,024,000","-19,504,000","-20,719,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","23,116,000","25,956,000","28,793,000","38,416,000","10,595,000","7,549,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"23,116,000","25,956,000","28,793,000","38,416,000","10,595,000","7,549,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-86,235,000","-129,687,000","-108,140,000","-96,440,000","-30,099,000","-28,268,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-3,000","-1,389,000","-1,630,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,453,000","6,312,000","1,648,000","350,000","100,000","128,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-35,000","-87,000","10,000","1,000","-1,582,000","-85,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-81,817,000","-123,462,000","-106,482,000","-96,092,000","-32,970,000","-29,855,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"690,000","-2,883,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-81,817,000","-123,462,000","-106,482,000","-95,402,000","-35,853,000","-29,855,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-81,817,000","-123,462,000","-106,482,000","-95,402,000","-35,853,000","-29,855,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,"61,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-81,817,000","-123,462,000","-106,482,000","-95,402,000","-35,853,000","-29,794,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"-8,976,000","-1,063,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-81,817,000","-123,462,000","-106,482,000","-95,402,000","-26,877,000","-28,731,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"48,157,011","47,777,568","38,927,268","34,561,245","8,428,153","54,600,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"48,157,011","47,777,568","38,927,268","34,561,245","8,428,153","54,600,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),3.247%,22.735%,12.633%,310.069%,-84.564%,1200.000%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.699,-2.584,-2.735,-2.760,-3.189,-0.526,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.699,-2.584,-2.735,-2.760,-3.189,-0.526,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-85,083,000","-104,113,000","-90,688,000","-63,138,000","-36,924,000","-11,154,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.767,-2.179,-2.330,-1.827,-4.381,-0.204,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-783.955%,-,-,-38576.000%,-7016.084%,-543.615%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-743.791%,-,-,-38160.800%,-6265.035%,-552.519%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-773.482%,-,-,-25255.200%,-8606.993%,-214.500%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-85,170,000","-128,466,000","-106,941,000","-95,110,000","-29,091,000","-27,408,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,065,000","1,221,000","1,199,000","1,330,000","1,008,000","860,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-86,235,000","-129,687,000","-108,140,000","-96,440,000","-30,099,000","-28,268,000",Upgrade,Financials in USD,Fiscal year is January - December
