Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"11,000,000",-,-,-,-,-,-,-,-,-,-,-,-,"250,000",-,-,"150,000","190,000","89,000","2,202,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,-,-,-,-,31.579%,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"16,395,000","16,198,000","18,852,000","22,674,000","28,400,000","30,960,000","21,697,000","21,874,000","19,839,000","20,711,000","16,923,000","16,448,000","16,553,000","14,850,000","10,423,000","10,485,000","4,864,000","2,923,000","1,661,000","3,336,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-5,395,000","-16,198,000","-18,852,000","-22,674,000","-28,400,000","-30,960,000","-21,697,000","-21,874,000","-19,839,000","-20,711,000","-16,923,000","-16,448,000","-16,553,000","-14,600,000","-10,423,000","-10,485,000","-4,714,000","-2,733,000","-1,572,000","-1,134,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","5,875,000","5,774,000","5,605,000","5,862,000","6,620,000","6,241,000","7,233,000","6,686,000","6,340,000","8,344,000","7,423,000","7,040,000","7,142,000","15,860,000","8,374,000","5,970,000","3,301,000","1,787,000","-463,000","-342,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"5,875,000","5,774,000","5,605,000","5,862,000","6,620,000","6,241,000","7,233,000","6,686,000","6,340,000","8,344,000","7,423,000","7,040,000","7,142,000","15,860,000","8,374,000","5,970,000","3,301,000","1,787,000","-463,000","-342,000",Financials in USD,Fiscal year is January - December
Operating Income,"-11,270,000","-21,972,000","-24,457,000","-28,536,000","-35,020,000","-37,201,000","-28,930,000","-28,560,000","-26,179,000","-29,055,000","-24,346,000","-23,488,000","-23,695,000","-30,460,000","-18,797,000","-16,455,000","-8,015,000","-4,520,000","-1,109,000","-792,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,000","-2,000","-2,000","-86,000","-754,000","-547,000","-513,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"692,000","900,000","1,223,000","1,638,000","1,734,000","1,460,000","1,480,000","1,047,000","370,000","146,000","85,000","96,000","76,000","80,000","98,000","63,000","31,000","1,000","5,000","9,000",Financials in USD,Fiscal year is January - December
