Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
"Selling, General & Admin","8,682,000","10,693,000","10,866,000","9,304,000","9,355,000","5,797,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,626,000","10,746,000","13,956,000","15,235,000","22,329,000","17,204,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"13,308,000","21,439,000","24,822,000","24,539,000","31,684,000","23,001,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-13,308,000","-21,439,000","-24,822,000","-24,539,000","-31,684,000","-23,001,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-380,000","-278,000",-,-,"-127,000","-252,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,"545,000","82,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-540,000","4,525,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-14,228,000","-17,192,000","-24,277,000","-24,457,000","-31,811,000","-23,253,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-14,228,000","-17,192,000","-24,277,000","-24,457,000","-31,811,000","-23,253,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-14,228,000","-17,192,000","-24,277,000","-24,457,000","-31,811,000","-23,253,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,453,726","2,871,731","2,433,939","2,412,118","1,989,882","1,460,418",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,453,726","2,871,731","2,433,939","2,412,118","1,989,882","1,460,418",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),69.789%,17.987%,0.905%,21.219%,36.254%,9.544%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.195,-5.987,-9.974,-10.139,-15.986,-15.922,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.203,-6.000,-9.974,-10.200,-15.986,-15.922,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-11,348,000","-20,476,000","-19,349,000","-26,595,000","-35,571,000","-11,720,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.548,-7.130,-7.950,-11.026,-17.876,-8.025,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-13,055,000","-21,174,000","-24,537,000","-24,279,000","-31,465,000","-22,837,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"253,000","265,000","285,000","260,000","219,000","164,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-13,308,000","-21,439,000","-24,822,000","-24,539,000","-31,684,000","-23,001,000",Upgrade,Financials in USD,Fiscal year is January - December
