Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","2,003,000","2,060,000","1,513,000","3,106,000","2,705,000","2,655,000","2,227,000","2,464,000","3,065,000","2,478,000","2,859,000","2,535,000","1,659,000","2,522,000","2,588,000","2,671,000","2,618,000","1,706,000","2,360,000","1,479,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,045,000","922,000","961,000","1,698,000","3,330,000","2,794,000","2,924,000","2,451,000","3,776,000","5,113,000","2,616,000","3,677,000","3,618,000","3,599,000","4,341,000","8,820,000","1,867,000","5,694,000","5,948,000","6,186,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,048,000","2,982,000","2,474,000","4,804,000","6,035,000","5,449,000","5,151,000","4,915,000","6,841,000","7,591,000","5,475,000","6,212,000","5,277,000","6,121,000","6,929,000","11,491,000","4,485,000","7,400,000","8,308,000","7,665,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,048,000","-2,982,000","-2,474,000","-4,804,000","-6,035,000","-5,449,000","-5,151,000","-4,915,000","-6,841,000","-7,591,000","-5,475,000","-6,212,000","-5,277,000","-6,121,000","-6,929,000","-11,491,000","-4,485,000","-7,400,000","-8,308,000","-7,665,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-54,000",-,-,"-538,000","-121,000",-,-,"-103,000","-17,000",-,-,-,"-59,000","-148,000",-,"-324,000","-3,000",-,-,"-27,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,"30,000","13,000",-,-,"120,000","92,000",-,-,"550,000","115,000","22,000",-,-,"267,000",-,-,"6,000","194,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"394,000","411,000","-940,000","-236,000","4,930,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,708,000","-2,541,000","-3,401,000","-5,578,000","-1,226,000","-5,329,000","-5,059,000","-5,018,000","-6,858,000","-7,041,000","-5,360,000","-6,190,000","-5,336,000","-6,269,000","-6,662,000","-11,815,000","-4,488,000","-7,394,000","-8,114,000","-7,692,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-2,708,000","-2,541,000","-3,401,000","-5,578,000","-1,226,000","-5,329,000","-5,059,000","-5,018,000","-6,858,000","-7,041,000","-5,360,000","-6,190,000","-5,336,000","-6,269,000","-6,662,000","-11,815,000","-4,488,000","-7,394,000","-8,114,000","-7,692,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,708,000","-2,541,000","-3,401,000","-5,578,000","-1,226,000","-5,329,000","-5,059,000","-5,018,000","-6,858,000","-7,041,000","-5,360,000","-6,190,000","-5,336,000","-6,269,000","-6,662,000","-11,815,000","-4,488,000","-7,394,000","-8,114,000","-7,692,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,309,796","4,747,701","4,315,905","3,435,821","2,950,121","2,646,446","2,449,030","2,441,277","2,432,897","2,432,413","2,429,127","2,420,443","2,420,326","2,421,239","2,386,088","2,220,417","2,076,941","1,951,610","1,894,923","1,515,669",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,309,796","4,747,701","4,315,905","3,435,821","2,950,121","2,646,446","2,449,030","2,441,277","2,432,897","2,432,413","2,429,127","2,420,443","2,420,326","2,421,239","2,386,088","2,220,417","2,076,941","1,951,610","1,894,923","1,515,669",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),79.986%,79.399%,76.229%,40.739%,21.260%,8.799%,0.819%,0.861%,0.519%,0.461%,1.804%,9.008%,16.533%,24.064%,25.920%,46.497%,39.987%,34.885%,35.887%,9.681%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.510,-0.535,-0.788,-1.623,-0.416,-2.014,-2.066,-2.055,-2.819,-2.895,-2.207,-2.557,-2.205,-2.589,-2.792,-5.321,-2.161,-3.789,-4.282,-5.075,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.510,-0.535,-0.788,-1.635,-0.416,-2.014,-2.100,-2.055,-2.819,-2.895,-2.250,-2.557,-2.250,-2.589,-2.850,-5.321,-2.161,-3.789,-4.282,-5.075,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,299,000","-1,683,000","-3,063,000","-3,285,000","-6,409,000","-6,778,000","-3,986,000","-4,648,000","-4,851,000","-6,153,000","-3,697,000","-5,543,000","-6,697,000","-5,357,000","-8,998,000","-7,811,000","-7,012,000","-5,712,000","-15,036,000","-3,624,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.621,-0.354,-0.710,-0.956,-2.172,-2.561,-1.628,-1.904,-1.994,-2.530,-1.522,-2.290,-2.767,-2.213,-3.771,-3.518,-3.376,-2.927,-7.935,-2.391,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-2,989,000","-2,918,000","-2,410,000","-4,738,000","-5,970,000","-5,382,000","-5,084,000","-4,845,000","-6,771,000","-7,520,000","-5,401,000","-6,142,000","-5,210,000","-6,059,000","-6,868,000","-11,427,000","-4,429,000","-7,350,000","-8,259,000","-7,615,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"59,000","64,000","64,000","66,000","65,000","67,000","67,000","70,000","70,000","71,000","74,000","70,000","67,000","62,000","61,000","64,000","56,000","50,000","49,000","50,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-3,048,000","-2,982,000","-2,474,000","-4,804,000","-6,035,000","-5,449,000","-5,151,000","-4,915,000","-6,841,000","-7,591,000","-5,475,000","-6,212,000","-5,277,000","-6,121,000","-6,929,000","-11,491,000","-4,485,000","-7,400,000","-8,308,000","-7,665,000",Upgrade,Financials in USD,Fiscal year is January - December
