Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Oct '24 Oct 31, 2024","Jul '24 Jul 31, 2024","Apr '24 Apr 30, 2024","Jan '24 Jan 31, 2024","Oct '23 Oct 31, 2023","Jul '23 Jul 31, 2023","Apr '23 Apr 30, 2023","Jan '23 Jan 31, 2023","Oct '22 Oct 31, 2022","Jul '22 Jul 31, 2022","Apr '22 Apr 30, 2022","Jan '22 Jan 31, 2022","Oct '21 Oct 31, 2021","Jul '21 Jul 31, 2021","Apr '21 Apr 30, 2021","Jan '21 Jan 31, 2021","Oct '20 Oct 31, 2020","Jul '20 Jul 31, 2020","Apr '20 Apr 30, 2020","Jan '20 Jan 31, 2020",+20 Quarters,,
"Selling, General & Admin","1,601,821","1,552,823","1,681,516","1,679,991","1,734,251","2,971,992","1,865,901","1,480,966","2,195,936","2,284,832","1,888,855","1,964,430","1,409,173","1,000,601","3,685,178","24,554","231,309","296,922","421,826","673,526",Upgrade,Financials in USD,Fiscal year is August - July
Research & Development,"3,551,011","4,215,131","7,548,132","8,149,455","6,768,777","4,733,769","3,811,128","3,005,357","3,207,215","2,949,231","2,234,405","1,682,379","875,636","598,262","1,121,475","165,592","149,062","552,476","273,648","1,205,136",Upgrade,Financials in USD,Fiscal year is August - July
Operating Expenses,"5,152,832","5,767,954","9,229,648","9,829,446","8,503,028","7,705,761","5,677,029","4,486,323","5,403,151","5,234,063","4,123,260","3,646,809","2,284,809","1,598,863","4,806,653","190,146","380,371","849,538","695,766","1,878,662",Upgrade,Financials in USD,Fiscal year is August - July
Operating Income,"-5,152,832","-5,767,954","-9,229,648","-9,829,446","-8,503,028","-7,705,761","-5,677,029","-4,486,323","-5,403,151","-5,234,063","-4,123,260","-3,646,809","-2,284,809","-1,598,863","-4,806,653","-190,146","-380,371","-849,538","-695,766","-1,878,662",Upgrade,Financials in USD,Fiscal year is August - July
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-979,-,"-62,417","-45,788","-15,722","-21,152","-4,946","-3,952",Upgrade,Financials in USD,Fiscal year is August - July
Interest & Investment Income,"13,050",2,"15,606","81,595","190,815","208,776","253,489","240,595","188,353","82,358","35,987","12,081","6,305","48,522",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is August - July
Earnings From Equity Investments,"-71,515","-51,168","-36,997","-18,345",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is August - July
Currency Exchange Gain (Loss),"-1,336","-12,101","-2,391",33,"-10,993","-13,485","-11,323","-6,532","-9,533","-24,951",228,"-6,041",34,"-1,293,255","-884,536",-,-,442,63,-332,Upgrade,Financials in USD,Fiscal year is August - July
Other Non Operating Income (Expenses),"-616,643","4,582,469","10,945,672","-1,567,747","14,282,078","5,091,815","539,427","-7,629,502","4,117,790","4,726,304","-5,928,528","14,801,276","-25,254,036","-13,324,420","8,879,154",-,-,"23,284",-,-,Upgrade,Financials in USD,Fiscal year is August - July
EBT Excluding Unusual Items,"-5,829,276","-1,248,752","1,692,242","-11,333,910","5,958,872","-2,418,655","-4,895,436","-11,881,762","-1,106,541","-450,352","-10,015,573","11,160,507","-27,533,485","-16,168,016","3,125,548","-235,934","-396,093","-846,964","-700,649","-1,882,946",Upgrade,Financials in USD,Fiscal year is August - July
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,"59,435","-175,904",-,"-25,234","-5,311",-,-,Upgrade,Financials in USD,Fiscal year is August - July
Pretax Income,"-5,829,276","-1,248,752","1,692,242","-11,333,910","5,958,872","-2,418,655","-4,895,436","-11,881,762","-1,106,541","-450,352","-10,015,573","11,160,507","-27,533,485","-16,108,581","2,949,644","-235,934","-421,327","-852,275","-700,649","-1,882,946",Upgrade,Financials in USD,Fiscal year is August - July
