Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Revenue,-,"83,000","298,000","231,000","468,000","177,000","401,000","175,000","168,000",-,Upgrade,Financials in GBP,Fiscal year is January - December
Revenue Growth (YoY),-,-64.069%,-36.325%,30.508%,16.708%,1.143%,138.690%,-,-62.832%,-,Upgrade,Financials in GBP,Fiscal year is January - December
Cost of Revenue,"2,189,000","-2,251,000","2,251,000","2,698,000","2,413,000","2,644,000","2,010,000","339,000","3,989,000",-,Upgrade,Financials in GBP,Fiscal year is January - December
Gross Profit,"-2,189,000","2,334,000","-1,953,000","-2,467,000","-1,945,000","-2,467,000","-1,609,000","-164,000","-3,821,000",-,Upgrade,Financials in GBP,Fiscal year is January - December
"Selling, General & Admin","2,034,000","741,000","2,291,000","1,333,000","1,849,000","1,290,000","1,656,000","1,305,000","2,933,000",-,Upgrade,Financials in GBP,Fiscal year is January - December
Research & Development,-,"3,967,000",-,-,-,-,-,-,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Other Operating Expenses,-,"-14,000",-,"-6,000","-16,000","7,000","-31,000","-12,000",-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Operating Expenses,"2,034,000","4,694,000","2,291,000","1,327,000","1,833,000","1,297,000","1,625,000","1,293,000","2,933,000",-,Upgrade,Financials in GBP,Fiscal year is January - December
Operating Income,"-4,223,000","-2,360,000","-4,244,000","-3,794,000","-3,778,000","-3,764,000","-3,234,000","-1,457,000","-6,754,000",-,Upgrade,Financials in GBP,Fiscal year is January - December
Interest Expense,"-49,000","-19,000","-22,000","-29,000","-24,000","-22,000","-22,000","-12,000","-22,000",-,Upgrade,Financials in GBP,Fiscal year is January - December
Interest & Investment Income,"88,000","59,000","24,000","23,000","6,000",-,-,-,"1,000",-,Upgrade,Financials in GBP,Fiscal year is January - December
Other Non Operating Income (Expenses),"751,000","101,000","386,000","70,000","398,000","1,070,000","-134,000","-904,000","507,000",-,Upgrade,Financials in GBP,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,433,000","-2,219,000","-3,856,000","-3,730,000","-3,398,000","-2,716,000","-3,390,000","-2,373,000","-6,268,000",-,Upgrade,Financials in GBP,Fiscal year is January - December
Merger & Restructuring Charges,-,"-100,000",-,-,-,-,-,"-2,460,000",-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,"-1,000","-2,290,000",-,Upgrade,Financials in GBP,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,"-777,000","-9,301,000",-,Upgrade,Financials in GBP,Fiscal year is January - December
Other Unusual Items,-,"-1,310,000",-,"-1,360,000",-,-,-,-,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Pretax Income,"-3,433,000","-3,629,000","-3,856,000","-5,090,000","-3,398,000","-2,716,000","-3,390,000","-5,611,000","-17,859,000",-,Upgrade,Financials in GBP,Fiscal year is January - December
Income Tax Expense,"-125,000","-118,000","-288,000","-495,000","-337,000","-410,000","-236,000","-842,000","-439,000",-,Upgrade,Financials in GBP,Fiscal year is January - December
Earnings From Continuing Operations,"-3,308,000","-3,511,000","-3,568,000","-4,595,000","-3,061,000","-2,306,000","-3,154,000","-4,769,000","-17,420,000",-,Upgrade,Financials in GBP,Fiscal year is January - December
Net Income,"-3,308,000","-3,511,000","-3,568,000","-4,595,000","-3,061,000","-2,306,000","-3,154,000","-4,769,000","-17,420,000",-,Upgrade,Financials in GBP,Fiscal year is January - December
Net Income to Common,"-3,308,000","-3,511,000","-3,568,000","-4,595,000","-3,061,000","-2,306,000","-3,154,000","-4,769,000","-17,420,000",-,Upgrade,Financials in GBP,Fiscal year is January - December
Shares Outstanding (Basic),"328,080",-,-,-,-,-,-,-,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Shares Outstanding (Diluted),"328,080",-,-,-,-,-,-,-,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
EPS (Basic),-10.083,-,-,-,-,-,-,-,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
EPS (Diluted),-10.083,-,-,-,-,-,-,-,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Free Cash Flow,"-4,807,000","-2,967,000","-3,885,000","-3,538,000","-3,572,000","-3,031,000","-3,297,000","-2,333,000","-7,177,000",-,Upgrade,Financials in GBP,Fiscal year is January - December
Free Cash Flow Per Share,-14.652,-,-,-,-,-,-,-,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Operating Margin,-,-2843.373%,-1424.161%,-1642.424%,-807.265%,-2126.554%,-806.484%,-832.571%,-4020.238%,-,Upgrade,Financials in GBP,Fiscal year is January - December
Profit Margin,-,-4230.120%,-1197.315%,-1989.177%,-654.060%,-1302.825%,-786.534%,-2725.143%,-10369.048%,-,Upgrade,Financials in GBP,Fiscal year is January - December
