Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"9,372,000,000","8,663,000,000","8,025,000,000","8,328,000,000","7,924,000,000","8,489,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,"102,000,000","94,000,000","99,000,000","106,000,000","103,000,000","112,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"9,474,000,000","8,757,000,000","8,124,000,000","8,434,000,000","8,027,000,000","8,601,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),10.911%,7.792%,-3.676%,5.070%,-6.674%,2.637%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,760,000,000","2,559,000,000","2,364,000,000","2,394,000,000","2,249,000,000","2,350,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"6,714,000,000","6,198,000,000","5,760,000,000","6,040,000,000","5,778,000,000","6,251,000,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,229,000,000","2,895,000,000","2,531,000,000","2,492,000,000","2,367,000,000","2,554,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"605,000,000","604,000,000","529,000,000","465,000,000","452,000,000","471,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,"1,000,000","1,000,000",-,"1,000,000","-13,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,934,000,000","4,577,000,000","4,276,000,000","4,332,000,000","4,465,000,000","4,909,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"1,780,000,000","1,621,000,000","1,484,000,000","1,708,000,000","1,313,000,000","1,342,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,414,000,000","-1,328,000,000","-1,464,000,000","-1,426,000,000","-1,534,000,000","-1,612,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"31,000,000","26,000,000","14,000,000","7,000,000","13,000,000","12,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-40,000,000","-52,000,000","-8,000,000","7,000,000","-30,000,000","8,000,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"357,000,000","267,000,000","26,000,000","296,000,000","-238,000,000","-250,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-56,000,000","-95,000,000","-68,000,000","-73,000,000","-23,000,000","-44,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-91,000,000","-493,000,000","-824,000,000","-469,000,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"9,000,000","3,000,000","5,000,000","2,000,000","1,000,000","31,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-6,000,000","-45,000,000","-10,000,000","-211,000,000","-112,000,000","-66,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,"-215,000,000",-,"-9,000,000","-356,000,000","-422,000,000","-1,401,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-27,000,000","-80,000,000","752,000,000","-205,000,000","-107,000,000","-62,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-49,000,000","-390,000,000","-129,000,000","-1,024,000,000","-934,000,000","-1,837,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"168,000,000","221,000,000","83,000,000","-87,000,000","-375,000,000","-54,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-217,000,000","-611,000,000","-212,000,000","-937,000,000","-559,000,000","-1,783,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"39,000,000","19,000,000","-13,000,000","-11,000,000","-1,000,000","-5,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-178,000,000","-592,000,000","-225,000,000","-948,000,000","-560,000,000","-1,788,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-178,000,000","-592,000,000","-225,000,000","-948,000,000","-560,000,000","-1,788,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"367,300,000","364,900,000","362,000,000","358,900,000","355,000,000","352,100,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"367,300,000","364,900,000","362,000,000","358,900,000","355,000,000","352,100,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.900%,0.801%,0.864%,1.099%,0.824%,0.228%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.485,-1.622,-0.622,-2.641,-1.577,-5.078,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.485,-1.622,-0.622,-2.641,-1.580,-5.080,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"1,057,000,000","817,000,000","-946,000,000","1,157,000,000","809,000,000","1,231,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,2.878,2.239,-2.613,3.224,2.279,3.496,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,70.868%,70.778%,70.901%,71.615%,71.982%,72.677%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,18.788%,18.511%,18.267%,20.251%,16.357%,15.603%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1.879%,-6.760%,-2.770%,-11.240%,-6.976%,-20.788%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,11.157%,9.330%,-11.645%,13.718%,10.078%,14.312%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"3,069,000,000","2,885,000,000","2,878,000,000","3,260,000,000","3,138,000,000","3,417,000,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,32.394%,32.945%,35.426%,38.653%,39.093%,39.728%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,289,000,000","1,264,000,000","1,394,000,000","1,552,000,000","1,825,000,000","2,075,000,000",Upgrade,Financials in USD,Fiscal year is January - December
