Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
"Selling, General & Admin","85,680,000","62,770,000","130,860,000","37,414,000","16,046,000",Financials in USD,Fiscal year is January - December
Research & Development,"763,211,000","373,281,000","333,325,000","181,486,000","98,460,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"848,891,000","436,051,000","464,185,000","218,900,000","114,506,000",Financials in USD,Fiscal year is January - December
Operating Income,"-848,891,000","-436,051,000","-464,185,000","-218,900,000","-114,506,000",Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,"5,261,000","-4,162,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"23,246,000","8,814,000","4,883,000","1,209,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-825,645,000","-427,237,000","-459,302,000","-212,430,000","-118,668,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"20,785,000","17,686,000","-6,792,000",-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-103,747,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-804,860,000","-409,551,000","-569,841,000","-212,430,000","-118,668,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-525,000","-1,383,000","438,000","1,366,000",-,Financials in USD,Fiscal year is January - December
Net Income,"-804,335,000","-408,168,000","-570,279,000","-213,796,000","-118,668,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-804,335,000","-408,168,000","-570,279,000","-213,796,000","-118,668,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"85,959,152","71,200,527","44,741,316","39,375,944","39,375,944",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"85,959,152","71,200,527","44,741,316","39,375,944","39,375,944",Financials in USD,Fiscal year is January - December
Shares Change (YoY),29.450%,59.138%,13.626%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-9.357,-5.733,-12.746,-5.430,-3.014,Financials in USD,Fiscal year is January - December
EPS (Diluted),-9.357,-5.733,-12.746,-5.430,-3.014,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-531,062,000","-334,773,000","-303,763,000","-146,778,000","-78,654,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-6.178,-4.702,-6.789,-3.728,-1.998,Financials in USD,Fiscal year is January - December
EBITDA,"-841,603,000","-429,139,000","-462,799,000","-217,507,000","-114,434,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"7,288,000","6,912,000","1,386,000","1,393,000","72,000",Financials in USD,Fiscal year is January - December
EBIT,"-848,891,000","-436,051,000","-464,185,000","-218,900,000","-114,506,000",Financials in USD,Fiscal year is January - December
