Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023",,
"Selling, General & Admin","4,731,000","4,798,000","3,492,000","3,355,000","4,178,000","3,467,000",Financials in USD,Fiscal year is January - December
Research & Development,"20,019,000","10,471,000","9,321,000","6,532,000","9,234,000","8,038,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"24,750,000","15,269,000","12,813,000","9,887,000","13,412,000","11,505,000",Financials in USD,Fiscal year is January - December
Operating Income,"-24,750,000","-15,269,000","-12,813,000","-9,887,000","-13,412,000","-11,505,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-388,000","-443,000","-1,217,000","-2,403,000","-2,039,000","-793,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,037,000","2,201,000","1,296,000","499,000","318,000","1,235,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-306,000","-70,000","-8,000","-2,834,000","-2,054,000","-21,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-23,407,000","-13,581,000","-12,742,000","-14,625,000","-17,187,000","-11,084,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-250,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-23,407,000","-13,581,000","-12,992,000","-14,625,000","-17,187,000","-11,084,000",Financials in USD,Fiscal year is January - December
Net Income,"-23,407,000","-13,581,000","-12,992,000","-14,625,000","-17,187,000","-11,084,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-23,407,000","-13,581,000","-12,992,000","-14,625,000","-17,187,000","-11,084,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"3,494,580","1,711,004","1,673,472","1,672,726","1,672,701","1,672,693",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"3,494,580","1,711,004","1,673,472","1,672,726","1,672,701","1,672,693",Financials in USD,Fiscal year is January - December
Shares Change (YoY),108.918%,2.290%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-6.698,-7.937,-7.763,-8.743,-10.275,-6.626,Financials in USD,Fiscal year is January - December
EPS (Diluted),-6.698,-7.937,-7.763,-8.743,-10.275,-6.626,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-15,236,000","-15,816,000","-15,672,000","-7,862,000","-11,151,000","-10,012,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-4.360,-9.244,-9.365,-4.700,-6.666,-5.986,Financials in USD,Fiscal year is January - December
EBITDA,"-24,712,000","-15,220,000","-12,780,000","-9,839,000","-13,372,000","-11,472,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"38,000","49,000","33,000","48,000","40,000","33,000",Financials in USD,Fiscal year is January - December
EBIT,"-24,750,000","-15,269,000","-12,813,000","-9,887,000","-13,412,000","-11,505,000",Financials in USD,Fiscal year is January - December
