Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"745,740,000","712,029,000","648,833,000","646,207,000","581,329,000","595,275,000","596,415,000","537,538,000","505,344,000","533,798,000","519,359,000","449,810,000","408,742,000","501,693,000","486,030,000","452,117,000","476,784,000","429,485,000","502,069,000","454,443,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),28.282%,19.613%,8.789%,20.216%,15.036%,11.517%,14.837%,19.503%,23.634%,6.399%,6.857%,-0.510%,-14.271%,16.813%,-3.195%,-0.512%,3.402%,10.760%,25.284%,28.659%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"188,457,000","314,246,000","330,167,000","341,728,000","128,041,000","307,982,000","307,318,000","300,041,000","274,117,000","281,316,000","277,801,000","280,842,000","261,406,000","288,169,000","268,891,000","282,805,000","335,846,000","280,106,000","253,631,000","268,711,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"557,283,000","397,783,000","318,666,000","304,479,000","453,288,000","287,293,000","289,097,000","237,497,000","231,227,000","252,482,000","241,558,000","168,968,000","147,336,000","213,524,000","217,139,000","169,312,000","140,938,000","149,379,000","248,438,000","185,732,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","253,480,000","263,032,000","225,906,000","261,024,000","215,768,000","206,103,000","211,023,000","222,739,000","216,816,000","196,835,000","194,619,000","217,563,000","183,333,000","184,161,000","174,318,000","195,512,000","179,450,000","175,412,000","187,295,000","187,900,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"184,901,000",-,-,-,"191,314,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"443,390,000","277,331,000","240,204,000","276,260,000","422,763,000","221,727,000","226,693,000","238,397,000","232,744,000","212,430,000","210,242,000","233,076,000","198,755,000","199,652,000","189,798,000","211,004,000","194,979,000","190,924,000","202,976,000","204,194,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"113,893,000","120,452,000","78,462,000","28,219,000","30,525,000","65,566,000","62,404,000","-900,000","-1,517,000","40,052,000","31,316,000","-64,108,000","-51,419,000","13,872,000","27,341,000","-41,692,000","-54,041,000","-41,545,000","45,462,000","-18,462,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,968,000","-3,574,000","-3,547,000","-6,098,000","-3,779,000","-3,755,000","-3,703,000","-3,626,000","-4,679,000","-3,859,000","-3,806,000","-3,846,000","-3,870,000","-3,817,000","-3,804,000","-4,749,000","-9,597,000","-8,048,000","-6,915,000","-6,930,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"18,053,000","19,785,000","19,365,000","18,044,000","15,740,000","12,612,000","11,943,000","8,710,000","4,999,000","2,505,000","1,820,000","1,745,000","1,827,000","4,471,000","2,439,000","3,071,000","4,004,000","4,291,000","5,244,000","5,211,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,077,000","-921,000","-79,000","-77,000","193,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"5,463,000","-4,527,000","1,267,000","5,062,000","-817,000","-3,613,000","-1,237,000","1,858,000","193,000","-2,947,000","-1,154,000","1,407,000","9,102,000","1,830,000","-493,000","4,704,000","1,239,000","2,508,000","-1,861,000","907,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"134,441,000","132,136,000","95,547,000","45,227,000","41,669,000","70,810,000","69,407,000","6,042,000","-1,004,000","35,751,000","28,176,000","-64,802,000","-44,360,000","16,356,000","25,483,000","-37,589,000","-59,316,000","-42,873,000","41,853,000","-19,081,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,"-23,000,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,"-12,650,000",-,-,-,-,-,-,-,-,"552,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"10,000,000",-,-,-,-,-,-,-,"108,000,000",-,-,-,-,-,-,-,"59,495,000","10,000,000",Upgrade,Financials in USD,Fiscal year is January - December
